
||------------------------------------------||--------------------------------------------------||-----------------------------------||-----------------------------------||
||                                          ||                                                  ||       Interactions per User       ||       Interactions per Item       ||
|| Dataset                                  ||   Users   |   Items   | Interactions |  Density  ||  Minimum  |  Maximum  |  Average  ||  Minimum  |  Maximum  |  Average  ||
||------------------------------------------||--------------------------------------------------||-----------------------------------||-----------------------------------||
|| (1)  Amazon (Amazon Instant Video)       ||     5,130 |     1,685 |       37,126 |  0.429498 ||         5 |       123 |     7.237 ||         5 |       455 |    22.033 ||
|| (2)  Amazon (Apps for Android)           ||    87,271 |    13,209 |      752,937 |  0.065316 ||         5 |       565 |     8.628 ||         5 |     6,282 |    57.002 ||
|| (3)  Amazon (Automotive)                 ||     2,928 |     1,835 |       20,473 |  0.381043 ||         5 |        51 |     6.992 ||         5 |       169 |    11.157 ||
|| (4)  Amazon (Baby)                       ||    19,445 |     7,050 |      160,792 |  0.117292 ||         5 |       125 |     8.269 ||         5 |       780 |    22.807 ||
|| (5)  Amazon (Beauty)                     ||    22,363 |    12,101 |      198,502 |  0.073352 ||         5 |       204 |     8.876 ||         5 |       431 |    16.404 ||
|| (6)  Amazon (Books)                      ||   603,668 |   367,982 |    8,898,041 |  0.004006 ||         5 |    23,222 |    14.740 ||         5 |     7,440 |    24.181 ||
|| (7)  Amazon (CDs & Vinyl)                ||    75,258 |    64,443 |    1,097,592 |  0.022631 ||         5 |     3,583 |    14.584 ||         5 |     1,026 |    17.032 ||
|| (8)  Amazon (Cell Phones & Accessories)  ||    27,879 |    10,429 |      194,439 |  0.066875 ||         5 |       152 |     6.974 ||         5 |       837 |    18.644 ||
|| (9)  Amazon (Clothing Shoes & Jewelry)   ||    39,387 |    23,033 |      278,677 |  0.030718 ||         5 |       136 |     7.075 ||         5 |       441 |    12.099 ||
|| (10) Amazon (Digital Music)              ||     5,541 |     3,568 |       64,706 |  0.327289 ||         5 |       578 |    11.678 ||         5 |       272 |    18.135 ||
|| (11) Amazon (Electronics)                ||   192,403 |    63,001 |    1,689,188 |  0.013935 ||         5 |       431 |     8.779 ||         5 |     4,915 |    26.812 ||
|| (12) Amazon (Grocery & Gourmet Food)     ||    14,681 |     8,713 |      151,254 |  0.118245 ||         5 |       204 |    10.303 ||         5 |       742 |    17.360 ||
|| (13) Amazon (Health & Personal Care)     ||    38,609 |    18,534 |      346,355 |  0.048402 ||         5 |       292 |     8.971 ||         5 |     1,089 |    18.688 ||
|| (14) Amazon (Home & Kitchen)             ||    66,519 |    28,237 |      551,682 |  0.029371 ||         5 |       277 |     8.294 ||         5 |     1,064 |    19.538 ||
|| (15) Amazon (Kindle Store)               ||    68,223 |    61,934 |      982,619 |  0.023255 ||         5 |     1,173 |    14.403 ||         5 |     1,113 |    15.866 ||
|| (16) Amazon (Movies & TV)                ||   123,960 |    50,052 |    1,697,533 |  0.027360 ||         5 |     2,368 |    13.694 ||         5 |     2,213 |    33.915 ||
|| (17) Amazon (Musical Instruments)        ||     1,429 |       900 |       10,261 |  0.797838 ||         5 |        42 |     7.181 ||         5 |       163 |    11.401 ||
|| (18) Amazon (Office Products)            ||     4,905 |     2,420 |       53,258 |  0.448674 ||         5 |        94 |    10.858 ||         5 |       311 |    22.007 ||
|| (19) Amazon (Patio Lawn & Garden)        ||     1,686 |       962 |       13,272 |  0.818283 ||         5 |        66 |     7.872 ||         5 |       296 |    13.796 ||
|| (20) Amazon (Pet Supplies)               ||    19,856 |     8,510 |      157,836 |  0.093408 ||         5 |       147 |     7.949 ||         5 |       520 |    18.547 ||
|| (21) Amazon (Sports & Outdoors)          ||    35,598 |    18,357 |      296,337 |  0.045348 ||         5 |       296 |     8.325 ||         5 |     1,042 |    16.143 ||
|| (22) Amazon (Tools & Home Improvement)   ||    16,638 |    10,217 |      134,476 |  0.079108 ||         5 |       142 |     8.082 ||         5 |       504 |    13.162 ||
|| (23) Amazon (Toys & Games)               ||    19,412 |    11,924 |      167,597 |  0.072406 ||         5 |       550 |     8.634 ||         5 |       309 |    14.055 ||
|| (24) Amazon (Video Games)                ||    24,303 |    10,672 |      231,780 |  0.089366 ||         5 |       773 |     9.537 ||         5 |       802 |    21.719 ||
|| (25) Amazon Fine Food                    ||     5,012 |    17,666 |      175,437 |  0.198140 ||         5 |       564 |    35.003 ||         5 |       230 |     9.931 ||
|| (26) BookCrossing                        ||    15,798 |    38,094 |      585,584 |  0.097304 ||         5 |     7,221 |    37.067 ||         5 |     1,466 |    15.372 ||
|| (27) CiteULike-a                         ||     5,540 |    15,209 |      200,329 |  0.237757 ||         5 |       385 |    36.160 ||         5 |       428 |    13.172 ||
|| (28) CiteULike-t                         ||     3,982 |     6,590 |       82,388 |  0.313962 ||         5 |     1,020 |    20.690 ||         5 |       368 |    12.502 ||
|| (29) Epinions                            ||    20,397 |    21,901 |      446,892 |  0.100040 ||         5 |       611 |    21.910 ||         5 |     1,869 |    20.405 ||
|| (30) FilmTrust                           ||     1,208 |       406 |       31,671 |  6.457565 ||         5 |       145 |    26.218 ||         5 |       989 |    78.007 ||
|| (31) Flixster                            ||    69,367 |    25,678 |    8,000,204 |  0.449145 ||         5 |    24,513 |   115.332 ||         5 |    22,320 |   311.559 ||
|| (32) GoodReads (Comics)                  ||   100,950 |    59,196 |    4,190,598 |  0.070126 ||         5 |     5,284 |    41.512 ||         5 |    22,455 |    70.792 ||
|| (33) Goodbooks                           ||    53,424 |    10,000 |    5,976,479 |  1.118688 ||        19 |       200 |   111.869 ||         8 |    22,806 |   597.648 ||
|| (34) Gowalla                             ||    48,950 |    47,198 |    2,297,266 |  0.099434 ||         5 |     1,619 |    46.931 ||         7 |     5,514 |    48.673 ||
|| (35) HetRec2011-LastFM-2K                ||     1,859 |     2,823 |       71,355 |  1.359672 ||         5 |        50 |    38.384 ||         5 |       610 |    25.276 ||
|| (36) HetRec2011-ML-2K                    ||     2,113 |     8,155 |      850,991 |  4.938573 ||        18 |     3,281 |   402.741 ||         5 |     1,670 |   104.352 ||
|| (37) Last.fm 1K                          ||       988 |    25,620 |      683,868 |  2.701694 ||         5 |     6,043 |   692.174 ||         5 |       710 |    26.693 ||
|| (38) Last.fm 360K                        ||   358,592 |    87,627 |   17,171,606 |  0.054648 ||         5 |       163 |    47.886 ||         5 |    77,252 |   195.963 ||
|| (39) ML-100K                             ||       943 |     1,349 |       99,287 |  7.804925 ||        19 |       648 |   105.288 ||         5 |       583 |    73.600 ||
|| (40) ML-10M                              ||    69,878 |    10,196 |    9,998,816 |  1.403390 ||        18 |     7,240 |   143.090 ||         5 |    34,864 |   980.661 ||
|| (41) ML-1M                               ||     6,040 |     3,416 |      999,611 |  4.844804 ||        18 |     2,277 |   165.499 ||         5 |     3,428 |   292.626 ||
|| (42) ML-20M                              ||   138,493 |    18,345 |   19,984,024 |  0.786570 ||        16 |     8,540 |   144.296 ||         5 |    67,310 |  1089.344 ||
|| (43) Meetup (NYC)                        ||    13,949 |    14,007 |      207,512 |  0.106207 ||         5 |       570 |    14.876 ||         5 |       172 |    14.815 ||
|| (44) Million Song Dataset                ||   659,313 |    38,473 |   34,501,736 |  0.136017 ||         5 |     1,341 |    52.330 ||       197 |    83,620 |   896.778 ||
|| (45) Million Song Dataset (TPS)          ||   211,830 |    22,781 |   13,964,169 |  0.289371 ||        20 |     1,004 |    65.922 ||        36 |    34,169 |   612.974 ||
|| (46) Netflix                             ||   472,987 |    17,769 |  100,461,928 |  1.195334 ||         5 |    17,653 |   212.399 ||         5 |   232,911 |  5653.775 ||
|| (47) Pinterest                           ||    55,187 |     9,643 |    1,500,137 |  0.281891 ||         5 |       137 |    27.183 ||         5 |     1,700 |   155.567 ||
|| (48) Yahoo! R1                           || 1,539,120 |    38,804 |  114,358,083 |  0.191478 ||         5 |    38,746 |    74.301 ||         5 |   762,221 |  2947.069 ||
|| (49) Yahoo! R2                           ||   200,000 |   136,736 |   78,344,627 |  0.286481 ||        30 |    71,019 |   391.723 ||        77 |    37,198 |   572.963 ||
|| (50) Yahoo! R4                           ||     7,620 |     3,783 |      207,773 |  0.720772 ||         5 |     1,450 |    27.267 ||         5 |     4,294 |    54.923 ||
|| (51) Yelp                                ||   319,725 |   121,109 |    4,910,338 |  0.012681 ||         5 |     3,526 |    15.358 ||         5 |     5,006 |    40.545 ||
||------------------------------------------||--------------------------------------------------||-----------------------------------||-----------------------------------||
