Total # of Papers: 48

|| ============ | ============ ||
|| Conference   | # of Papers  ||
|| ============ | ============ ||
|| KDD          | 8            ||
|| RecSys       | 8            ||
|| SIGIR        | 14           ||
|| WSDM         | 8            ||
|| WWW          | 10           ||
|| ============ | ============ ||

|| ============ | ============ ||
|| Year         | # of Papers  ||
|| ============ | ============ ||
|| 2016         | 8            ||
|| 2017         | 3            ||
|| 2018         | 8            ||
|| 2019         | 9            ||
|| 2020         | 20           ||
|| ============ | ============ ||
