Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Beauty)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.04880  || 0.0210 | 0.0269 | 0.0301 | 0.0328 || 0.0331 | 0.0513 | 0.0636 | 0.0745 || 2021-02-12-16-06-43 || 869, 54, cosine, True, none
0.04842  || 0.0207 | 0.0267 | 0.0301 | 0.0325 || 0.0326 | 0.0511 | 0.0640 | 0.0743 || 2021-02-12-15-57-34 || 952, 67, cosine, True, none
0.04817  || 0.0204 | 0.0266 | 0.0298 | 0.0323 || 0.0324 | 0.0515 | 0.0635 | 0.0742 || 2021-02-12-15-56-15 || 981, 99, cosine, True, none
0.04815  || 0.0206 | 0.0268 | 0.0299 | 0.0325 || 0.0327 | 0.0520 | 0.0638 | 0.0745 || 2021-02-12-16-00-11 || 816, 87, cosine, True, none
0.04783  || 0.0202 | 0.0256 | 0.0282 | 0.0306 || 0.0312 | 0.0479 | 0.0578 | 0.0679 || 2021-02-12-15-52-32 || 19, 10, cosine, True, none
0.04776  || 0.0203 | 0.0264 | 0.0297 | 0.0324 || 0.0324 | 0.0513 | 0.0637 | 0.0749 || 2021-02-12-16-08-16 || 900, 142, cosine, True, none
0.04734  || 0.0202 | 0.0254 | 0.0286 | 0.0304 || 0.0325 | 0.0485 | 0.0607 | 0.0682 || 2021-02-12-16-09-01 || 77, 13, cosine, True, none
0.04726  || 0.0202 | 0.0254 | 0.0284 | 0.0307 || 0.0321 | 0.0483 | 0.0596 | 0.0690 || 2021-02-12-15-51-53 || 992, 6, cosine, True, none
0.04718  || 0.0200 | 0.0261 | 0.0292 | 0.0316 || 0.0319 | 0.0509 | 0.0626 | 0.0725 || 2021-02-12-16-02-42 || 26, 573, cosine, True, none
0.04702  || 0.0202 | 0.0264 | 0.0297 | 0.0321 || 0.0321 | 0.0513 | 0.0637 | 0.0741 || 2021-02-12-15-58-13 || 662, 197, cosine, True, none
0.04695  || 0.0200 | 0.0259 | 0.0289 | 0.0313 || 0.0321 | 0.0505 | 0.0618 | 0.0717 || 2021-02-12-15-51-18 || 18, 992, cosine, True, none
