Filename:        2021-04-30-21-46-25-246239
Command:         200, 1, 1.0

Val nDCG@10:     0.03801

Test nDCG@5:     0.01597 (0.00070)
Test nDCG@10:    0.02113 (0.00074)
Test nDCG@15:    0.02418 (0.00076)
Test nDCG@20:    0.02658 (0.00078)
Test nDCG@25:    0.02822 (0.00078)
Test nDCG@50:    0.03433 (0.00081)
Test nDCG@75:    0.03841 (0.00082)
Test nDCG@100:   0.04140 (0.00082)

Test Recall@5:   0.02580 (0.00106)
Test Recall@10:  0.04185 (0.00134)
Test Recall@15:  0.05344 (0.00150)
Test Recall@20:  0.06363 (0.00163)
Test Recall@25:  0.07110 (0.00172)
Test Recall@50:  0.10289 (0.00203)
Test Recall@75:  0.12726 (0.00223)
Test Recall@100: 0.14658 (0.00237)

