Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Beauty)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.05025  || 0.0215 | 0.0278 | 0.0313 | 0.0338 || 0.0337 | 0.0531 | 0.0663 | 0.0766 || 2021-02-12-16-23-05 || 647, 0.35203, 0.21034, False
0.05013  || 0.0215 | 0.0279 | 0.0313 | 0.0336 || 0.0336 | 0.0532 | 0.0664 | 0.0760 || 2021-02-12-16-21-48 || 1000, 0.37985, 0.2016, False
0.04987  || 0.0214 | 0.0276 | 0.0311 | 0.0338 || 0.0339 | 0.0534 | 0.0667 | 0.0780 || 2021-02-12-16-28-08 || 662, 0.18621, 0.19653, False
0.04979  || 0.0211 | 0.0275 | 0.0313 | 0.0336 || 0.0330 | 0.0527 | 0.0668 | 0.0770 || 2021-02-12-16-30-47 || 810, 0.43052, 0.13494, False
0.04896  || 0.0214 | 0.0278 | 0.0312 | 0.0338 || 0.0336 | 0.0537 | 0.0664 | 0.0775 || 2021-02-12-16-22-26 || 1000, 0.33515, 0.05478, False
0.04801  || 0.0207 | 0.0269 | 0.0306 | 0.0328 || 0.0329 | 0.0522 | 0.0659 | 0.0754 || 2021-02-12-16-18-05 || 998, 0.05966, 0.17663, False
0.04697  || 0.0205 | 0.0267 | 0.0301 | 0.0325 || 0.0325 | 0.0517 | 0.0645 | 0.0750 || 2021-02-12-16-27-30 || 158, 0.05001, 0.03549, False
0.04663  || 0.0196 | 0.0257 | 0.0294 | 0.0317 || 0.0311 | 0.0501 | 0.0641 | 0.0741 || 2021-02-12-16-21-10 || 928, 0.66245, 0.00263, False
0.04407  || 0.0182 | 0.0224 | 0.0246 | 0.0260 || 0.0276 | 0.0406 | 0.0488 | 0.0544 || 2021-02-12-16-24-59 || 20, 0.80099, 0.04063, True
0.04404  || 0.0191 | 0.0242 | 0.0272 | 0.0295 || 0.0296 | 0.0455 | 0.0569 | 0.0669 || 2021-02-12-16-18-42 || 950, 0.03021, 0.48933, False
0.04395  || 0.0196 | 0.0244 | 0.0275 | 0.0298 || 0.0305 | 0.0457 | 0.0574 | 0.0669 || 2021-02-12-16-19-20 || 87, 0.01169, 0.42434, False
0.04172  || 0.0182 | 0.0209 | 0.0216 | 0.0219 || 0.0278 | 0.0362 | 0.0388 | 0.0401 || 2021-02-12-16-26-14 || 5, 0.48606, 0.16779, False
0.04153  || 0.0181 | 0.0234 | 0.0267 | 0.0290 || 0.0285 | 0.0449 | 0.0570 | 0.0669 || 2021-02-12-16-14-22 || 1000, 0.27354, 0, True
0.04024  || 0.0174 | 0.0224 | 0.0256 | 0.0280 || 0.0271 | 0.0428 | 0.0548 | 0.0650 || 2021-02-12-16-33-04 || 820, 0.7991, 0.00671, True
0.03916  || 0.0152 | 0.0202 | 0.0228 | 0.0252 || 0.0233 | 0.0388 | 0.0488 | 0.0588 || 2021-02-12-16-30-07 || 60, 1.29408, 0.05609, True
0.03493  || 0.0145 | 0.0192 | 0.0221 | 0.0243 || 0.0230 | 0.0379 | 0.0488 | 0.0580 || 2021-02-12-16-17-27 || 1000, 1.09313, 0.24336, True
0.03426  || 0.0146 | 0.0191 | 0.0220 | 0.0243 || 0.0229 | 0.0366 | 0.0476 | 0.0574 || 2021-02-12-16-26-51 || 967, 0.17517, 0.43791, True
0.03348  || 0.0134 | 0.0183 | 0.0212 | 0.0235 || 0.0211 | 0.0364 | 0.0474 | 0.0571 || 2021-02-12-16-29-27 || 962, 1.89305, 0.02162, True
0.03331  || 0.0134 | 0.0179 | 0.0207 | 0.0228 || 0.0212 | 0.0355 | 0.0457 | 0.0547 || 2021-02-12-16-32-17 || 992, 0.92902, 0.41193, False
0.03306  || 0.0135 | 0.0179 | 0.0203 | 0.0224 || 0.0212 | 0.0349 | 0.0442 | 0.0529 || 2021-02-12-16-24-23 || 67, 1.97506, 0.01168, True
0.03044  || 0.0131 | 0.0144 | 0.0147 | 0.0149 || 0.0184 | 0.0221 | 0.0236 | 0.0240 || 2021-02-12-16-15-00 || 5, 0, 0, True
0.02781  || 0.0133 | 0.0171 | 0.0194 | 0.0213 || 0.0206 | 0.0326 | 0.0415 | 0.0496 || 2021-02-12-16-20-34 || 45, 0.01448, 0.75324, True
0.02435  || 0.0106 | 0.0144 | 0.0164 | 0.0183 || 0.0164 | 0.0283 | 0.0359 | 0.0440 || 2021-02-12-16-12-32 || 311, 1.60474, 0.1903, False
0.02426  || 0.0098 | 0.0127 | 0.0142 | 0.0155 || 0.0155 | 0.0244 | 0.0304 | 0.0358 || 2021-02-12-16-13-46 || 10, 0.92715, 0.76214, True
0.02355  || 0.0108 | 0.0143 | 0.0166 | 0.0186 || 0.0167 | 0.0278 | 0.0364 | 0.0449 || 2021-02-12-16-15-35 || 990, 1.94562, 0.03037, False
0.02277  || 0.0096 | 0.0129 | 0.0149 | 0.0167 || 0.0155 | 0.0256 | 0.0330 | 0.0406 || 2021-02-12-16-11-55 || 239, 1.18423, 0.67005, False
0.02034  || 0.0084 | 0.0118 | 0.0138 | 0.0155 || 0.0141 | 0.0244 | 0.0321 | 0.0396 || 2021-02-12-16-23-44 || 981, 1.99093, 0.67149, True
0.01842  || 0.0108 | 0.0138 | 0.0159 | 0.0173 || 0.0167 | 0.0261 | 0.0337 | 0.0399 || 2021-02-12-16-11-15 || 563, 0.42518, 1.08616, False
0.01250  || 0.0063 | 0.0083 | 0.0097 | 0.0109 || 0.0102 | 0.0168 | 0.0217 | 0.0271 || 2021-02-12-16-19-58 || 60, 1.94149, 1.33253, False
0.01147  || 0.0060 | 0.0079 | 0.0095 | 0.0106 || 0.0097 | 0.0156 | 0.0211 | 0.0260 || 2021-02-12-16-28-47 || 976, 1.90538, 1.96331, False
0.01130  || 0.0064 | 0.0087 | 0.0101 | 0.0110 || 0.0097 | 0.0171 | 0.0224 | 0.0261 || 2021-02-12-16-31-32 || 27, 1.30908, 1.98814, True
0.01126  || 0.0070 | 0.0089 | 0.0100 | 0.0106 || 0.0105 | 0.0166 | 0.0205 | 0.0233 || 2021-02-12-16-16-13 || 11, 0.83396, 1.98804, False
0.01106  || 0.0060 | 0.0079 | 0.0095 | 0.0104 || 0.0093 | 0.0152 | 0.0213 | 0.0252 || 2021-02-12-16-16-48 || 1000, 2, 2, True
0.01106  || 0.0084 | 0.0107 | 0.0122 | 0.0134 || 0.0124 | 0.0194 | 0.0251 | 0.0300 || 2021-02-12-16-13-08 || 742, 0.3199, 1.7253, True
