Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Beauty)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.04720  || 0.0208 | 0.0269 | 0.0305 | 0.0330 || 0.0329 | 0.0519 | 0.0654 | 0.0758 || 2021-02-12-15-28-10 || 299, 1000, cosine, True, none
0.04713  || 0.0209 | 0.0270 | 0.0305 | 0.0330 || 0.0333 | 0.0520 | 0.0653 | 0.0759 || 2021-02-12-15-45-50 || 316, 489, cosine, True, none
0.04713  || 0.0209 | 0.0269 | 0.0304 | 0.0330 || 0.0335 | 0.0520 | 0.0652 | 0.0761 || 2021-02-12-15-43-15 || 393, 1000, cosine, True, none
0.04711  || 0.0207 | 0.0267 | 0.0302 | 0.0328 || 0.0329 | 0.0516 | 0.0645 | 0.0757 || 2021-02-12-15-38-25 || 420, 7, cosine, True, none
0.04701  || 0.0209 | 0.0269 | 0.0304 | 0.0331 || 0.0333 | 0.0519 | 0.0650 | 0.0762 || 2021-02-12-15-45-01 || 334, 5, cosine, True, none
0.04690  || 0.0208 | 0.0267 | 0.0302 | 0.0328 || 0.0332 | 0.0515 | 0.0647 | 0.0756 || 2021-02-12-15-47-20 || 499, 398, cosine, True, none
0.04687  || 0.0207 | 0.0267 | 0.0302 | 0.0328 || 0.0330 | 0.0517 | 0.0647 | 0.0754 || 2021-02-12-15-30-55 || 513, 1000, cosine, True, none
0.04682  || 0.0202 | 0.0258 | 0.0294 | 0.0319 || 0.0315 | 0.0488 | 0.0622 | 0.0730 || 2021-02-12-15-44-08 || 167, 997, cosine, True, none
0.04672  || 0.0206 | 0.0266 | 0.0301 | 0.0326 || 0.0329 | 0.0515 | 0.0647 | 0.0751 || 2021-02-12-15-39-49 || 693, 9, cosine, True, none
0.04643  || 0.0203 | 0.0266 | 0.0299 | 0.0324 || 0.0324 | 0.0517 | 0.0644 | 0.0750 || 2021-02-12-15-41-28 || 845, 7, cosine, True, none
0.04637  || 0.0205 | 0.0266 | 0.0301 | 0.0324 || 0.0329 | 0.0515 | 0.0647 | 0.0745 || 2021-02-12-15-36-08 || 670, 964, cosine, True, none
0.04632  || 0.0203 | 0.0264 | 0.0299 | 0.0322 || 0.0325 | 0.0512 | 0.0645 | 0.0742 || 2021-02-12-15-33-05 || 803, 1000, cosine, True, none
0.04630  || 0.0203 | 0.0264 | 0.0299 | 0.0323 || 0.0326 | 0.0512 | 0.0645 | 0.0742 || 2021-02-12-15-42-18 || 794, 494, cosine, True, none
0.04626  || 0.0205 | 0.0265 | 0.0300 | 0.0324 || 0.0330 | 0.0513 | 0.0648 | 0.0745 || 2021-02-12-15-37-38 || 729, 992, cosine, True, none
0.04623  || 0.0204 | 0.0264 | 0.0298 | 0.0321 || 0.0328 | 0.0512 | 0.0641 | 0.0740 || 2021-02-12-15-46-34 || 916, 1000, cosine, True, none
0.04621  || 0.0204 | 0.0264 | 0.0298 | 0.0321 || 0.0328 | 0.0514 | 0.0640 | 0.0741 || 2021-02-12-15-32-17 || 956, 29, cosine, True, none
0.04616  || 0.0203 | 0.0263 | 0.0297 | 0.0321 || 0.0326 | 0.0511 | 0.0639 | 0.0739 || 2021-02-12-15-25-10 || 1000, 195, cosine, True, none
0.04614  || 0.0203 | 0.0263 | 0.0296 | 0.0321 || 0.0326 | 0.0511 | 0.0638 | 0.0739 || 2021-02-12-15-31-35 || 1000, 286, cosine, True, none
0.04613  || 0.0203 | 0.0263 | 0.0296 | 0.0320 || 0.0326 | 0.0511 | 0.0637 | 0.0738 || 2021-02-12-15-26-37 || 1000, 485, cosine, True, none
0.04610  || 0.0203 | 0.0263 | 0.0296 | 0.0320 || 0.0326 | 0.0511 | 0.0638 | 0.0738 || 2021-02-12-15-33-52 || 1000, 1000, cosine, True, none
0.04606  || 0.0191 | 0.0246 | 0.0281 | 0.0304 || 0.0300 | 0.0471 | 0.0596 | 0.0693 || 2021-02-12-15-35-23 || 447, 704, cosine, False, none
0.04589  || 0.0193 | 0.0248 | 0.0282 | 0.0307 || 0.0305 | 0.0473 | 0.0595 | 0.0694 || 2021-02-12-15-24-23 || 373, 478, cosine, False, none
0.04586  || 0.0192 | 0.0249 | 0.0285 | 0.0306 || 0.0305 | 0.0477 | 0.0605 | 0.0695 || 2021-02-12-15-40-38 || 494, 6, cosine, False, none
0.04563  || 0.0193 | 0.0250 | 0.0286 | 0.0305 || 0.0306 | 0.0478 | 0.0608 | 0.0695 || 2021-02-12-15-21-12 || 563, 217, cosine, False, none
0.04562  || 0.0195 | 0.0253 | 0.0287 | 0.0308 || 0.0308 | 0.0485 | 0.0611 | 0.0704 || 2021-02-12-15-23-36 || 791, 10, cosine, False, none
0.04556  || 0.0193 | 0.0250 | 0.0285 | 0.0304 || 0.0305 | 0.0476 | 0.0606 | 0.0691 || 2021-02-12-15-22-06 || 594, 338, cosine, False, none
0.04541  || 0.0193 | 0.0251 | 0.0284 | 0.0307 || 0.0307 | 0.0483 | 0.0605 | 0.0704 || 2021-02-12-15-27-24 || 898, 5, cosine, False, none
0.04454  || 0.0191 | 0.0246 | 0.0277 | 0.0302 || 0.0295 | 0.0461 | 0.0576 | 0.0677 || 2021-02-12-15-34-40 || 255, 26, cosine, False, none
0.04437  || 0.0190 | 0.0244 | 0.0277 | 0.0299 || 0.0293 | 0.0454 | 0.0574 | 0.0669 || 2021-02-12-15-36-54 || 236, 578, cosine, False, none
0.04406  || 0.0183 | 0.0241 | 0.0273 | 0.0295 || 0.0278 | 0.0446 | 0.0560 | 0.0655 || 2021-02-12-15-28-55 || 198, 32, cosine, False, none
0.03902  || 0.0165 | 0.0210 | 0.0233 | 0.0250 || 0.0255 | 0.0382 | 0.0473 | 0.0542 || 2021-02-12-15-22-52 || 100, 366, cosine, False, none
0.02048  || 0.0092 | 0.0117 | 0.0134 | 0.0146 || 0.0139 | 0.0208 | 0.0263 | 0.0313 || 2021-02-12-15-30-17 || 23, 579, cosine, False, none
0.01897  || 0.0087 | 0.0116 | 0.0133 | 0.0143 || 0.0129 | 0.0211 | 0.0265 | 0.0307 || 2021-02-12-15-39-11 || 9, 12, cosine, True, none
0.01095  || 0.0056 | 0.0075 | 0.0083 | 0.0090 || 0.0085 | 0.0135 | 0.0163 | 0.0188 || 2021-02-12-15-29-39 || 5, 736, cosine, True, none
0.00856  || 0.0044 | 0.0059 | 0.0065 | 0.0069 || 0.0067 | 0.0101 | 0.0124 | 0.0140 || 2021-02-12-15-25-58 || 5, 804, cosine, False, none
