Reporting the nDCG & Recall for 'WMF' on 'Amazon (Beauty)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.04616  || 0.0188 | 0.0245 | 0.0281 | 0.0312 || 0.0300 | 0.0478 | 0.0613 | 0.0743 || 2021-02-12-16-43-15 || 27, 200, 0.01, 15
0.04609  || 0.0187 | 0.0246 | 0.0282 | 0.0312 || 0.0297 | 0.0481 | 0.0615 | 0.0745 || 2021-02-12-17-01-51 || 30, 200, 0.01, 15
0.04607  || 0.0188 | 0.0246 | 0.0283 | 0.0313 || 0.0302 | 0.0482 | 0.0624 | 0.0750 || 2021-02-12-16-50-20 || 36, 200, 0.01, 15
0.04605  || 0.0188 | 0.0246 | 0.0283 | 0.0312 || 0.0302 | 0.0482 | 0.0621 | 0.0746 || 2021-02-12-16-58-15 || 34, 200, 0.01, 15
0.04594  || 0.0184 | 0.0244 | 0.0281 | 0.0314 || 0.0295 | 0.0481 | 0.0621 | 0.0763 || 2021-02-12-16-36-10 || 32, 180, 0.01, 15
0.04570  || 0.0177 | 0.0240 | 0.0276 | 0.0305 || 0.0283 | 0.0477 | 0.0614 | 0.0736 || 2021-02-12-16-45-54 || 82, 200, 0.01, 15
0.04556  || 0.0176 | 0.0236 | 0.0273 | 0.0302 || 0.0280 | 0.0468 | 0.0609 | 0.0729 || 2021-02-12-16-38-49 || 100, 200, 0.01, 15
0.04553  || 0.0175 | 0.0236 | 0.0273 | 0.0302 || 0.0279 | 0.0470 | 0.0608 | 0.0731 || 2021-02-12-16-59-06 || 96, 200, 0.01, 15
0.04519  || 0.0186 | 0.0250 | 0.0288 | 0.0319 || 0.0299 | 0.0498 | 0.0643 | 0.0773 || 2021-02-12-16-41-26 || 43, 199, 0.01, 15
0.04506  || 0.0182 | 0.0247 | 0.0282 | 0.0310 || 0.0288 | 0.0487 | 0.0620 | 0.0741 || 2021-02-12-16-51-15 || 100, 183, 0.01, 15
0.04492  || 0.0176 | 0.0238 | 0.0275 | 0.0306 || 0.0284 | 0.0475 | 0.0618 | 0.0747 || 2021-02-12-16-42-19 || 100, 187, 0.01, 15
0.04465  || 0.0189 | 0.0251 | 0.0289 | 0.0315 || 0.0301 | 0.0494 | 0.0636 | 0.0750 || 2021-02-12-16-40-35 || 31, 172, 0.01, 15
0.04460  || 0.0183 | 0.0243 | 0.0280 | 0.0308 || 0.0296 | 0.0483 | 0.0621 | 0.0741 || 2021-02-12-16-55-37 || 78, 176, 0.01, 15
0.04449  || 0.0183 | 0.0245 | 0.0282 | 0.0310 || 0.0295 | 0.0486 | 0.0628 | 0.0747 || 2021-02-12-16-35-03 || 25, 159, 0.01, 15
0.04445  || 0.0186 | 0.0250 | 0.0287 | 0.0314 || 0.0299 | 0.0498 | 0.0636 | 0.0753 || 2021-02-12-16-57-21 || 35, 161, 0.01, 15
0.04437  || 0.0176 | 0.0241 | 0.0278 | 0.0304 || 0.0283 | 0.0485 | 0.0625 | 0.0736 || 2021-02-12-17-00-02 || 69, 148, 0.01, 15
0.04437  || 0.0175 | 0.0237 | 0.0274 | 0.0302 || 0.0284 | 0.0476 | 0.0618 | 0.0737 || 2021-02-12-16-53-57 || 99, 169, 0.01, 15
0.04434  || 0.0175 | 0.0239 | 0.0275 | 0.0305 || 0.0279 | 0.0479 | 0.0614 | 0.0739 || 2021-02-12-16-48-35 || 100, 153, 0.01, 15
0.04433  || 0.0179 | 0.0241 | 0.0275 | 0.0306 || 0.0287 | 0.0479 | 0.0609 | 0.0738 || 2021-02-12-16-53-03 || 100, 176, 0.01, 15
0.04431  || 0.0178 | 0.0239 | 0.0277 | 0.0307 || 0.0286 | 0.0476 | 0.0616 | 0.0748 || 2021-02-12-17-04-02 || 100, 181, 0.01, 15
0.04422  || 0.0175 | 0.0237 | 0.0275 | 0.0303 || 0.0285 | 0.0477 | 0.0617 | 0.0739 || 2021-02-12-17-02-56 || 100, 160, 0.01, 15
0.04370  || 0.0180 | 0.0238 | 0.0275 | 0.0305 || 0.0293 | 0.0473 | 0.0613 | 0.0738 || 2021-02-12-16-45-02 || 99, 165, 0.01, 15
0.04318  || 0.0178 | 0.0235 | 0.0272 | 0.0299 || 0.0287 | 0.0464 | 0.0605 | 0.0716 || 2021-02-12-16-44-10 || 100, 132, 0.01, 15
0.04252  || 0.0167 | 0.0231 | 0.0266 | 0.0295 || 0.0271 | 0.0470 | 0.0603 | 0.0726 || 2021-02-12-16-33-52 || 57, 121, 0.01, 15
0.04222  || 0.0170 | 0.0233 | 0.0267 | 0.0299 || 0.0278 | 0.0472 | 0.0602 | 0.0736 || 2021-02-12-17-05-09 || 100, 123, 0.01, 15
0.04195  || 0.0172 | 0.0232 | 0.0269 | 0.0298 || 0.0276 | 0.0461 | 0.0604 | 0.0726 || 2021-02-12-16-37-05 || 75, 116, 0.01, 15
0.04070  || 0.0166 | 0.0224 | 0.0259 | 0.0290 || 0.0268 | 0.0448 | 0.0583 | 0.0711 || 2021-02-12-17-00-57 || 100, 100, 0.01, 15
0.03943  || 0.0171 | 0.0230 | 0.0268 | 0.0295 || 0.0275 | 0.0459 | 0.0605 | 0.0720 || 2021-02-12-16-39-44 || 42, 101, 0.01, 15
0.03754  || 0.0156 | 0.0208 | 0.0240 | 0.0265 || 0.0248 | 0.0411 | 0.0530 | 0.0636 || 2021-02-12-16-54-45 || 3, 156, 0.01, 15
0.03703  || 0.0154 | 0.0204 | 0.0236 | 0.0260 || 0.0241 | 0.0396 | 0.0520 | 0.0620 || 2021-02-12-16-47-40 || 3, 138, 0.01, 15
0.03676  || 0.0157 | 0.0204 | 0.0240 | 0.0265 || 0.0249 | 0.0396 | 0.0530 | 0.0639 || 2021-02-12-16-37-55 || 3, 146, 0.01, 15
0.03503  || 0.0154 | 0.0200 | 0.0229 | 0.0254 || 0.0245 | 0.0389 | 0.0499 | 0.0605 || 2021-02-12-16-46-46 || 3, 109, 0.01, 15
0.03475  || 0.0149 | 0.0195 | 0.0227 | 0.0249 || 0.0230 | 0.0373 | 0.0492 | 0.0588 || 2021-02-12-16-49-29 || 2, 192, 0.01, 15
0.03451  || 0.0148 | 0.0191 | 0.0219 | 0.0242 || 0.0231 | 0.0365 | 0.0471 | 0.0569 || 2021-02-12-16-56-30 || 2, 162, 0.01, 15
0.03296  || 0.0142 | 0.0189 | 0.0215 | 0.0240 || 0.0220 | 0.0368 | 0.0465 | 0.0570 || 2021-02-12-16-52-09 || 2, 127, 0.01, 15
