Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Digital Music)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.10731  || 0.0582 | 0.0720 | 0.0819 | 0.0891 || 0.0928 | 0.1352 | 0.1727 | 0.2030 || 2021-02-12-15-36-39 || 166, 17, cosine, True, none
0.10655  || 0.0558 | 0.0715 | 0.0806 | 0.0869 || 0.0870 | 0.1353 | 0.1696 | 0.1965 || 2021-02-12-15-35-51 || 180, 5, cosine, True, none
0.10638  || 0.0569 | 0.0717 | 0.0808 | 0.0868 || 0.0906 | 0.1366 | 0.1711 | 0.1965 || 2021-02-12-15-38-26 || 1000, 5, cosine, True, none
0.10589  || 0.0575 | 0.0722 | 0.0814 | 0.0873 || 0.0919 | 0.1377 | 0.1722 | 0.1973 || 2021-02-12-15-36-54 || 757, 6, cosine, True, none
0.10563  || 0.0585 | 0.0721 | 0.0814 | 0.0877 || 0.0933 | 0.1355 | 0.1704 | 0.1974 || 2021-02-12-15-38-00 || 441, 27, cosine, True, none
0.10336  || 0.0546 | 0.0685 | 0.0747 | 0.0782 || 0.0850 | 0.1276 | 0.1514 | 0.1658 || 2021-02-12-15-34-07 || 5, 5, cosine, True, none
0.10266  || 0.0570 | 0.0713 | 0.0803 | 0.0864 || 0.0886 | 0.1330 | 0.1668 | 0.1926 || 2021-02-12-15-38-55 || 974, 49, cosine, True, none
0.10209  || 0.0570 | 0.0718 | 0.0807 | 0.0869 || 0.0873 | 0.1337 | 0.1669 | 0.1933 || 2021-02-12-15-33-27 || 262, 89, cosine, True, none
0.10043  || 0.0553 | 0.0681 | 0.0744 | 0.0790 || 0.0850 | 0.1247 | 0.1485 | 0.1684 || 2021-02-12-15-35-22 || 7, 637, cosine, True, none
0.10026  || 0.0544 | 0.0673 | 0.0743 | 0.0795 || 0.0839 | 0.1229 | 0.1500 | 0.1709 || 2021-02-12-15-34-54 || 9, 11, cosine, False, none
0.10023  || 0.0542 | 0.0672 | 0.0740 | 0.0795 || 0.0836 | 0.1229 | 0.1498 | 0.1709 || 2021-02-12-15-37-49 || 9, 734, cosine, False, none
0.09947  || 0.0568 | 0.0702 | 0.0792 | 0.0849 || 0.0863 | 0.1280 | 0.1619 | 0.1859 || 2021-02-12-15-33-13 || 20, 928, cosine, True, none
