Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Digital Music)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.11437  || 0.0602 | 0.0769 | 0.0858 | 0.0928 || 0.0949 | 0.1465 | 0.1807 | 0.2102 || 2021-02-12-15-49-07 || 659, 0.46491, 0.35638, False
0.11281  || 0.0606 | 0.0765 | 0.0857 | 0.0927 || 0.0951 | 0.1447 | 0.1796 | 0.2090 || 2021-02-12-15-49-49 || 509, 0.34768, 0.35795, False
0.11210  || 0.0608 | 0.0765 | 0.0857 | 0.0927 || 0.0948 | 0.1437 | 0.1787 | 0.2083 || 2021-02-12-15-48-14 || 895, 0.48946, 0.22789, False
0.11186  || 0.0613 | 0.0767 | 0.0856 | 0.0930 || 0.0958 | 0.1440 | 0.1779 | 0.2092 || 2021-02-12-15-47-54 || 641, 0.46334, 0.225, False
0.10941  || 0.0584 | 0.0736 | 0.0824 | 0.0898 || 0.0922 | 0.1401 | 0.1732 | 0.2048 || 2021-02-12-15-50-14 || 697, 0.49514, 0.31425, True
0.10941  || 0.0591 | 0.0744 | 0.0830 | 0.0906 || 0.0933 | 0.1411 | 0.1740 | 0.2059 || 2021-02-12-15-45-30 || 1000, 0.39165, 0.22423, True
0.10686  || 0.0580 | 0.0727 | 0.0822 | 0.0903 || 0.0888 | 0.1346 | 0.1707 | 0.2052 || 2021-02-12-15-44-04 || 928, 0.6343, 0.13516, True
0.10432  || 0.0558 | 0.0704 | 0.0789 | 0.0850 || 0.0863 | 0.1318 | 0.1639 | 0.1897 || 2021-02-12-15-50-53 || 71, 0.92312, 0.01786, False
0.10244  || 0.0567 | 0.0704 | 0.0800 | 0.0870 || 0.0863 | 0.1292 | 0.1655 | 0.1953 || 2021-02-12-15-50-36 || 1000, 0.88632, 0, False
0.10144  || 0.0584 | 0.0724 | 0.0817 | 0.0882 || 0.0897 | 0.1334 | 0.1684 | 0.1960 || 2021-02-12-15-43-08 || 152, 0.04618, 0.20697, False
0.10139  || 0.0535 | 0.0682 | 0.0780 | 0.0848 || 0.0825 | 0.1281 | 0.1653 | 0.1933 || 2021-02-12-15-45-09 || 916, 0.92195, 0.32282, True
0.10125  || 0.0526 | 0.0637 | 0.0675 | 0.0693 || 0.0821 | 0.1166 | 0.1308 | 0.1382 || 2021-02-12-15-44-20 || 5, 0.5937, 0.3425, False
0.10109  || 0.0516 | 0.0674 | 0.0760 | 0.0825 || 0.0816 | 0.1307 | 0.1631 | 0.1909 || 2021-02-12-15-51-09 || 955, 0.64771, 0.58887, False
0.09911  || 0.0582 | 0.0718 | 0.0807 | 0.0866 || 0.0893 | 0.1312 | 0.1650 | 0.1902 || 2021-02-12-15-48-48 || 795, 0.01082, 0.21094, False
0.09850  || 0.0525 | 0.0670 | 0.0750 | 0.0814 || 0.0832 | 0.1280 | 0.1581 | 0.1855 || 2021-02-12-15-43-36 || 557, 0, 0.43908, True
0.09696  || 0.0480 | 0.0576 | 0.0609 | 0.0623 || 0.0722 | 0.1014 | 0.1139 | 0.1198 || 2021-02-12-15-46-55 || 5, 0.53362, 0.22913, True
0.09663  || 0.0530 | 0.0662 | 0.0752 | 0.0825 || 0.0818 | 0.1231 | 0.1574 | 0.1879 || 2021-02-12-15-47-09 || 1000, 0, 0, True
0.09615  || 0.0531 | 0.0664 | 0.0750 | 0.0812 || 0.0819 | 0.1238 | 0.1565 | 0.1823 || 2021-02-12-15-49-28 || 954, 1.28317, 0.01731, True
0.09600  || 0.0507 | 0.0626 | 0.0679 | 0.0701 || 0.0796 | 0.1159 | 0.1361 | 0.1455 || 2021-02-12-15-47-29 || 5, 0, 0.49303, False
0.09423  || 0.0514 | 0.0636 | 0.0672 | 0.0684 || 0.0785 | 0.1137 | 0.1267 | 0.1323 || 2021-02-12-15-41-55 || 5, 0, 0, False
0.07582  || 0.0409 | 0.0519 | 0.0589 | 0.0655 || 0.0650 | 0.0994 | 0.1258 | 0.1538 || 2021-02-12-15-40-35 || 311, 1.60474, 0.1903, False
0.06880  || 0.0317 | 0.0417 | 0.0469 | 0.0510 || 0.0514 | 0.0825 | 0.1022 | 0.1195 || 2021-02-12-15-41-25 || 10, 0.92715, 0.76214, True
0.06761  || 0.0324 | 0.0442 | 0.0521 | 0.0580 || 0.0509 | 0.0881 | 0.1178 | 0.1427 || 2021-02-12-15-39-51 || 239, 1.18423, 0.67005, False
0.06635  || 0.0320 | 0.0423 | 0.0495 | 0.0553 || 0.0522 | 0.0845 | 0.1119 | 0.1364 || 2021-02-12-15-45-51 || 314, 1.99538, 0.57759, True
0.06490  || 0.0339 | 0.0435 | 0.0503 | 0.0553 || 0.0527 | 0.0827 | 0.1085 | 0.1298 || 2021-02-12-15-46-13 || 863, 0.00464, 0.70737, True
0.06410  || 0.0339 | 0.0441 | 0.0504 | 0.0566 || 0.0543 | 0.0863 | 0.1101 | 0.1364 || 2021-02-12-15-47-38 || 985, 1.96607, 0.25815, False
0.04326  || 0.0250 | 0.0325 | 0.0370 | 0.0402 || 0.0399 | 0.0635 | 0.0807 | 0.0944 || 2021-02-12-15-39-30 || 563, 0.42518, 1.08616, False
0.03289  || 0.0190 | 0.0216 | 0.0227 | 0.0235 || 0.0276 | 0.0357 | 0.0395 | 0.0424 || 2021-02-12-15-42-19 || 5, 2, 0, False
0.03240  || 0.0153 | 0.0215 | 0.0261 | 0.0304 || 0.0256 | 0.0448 | 0.0617 | 0.0801 || 2021-02-12-15-44-51 || 184, 1.99866, 1.18607, True
0.02574  || 0.0132 | 0.0185 | 0.0220 | 0.0257 || 0.0206 | 0.0374 | 0.0509 | 0.0666 || 2021-02-12-15-48-32 || 29, 1.93588, 1.67179, False
0.02402  || 0.0131 | 0.0163 | 0.0183 | 0.0193 || 0.0200 | 0.0303 | 0.0377 | 0.0420 || 2021-02-12-15-50-04 || 9, 0.95953, 1.98033, False
0.02115  || 0.0142 | 0.0190 | 0.0216 | 0.0240 || 0.0220 | 0.0372 | 0.0467 | 0.0572 || 2021-02-12-15-40-54 || 742, 0.3199, 1.7253, True
0.02113  || 0.0117 | 0.0159 | 0.0191 | 0.0214 || 0.0197 | 0.0327 | 0.0448 | 0.0543 || 2021-02-12-15-44-32 || 946, 2, 2, True
0.01917  || 0.0131 | 0.0173 | 0.0202 | 0.0222 || 0.0202 | 0.0334 | 0.0440 | 0.0527 || 2021-02-12-15-42-53 || 134, 0, 1.73859, True
0.01532  || 0.0120 | 0.0158 | 0.0181 | 0.0198 || 0.0195 | 0.0321 | 0.0408 | 0.0476 || 2021-02-12-15-46-35 || 727, 0.22082, 1.9962, False
