Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Digital Music)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.10446  || 0.0567 | 0.0710 | 0.0812 | 0.0877 || 0.0873 | 0.1319 | 0.1700 | 0.1980 || 2021-02-12-15-26-41 || 167, 5, cosine, True, none
0.10349  || 0.0555 | 0.0702 | 0.0795 | 0.0854 || 0.0861 | 0.1316 | 0.1666 | 0.1918 || 2021-02-12-15-27-53 || 242, 1000, cosine, True, none
0.10349  || 0.0553 | 0.0701 | 0.0791 | 0.0852 || 0.0859 | 0.1319 | 0.1657 | 0.1918 || 2021-02-12-15-24-06 || 244, 436, cosine, True, none
0.10312  || 0.0559 | 0.0713 | 0.0799 | 0.0865 || 0.0863 | 0.1341 | 0.1664 | 0.1947 || 2021-02-12-15-26-58 || 174, 605, cosine, True, none
0.10296  || 0.0565 | 0.0700 | 0.0788 | 0.0854 || 0.0881 | 0.1299 | 0.1631 | 0.1911 || 2021-02-12-15-30-20 || 294, 1000, cosine, True, none
0.10248  || 0.0567 | 0.0707 | 0.0801 | 0.0865 || 0.0879 | 0.1310 | 0.1662 | 0.1940 || 2021-02-12-15-29-42 || 235, 5, cosine, True, none
0.10143  || 0.0557 | 0.0693 | 0.0783 | 0.0852 || 0.0859 | 0.1280 | 0.1619 | 0.1913 || 2021-02-12-15-27-37 || 337, 5, cosine, True, none
0.10083  || 0.0549 | 0.0693 | 0.0775 | 0.0843 || 0.0845 | 0.1292 | 0.1603 | 0.1890 || 2021-02-12-15-28-45 || 356, 1000, cosine, True, none
0.10078  || 0.0552 | 0.0693 | 0.0778 | 0.0844 || 0.0850 | 0.1289 | 0.1612 | 0.1890 || 2021-02-12-15-22-56 || 360, 467, cosine, True, none
0.10016  || 0.0545 | 0.0677 | 0.0763 | 0.0819 || 0.0836 | 0.1240 | 0.1547 | 0.1792 || 2021-02-12-15-30-51 || 189, 234, cosine, False, none
0.09982  || 0.0544 | 0.0683 | 0.0769 | 0.0831 || 0.0846 | 0.1265 | 0.1574 | 0.1837 || 2021-02-12-15-23-28 || 308, 470, cosine, False, none
0.09919  || 0.0548 | 0.0681 | 0.0777 | 0.0840 || 0.0839 | 0.1249 | 0.1612 | 0.1880 || 2021-02-12-15-28-28 || 463, 5, cosine, True, none
0.09901  || 0.0541 | 0.0677 | 0.0765 | 0.0836 || 0.0837 | 0.1258 | 0.1592 | 0.1891 || 2021-02-12-15-29-18 || 442, 1000, cosine, True, none
0.09861  || 0.0548 | 0.0673 | 0.0757 | 0.0816 || 0.0854 | 0.1244 | 0.1556 | 0.1805 || 2021-02-12-15-22-38 || 373, 478, cosine, False, none
0.09837  || 0.0549 | 0.0679 | 0.0770 | 0.0833 || 0.0848 | 0.1253 | 0.1594 | 0.1862 || 2021-02-12-15-31-07 || 484, 507, cosine, True, none
0.09809  || 0.0537 | 0.0673 | 0.0759 | 0.0824 || 0.0825 | 0.1244 | 0.1567 | 0.1846 || 2021-02-12-15-28-11 || 692, 5, cosine, True, none
0.09753  || 0.0550 | 0.0682 | 0.0773 | 0.0838 || 0.0845 | 0.1254 | 0.1599 | 0.1875 || 2021-02-12-15-27-19 || 523, 1000, cosine, True, none
0.09714  || 0.0521 | 0.0643 | 0.0734 | 0.0790 || 0.0799 | 0.1186 | 0.1503 | 0.1732 || 2021-02-12-15-29-57 || 147, 1000, cosine, False, none
0.09709  || 0.0548 | 0.0676 | 0.0757 | 0.0825 || 0.0850 | 0.1249 | 0.1552 | 0.1835 || 2021-02-12-15-21-19 || 563, 217, cosine, False, none
0.09694  || 0.0536 | 0.0668 | 0.0748 | 0.0825 || 0.0825 | 0.1236 | 0.1538 | 0.1864 || 2021-02-12-15-25-57 || 676, 1000, cosine, True, none
0.09573  || 0.0509 | 0.0640 | 0.0713 | 0.0765 || 0.0774 | 0.1164 | 0.1442 | 0.1668 || 2021-02-12-15-29-31 || 127, 5, cosine, False, none
0.09557  || 0.0536 | 0.0666 | 0.0747 | 0.0818 || 0.0823 | 0.1227 | 0.1532 | 0.1834 || 2021-02-12-15-25-33 || 799, 755, cosine, True, none
0.09537  || 0.0548 | 0.0669 | 0.0754 | 0.0821 || 0.0839 | 0.1227 | 0.1539 | 0.1821 || 2021-02-12-15-21-44 || 594, 338, cosine, False, none
0.09496  || 0.0531 | 0.0658 | 0.0748 | 0.0818 || 0.0809 | 0.1200 | 0.1536 | 0.1828 || 2021-02-12-15-30-09 || 726, 558, cosine, False, none
0.09448  || 0.0541 | 0.0659 | 0.0751 | 0.0814 || 0.0828 | 0.1191 | 0.1539 | 0.1808 || 2021-02-12-15-22-17 || 791, 10, cosine, False, none
0.09442  || 0.0532 | 0.0663 | 0.0742 | 0.0811 || 0.0823 | 0.1229 | 0.1527 | 0.1823 || 2021-02-12-15-23-11 || 903, 433, cosine, True, none
0.09409  || 0.0533 | 0.0664 | 0.0743 | 0.0811 || 0.0821 | 0.1229 | 0.1525 | 0.1816 || 2021-02-12-15-23-50 || 942, 465, cosine, True, none
0.09354  || 0.0532 | 0.0664 | 0.0742 | 0.0813 || 0.0816 | 0.1227 | 0.1521 | 0.1823 || 2021-02-12-15-25-10 || 1000, 1000, cosine, True, none
0.09348  || 0.0530 | 0.0665 | 0.0740 | 0.0808 || 0.0816 | 0.1236 | 0.1520 | 0.1810 || 2021-02-12-15-24-54 || 1000, 146, cosine, True, none
0.09309  || 0.0535 | 0.0660 | 0.0747 | 0.0816 || 0.0816 | 0.1197 | 0.1527 | 0.1819 || 2021-02-12-15-29-01 || 887, 1000, cosine, False, none
0.09296  || 0.0533 | 0.0657 | 0.0746 | 0.0812 || 0.0814 | 0.1195 | 0.1530 | 0.1812 || 2021-02-12-15-30-35 || 915, 5, cosine, False, none
0.09274  || 0.0480 | 0.0607 | 0.0684 | 0.0720 || 0.0736 | 0.1121 | 0.1391 | 0.1567 || 2021-02-12-15-22-04 || 100, 366, cosine, False, none
0.04351  || 0.0230 | 0.0292 | 0.0325 | 0.0345 || 0.0343 | 0.0532 | 0.0646 | 0.0715 || 2021-02-12-15-24-40 || 5, 5, cosine, True, none
0.02115  || 0.0143 | 0.0166 | 0.0172 | 0.0181 || 0.0215 | 0.0274 | 0.0314 | 0.0339 || 2021-02-12-15-26-25 || 5, 280, cosine, True, none
0.01886  || 0.0106 | 0.0141 | 0.0158 | 0.0169 || 0.0159 | 0.0258 | 0.0296 | 0.0334 || 2021-02-12-15-24-26 || 7, 999, cosine, False, none
