Reporting the nDCG & Recall for 'WMF' on 'Amazon (Digital Music)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.11023  || 0.0561 | 0.0718 | 0.0810 | 0.0869 || 0.0895 | 0.1384 | 0.1732 | 0.1983 || 2021-02-12-16-11-40 || 19, 146, 0.01, 15
0.11023  || 0.0568 | 0.0721 | 0.0804 | 0.0863 || 0.0911 | 0.1386 | 0.1700 | 0.1953 || 2021-02-12-16-08-38 || 13, 153, 0.01, 15
0.10980  || 0.0540 | 0.0705 | 0.0789 | 0.0846 || 0.0854 | 0.1364 | 0.1678 | 0.1920 || 2021-02-12-16-01-35 || 26, 158, 0.01, 15
0.10963  || 0.0543 | 0.0705 | 0.0782 | 0.0850 || 0.0864 | 0.1368 | 0.1658 | 0.1947 || 2021-02-12-16-12-38 || 19, 130, 0.01, 15
0.10942  || 0.0548 | 0.0700 | 0.0799 | 0.0856 || 0.0877 | 0.1350 | 0.1722 | 0.1962 || 2021-02-12-16-12-07 || 12, 139, 0.01, 15
0.10920  || 0.0539 | 0.0701 | 0.0777 | 0.0840 || 0.0846 | 0.1348 | 0.1635 | 0.1900 || 2021-02-12-16-06-18 || 29, 166, 0.01, 15
0.10905  || 0.0559 | 0.0718 | 0.0812 | 0.0872 || 0.0890 | 0.1386 | 0.1742 | 0.1992 || 2021-02-12-16-13-46 || 11, 123, 0.01, 15
0.10898  || 0.0544 | 0.0698 | 0.0780 | 0.0845 || 0.0873 | 0.1352 | 0.1664 | 0.1938 || 2021-02-12-16-03-45 || 37, 147, 0.01, 15
0.10892  || 0.0547 | 0.0711 | 0.0797 | 0.0854 || 0.0863 | 0.1372 | 0.1700 | 0.1940 || 2021-02-12-16-13-11 || 29, 152, 0.01, 15
0.10882  || 0.0538 | 0.0692 | 0.0776 | 0.0833 || 0.0857 | 0.1332 | 0.1648 | 0.1890 || 2021-02-12-16-06-51 || 34, 158, 0.01, 15
