Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Electronics)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.02616  || 0.0118 | 0.0147 | 0.0164 | 0.0178 || 0.0179 | 0.0269 | 0.0336 | 0.0393 || 2021-02-14-16-06-15 || 1000, 195, cosine, True, none
0.02615  || 0.0118 | 0.0147 | 0.0164 | 0.0178 || 0.0179 | 0.0270 | 0.0336 | 0.0391 || 2021-02-15-02-23-38 || 981, 190, cosine, True, none
0.02607  || 0.0119 | 0.0148 | 0.0166 | 0.0179 || 0.0182 | 0.0273 | 0.0341 | 0.0398 || 2021-02-15-01-55-21 || 801, 314, cosine, True, none
0.02606  || 0.0120 | 0.0149 | 0.0168 | 0.0181 || 0.0183 | 0.0276 | 0.0345 | 0.0403 || 2021-02-15-03-28-11 || 963, 425, cosine, True, none
0.02605  || 0.0115 | 0.0143 | 0.0159 | 0.0171 || 0.0174 | 0.0260 | 0.0322 | 0.0374 || 2021-02-15-04-26-41 || 821, 114, cosine, True, none
0.02598  || 0.0120 | 0.0148 | 0.0167 | 0.0180 || 0.0183 | 0.0271 | 0.0342 | 0.0397 || 2021-02-14-22-16-12 || 583, 371, cosine, True, none
0.02581  || 0.0119 | 0.0150 | 0.0168 | 0.0182 || 0.0181 | 0.0277 | 0.0344 | 0.0405 || 2021-02-14-21-47-24 || 830, 595, cosine, True, none
0.02579  || 0.0120 | 0.0150 | 0.0168 | 0.0182 || 0.0183 | 0.0277 | 0.0345 | 0.0406 || 2021-02-15-05-25-08 || 929, 626, cosine, True, none
0.02578  || 0.0119 | 0.0148 | 0.0167 | 0.0180 || 0.0182 | 0.0273 | 0.0342 | 0.0398 || 2021-02-14-20-51-07 || 506, 475, cosine, True, none
0.02575  || 0.0114 | 0.0141 | 0.0156 | 0.0168 || 0.0171 | 0.0255 | 0.0314 | 0.0362 || 2021-02-15-02-57-40 || 928, 86, cosine, True, none
0.02564  || 0.0114 | 0.0141 | 0.0158 | 0.0169 || 0.0172 | 0.0257 | 0.0319 | 0.0367 || 2021-02-14-18-57-32 || 180, 159, cosine, True, none
0.02543  || 0.0120 | 0.0151 | 0.0169 | 0.0183 || 0.0183 | 0.0279 | 0.0349 | 0.0408 || 2021-02-14-18-28-13 || 1000, 1000, cosine, True, none
