Filename:        2021-05-02-02-50-32-877068
Command:         200, 1, 0.5

Val nDCG@10:     0.01922

Test nDCG@5:     0.00907 (0.00018)
Test nDCG@10:    0.01167 (0.00020)
Test nDCG@15:    0.01339 (0.00020)
Test nDCG@20:    0.01475 (0.00020)
Test nDCG@25:    0.01590 (0.00021)
Test nDCG@50:    0.01974 (0.00021)
Test nDCG@75:    0.02222 (0.00022)
Test nDCG@100:   0.02417 (0.00022)

Test Recall@5:   0.01411 (0.00027)
Test Recall@10:  0.02220 (0.00034)
Test Recall@15:  0.02875 (0.00038)
Test Recall@20:  0.03451 (0.00042)
Test Recall@25:  0.03977 (0.00045)
Test Recall@50:  0.05983 (0.00054)
Test Recall@75:  0.07465 (0.00060)
Test Recall@100: 0.08726 (0.00064)

