Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Electronics)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.02717  || 0.0125 | 0.0155 | 0.0173 | 0.0187 || 0.0191 | 0.0286 | 0.0354 | 0.0411 || 2021-02-14-22-13-02 || 713, 0.33886, 0.08241, False
0.02700  || 0.0122 | 0.0152 | 0.0169 | 0.0182 || 0.0186 | 0.0279 | 0.0343 | 0.0398 || 2021-02-15-00-35-20 || 765, 0.42181, 0.06281, False
0.02678  || 0.0120 | 0.0148 | 0.0164 | 0.0176 || 0.0181 | 0.0270 | 0.0332 | 0.0379 || 2021-02-14-20-30-12 || 1000, 0.40277, 0.15256, False
0.02665  || 0.0122 | 0.0152 | 0.0170 | 0.0182 || 0.0185 | 0.0279 | 0.0345 | 0.0396 || 2021-02-14-23-14-23 || 284, 0.38337, 0, False
0.02647  || 0.0124 | 0.0155 | 0.0175 | 0.0189 || 0.0190 | 0.0288 | 0.0362 | 0.0423 || 2021-02-14-19-48-49 || 1000, 0.21663, 0.07552, False
0.02633  || 0.0123 | 0.0155 | 0.0174 | 0.0189 || 0.0188 | 0.0288 | 0.0360 | 0.0424 || 2021-02-14-17-27-32 || 993, 0.30266, 0, False
0.02550  || 0.0121 | 0.0154 | 0.0172 | 0.0188 || 0.0186 | 0.0287 | 0.0359 | 0.0423 || 2021-02-14-20-09-36 || 1000, 0.19259, 0, False
0.02358  || 0.0114 | 0.0143 | 0.0162 | 0.0175 || 0.0173 | 0.0263 | 0.0333 | 0.0389 || 2021-02-14-17-07-39 || 576, 0, 0, False
0.02166  || 0.0098 | 0.0120 | 0.0134 | 0.0144 || 0.0147 | 0.0218 | 0.0268 | 0.0310 || 2021-02-14-17-47-51 || 974, 0.02965, 0.39201, False
0.02126  || 0.0095 | 0.0110 | 0.0116 | 0.0119 || 0.0139 | 0.0187 | 0.0210 | 0.0221 || 2021-02-14-18-48-58 || 6, 0.33475, 0.26899, False
0.01997  || 0.0092 | 0.0107 | 0.0114 | 0.0120 || 0.0131 | 0.0176 | 0.0204 | 0.0228 || 2021-02-14-16-48-10 || 380, 0.00991, 0.00783, True
0.01878  || 0.0083 | 0.0097 | 0.0105 | 0.0111 || 0.0120 | 0.0163 | 0.0193 | 0.0217 || 2021-02-14-15-47-30 || 215, 0.71917, 0.00051, True
0.01604  || 0.0069 | 0.0081 | 0.0087 | 0.0092 || 0.0098 | 0.0137 | 0.0161 | 0.0182 || 2021-02-15-01-35-20 || 108, 1.29458, 0.01037, True
0.01497  || 0.0063 | 0.0076 | 0.0084 | 0.0090 || 0.0091 | 0.0130 | 0.0160 | 0.0186 || 2021-02-14-18-28-26 || 983, 0.9564, 0.00823, False
0.01255  || 0.0054 | 0.0063 | 0.0069 | 0.0072 || 0.0076 | 0.0106 | 0.0126 | 0.0141 || 2021-02-14-21-11-17 || 67, 1.97506, 0.01168, True
0.00745  || 0.0029 | 0.0038 | 0.0044 | 0.0049 || 0.0045 | 0.0073 | 0.0097 | 0.0117 || 2021-02-14-16-27-44 || 897, 1.73267, 0.28523, True
0.00727  || 0.0029 | 0.0037 | 0.0041 | 0.0045 || 0.0044 | 0.0067 | 0.0085 | 0.0101 || 2021-02-14-22-33-38 || 992, 0.50648, 0.47234, True
0.00565  || 0.0024 | 0.0031 | 0.0036 | 0.0040 || 0.0036 | 0.0057 | 0.0075 | 0.0094 || 2021-02-14-23-34-31 || 974, 1.99303, 0.06709, False
0.00503  || 0.0021 | 0.0027 | 0.0032 | 0.0035 || 0.0032 | 0.0050 | 0.0068 | 0.0082 || 2021-02-14-14-46-40 || 311, 1.60474, 0.1903, False
0.00409  || 0.0017 | 0.0022 | 0.0025 | 0.0028 || 0.0027 | 0.0041 | 0.0053 | 0.0064 || 2021-02-14-20-51-01 || 37, 0.00641, 0.75639, True
0.00340  || 0.0014 | 0.0018 | 0.0020 | 0.0022 || 0.0021 | 0.0034 | 0.0043 | 0.0052 || 2021-02-14-15-27-34 || 10, 0.92715, 0.76214, True
0.00301  || 0.0013 | 0.0017 | 0.0020 | 0.0022 || 0.0020 | 0.0032 | 0.0044 | 0.0054 || 2021-02-14-14-26-39 || 239, 1.18423, 0.67005, False
0.00259  || 0.0010 | 0.0014 | 0.0017 | 0.0019 || 0.0016 | 0.0029 | 0.0039 | 0.0048 || 2021-02-14-22-54-14 || 201, 1.98779, 0.77789, True
0.00208  || 0.0010 | 0.0013 | 0.0015 | 0.0017 || 0.0015 | 0.0025 | 0.0034 | 0.0041 || 2021-02-14-14-06-18 || 563, 0.42518, 1.08616, False
0.00203  || 0.0008 | 0.0012 | 0.0014 | 0.0016 || 0.0013 | 0.0023 | 0.0032 | 0.0040 || 2021-02-14-19-08-25 || 239, 1.99048, 1.02182, False
0.00174  || 0.0008 | 0.0011 | 0.0012 | 0.0014 || 0.0013 | 0.0020 | 0.0026 | 0.0032 || 2021-02-14-21-52-17 || 976, 1.24957, 1.31553, True
0.00173  || 0.0008 | 0.0010 | 0.0012 | 0.0014 || 0.0012 | 0.0020 | 0.0028 | 0.0034 || 2021-02-15-00-55-59 || 953, 1.98525, 1.52363, False
0.00167  || 0.0008 | 0.0010 | 0.0012 | 0.0013 || 0.0012 | 0.0019 | 0.0025 | 0.0030 || 2021-02-15-01-15-56 || 11, 1.15022, 1.46197, False
0.00152  || 0.0007 | 0.0010 | 0.0011 | 0.0013 || 0.0011 | 0.0019 | 0.0024 | 0.0029 || 2021-02-14-16-07-43 || 56, 1.56348, 2, False
0.00147  || 0.0007 | 0.0009 | 0.0010 | 0.0012 || 0.0011 | 0.0017 | 0.0022 | 0.0027 || 2021-02-14-18-08-04 || 996, 1.96413, 1.78395, True
