Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Electronics)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.02369  || 0.0109 | 0.0137 | 0.0155 | 0.0167 || 0.0165 | 0.0252 | 0.0319 | 0.0371 || 2021-02-14-07-50-53 || 980, 1000, cosine, True, none
0.02367  || 0.0110 | 0.0137 | 0.0155 | 0.0168 || 0.0167 | 0.0253 | 0.0320 | 0.0372 || 2021-02-13-15-18-40 || 1000, 970, cosine, True, none
0.02364  || 0.0109 | 0.0137 | 0.0155 | 0.0167 || 0.0165 | 0.0252 | 0.0318 | 0.0371 || 2021-02-14-09-09-08 || 975, 532, cosine, True, none
0.02361  || 0.0109 | 0.0136 | 0.0153 | 0.0166 || 0.0165 | 0.0250 | 0.0314 | 0.0369 || 2021-02-13-19-49-18 || 935, 1000, cosine, True, none
0.02358  || 0.0108 | 0.0136 | 0.0153 | 0.0166 || 0.0165 | 0.0252 | 0.0316 | 0.0369 || 2021-02-14-08-30-13 || 937, 70, cosine, True, none
0.02354  || 0.0109 | 0.0135 | 0.0153 | 0.0165 || 0.0165 | 0.0249 | 0.0314 | 0.0367 || 2021-02-13-19-09-26 || 1000, 5, cosine, True, none
0.02352  || 0.0108 | 0.0135 | 0.0151 | 0.0164 || 0.0163 | 0.0248 | 0.0308 | 0.0363 || 2021-02-13-17-12-50 || 844, 1000, cosine, True, none
0.02346  || 0.0107 | 0.0135 | 0.0150 | 0.0163 || 0.0162 | 0.0247 | 0.0307 | 0.0361 || 2021-02-14-02-45-33 || 823, 957, cosine, True, none
0.02335  || 0.0106 | 0.0134 | 0.0150 | 0.0163 || 0.0162 | 0.0248 | 0.0310 | 0.0361 || 2021-02-14-06-34-12 || 906, 5, cosine, True, none
0.02330  || 0.0106 | 0.0132 | 0.0148 | 0.0159 || 0.0160 | 0.0242 | 0.0301 | 0.0350 || 2021-02-13-22-23-35 || 728, 963, cosine, True, none
0.02296  || 0.0102 | 0.0127 | 0.0142 | 0.0154 || 0.0153 | 0.0231 | 0.0289 | 0.0336 || 2021-02-14-05-56-15 || 594, 565, cosine, True, none
0.02293  || 0.0103 | 0.0128 | 0.0143 | 0.0155 || 0.0155 | 0.0235 | 0.0293 | 0.0340 || 2021-02-13-18-30-35 || 667, 5, cosine, True, none
0.02284  || 0.0101 | 0.0127 | 0.0143 | 0.0154 || 0.0151 | 0.0228 | 0.0285 | 0.0332 || 2021-02-13-23-02-45 || 997, 9, cosine, False, none
0.02284  || 0.0101 | 0.0126 | 0.0143 | 0.0154 || 0.0150 | 0.0228 | 0.0285 | 0.0332 || 2021-02-13-16-34-52 || 1000, 908, cosine, False, none
0.02274  || 0.0102 | 0.0126 | 0.0141 | 0.0152 || 0.0153 | 0.0228 | 0.0284 | 0.0330 || 2021-02-14-05-16-28 || 548, 634, cosine, True, none
0.02251  || 0.0100 | 0.0125 | 0.0140 | 0.0151 || 0.0148 | 0.0223 | 0.0279 | 0.0325 || 2021-02-14-00-17-45 || 883, 1000, cosine, False, none
0.02245  || 0.0101 | 0.0124 | 0.0138 | 0.0149 || 0.0152 | 0.0225 | 0.0280 | 0.0324 || 2021-02-13-21-07-20 || 497, 995, cosine, True, none
0.02243  || 0.0099 | 0.0123 | 0.0137 | 0.0148 || 0.0150 | 0.0224 | 0.0278 | 0.0324 || 2021-02-13-17-52-05 || 479, 11, cosine, True, none
0.02219  || 0.0098 | 0.0123 | 0.0139 | 0.0149 || 0.0146 | 0.0220 | 0.0274 | 0.0319 || 2021-02-13-14-06-14 || 791, 10, cosine, False, none
0.02215  || 0.0098 | 0.0123 | 0.0138 | 0.0149 || 0.0147 | 0.0219 | 0.0273 | 0.0319 || 2021-02-14-04-01-34 || 782, 711, cosine, False, none
0.02168  || 0.0097 | 0.0120 | 0.0135 | 0.0145 || 0.0143 | 0.0212 | 0.0266 | 0.0308 || 2021-02-14-04-39-00 || 685, 22, cosine, False, none
0.02108  || 0.0092 | 0.0116 | 0.0130 | 0.0139 || 0.0136 | 0.0206 | 0.0255 | 0.0295 || 2021-02-13-12-53-27 || 594, 338, cosine, False, none
0.02098  || 0.0092 | 0.0116 | 0.0130 | 0.0139 || 0.0136 | 0.0205 | 0.0255 | 0.0294 || 2021-02-14-01-33-00 || 589, 755, cosine, False, none
0.02085  || 0.0092 | 0.0115 | 0.0128 | 0.0138 || 0.0136 | 0.0203 | 0.0251 | 0.0290 || 2021-02-13-12-15-27 || 563, 217, cosine, False, none
0.02072  || 0.0092 | 0.0114 | 0.0126 | 0.0135 || 0.0138 | 0.0205 | 0.0251 | 0.0289 || 2021-02-13-23-40-31 || 310, 60, cosine, True, none
0.02062  || 0.0092 | 0.0114 | 0.0127 | 0.0136 || 0.0136 | 0.0200 | 0.0248 | 0.0285 || 2021-02-14-03-24-47 || 533, 283, cosine, False, none
0.01987  || 0.0089 | 0.0110 | 0.0122 | 0.0131 || 0.0131 | 0.0190 | 0.0236 | 0.0272 || 2021-02-14-07-13-57 || 463, 825, cosine, False, none
0.01978  || 0.0089 | 0.0109 | 0.0120 | 0.0128 || 0.0132 | 0.0196 | 0.0238 | 0.0270 || 2021-02-13-20-28-28 || 253, 27, cosine, True, none
0.01893  || 0.0085 | 0.0104 | 0.0114 | 0.0121 || 0.0126 | 0.0184 | 0.0222 | 0.0254 || 2021-02-14-09-47-44 || 218, 990, cosine, True, none
0.01873  || 0.0084 | 0.0103 | 0.0115 | 0.0122 || 0.0123 | 0.0179 | 0.0219 | 0.0249 || 2021-02-13-14-42-23 || 373, 478, cosine, False, none
0.01817  || 0.0083 | 0.0100 | 0.0109 | 0.0116 || 0.0123 | 0.0176 | 0.0212 | 0.0242 || 2021-02-14-00-54-45 || 184, 31, cosine, True, none
0.01812  || 0.0082 | 0.0099 | 0.0110 | 0.0118 || 0.0120 | 0.0170 | 0.0209 | 0.0238 || 2021-02-14-02-09-08 || 335, 740, cosine, False, none
0.01014  || 0.0049 | 0.0059 | 0.0064 | 0.0068 || 0.0069 | 0.0096 | 0.0115 | 0.0129 || 2021-02-13-13-31-13 || 100, 366, cosine, False, none
0.00646  || 0.0031 | 0.0037 | 0.0041 | 0.0045 || 0.0044 | 0.0063 | 0.0077 | 0.0090 || 2021-02-13-21-45-44 || 22, 8, cosine, True, none
0.00282  || 0.0013 | 0.0016 | 0.0019 | 0.0020 || 0.0018 | 0.0029 | 0.0037 | 0.0043 || 2021-02-13-15-57-54 || 6, 765, cosine, True, none
