Reporting the nDCG & Recall for 'WMF' on 'Amazon (Electronics)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.02182  || 0.0097 | 0.0123 | 0.0140 | 0.0152 || 0.0149 | 0.0230 | 0.0293 | 0.0342 || 2021-02-15-07-15-32 || 34, 199, 0.01, 15
0.02181  || 0.0097 | 0.0123 | 0.0139 | 0.0152 || 0.0150 | 0.0229 | 0.0291 | 0.0345 || 2021-02-15-07-42-50 || 50, 199, 0.01, 15
0.02173  || 0.0096 | 0.0121 | 0.0138 | 0.0151 || 0.0147 | 0.0227 | 0.0289 | 0.0343 || 2021-02-15-16-30-22 || 61, 199, 0.01, 15
0.02170  || 0.0096 | 0.0123 | 0.0139 | 0.0151 || 0.0147 | 0.0228 | 0.0289 | 0.0343 || 2021-02-15-10-52-27 || 52, 194, 0.01, 15
0.02149  || 0.0099 | 0.0124 | 0.0141 | 0.0153 || 0.0150 | 0.0227 | 0.0293 | 0.0343 || 2021-02-15-08-37-22 || 25, 200, 0.01, 15
0.02148  || 0.0096 | 0.0123 | 0.0140 | 0.0152 || 0.0146 | 0.0230 | 0.0294 | 0.0346 || 2021-02-15-13-53-08 || 44, 198, 0.01, 15
0.02146  || 0.0097 | 0.0123 | 0.0140 | 0.0152 || 0.0149 | 0.0229 | 0.0292 | 0.0344 || 2021-02-15-11-19-00 || 42, 182, 0.01, 15
0.02144  || 0.0099 | 0.0124 | 0.0140 | 0.0152 || 0.0149 | 0.0227 | 0.0291 | 0.0341 || 2021-02-15-15-37-39 || 22, 200, 0.01, 15
0.02133  || 0.0094 | 0.0122 | 0.0139 | 0.0151 || 0.0144 | 0.0229 | 0.0293 | 0.0343 || 2021-02-15-02-48-02 || 32, 180, 0.01, 15
0.02129  || 0.0097 | 0.0123 | 0.0140 | 0.0152 || 0.0147 | 0.0227 | 0.0293 | 0.0347 || 2021-02-15-05-27-18 || 68, 200, 0.01, 15
0.02124  || 0.0097 | 0.0123 | 0.0139 | 0.0151 || 0.0148 | 0.0227 | 0.0289 | 0.0338 || 2021-02-15-12-36-25 || 18, 200, 0.01, 15
0.02114  || 0.0095 | 0.0122 | 0.0139 | 0.0151 || 0.0146 | 0.0227 | 0.0293 | 0.0344 || 2021-02-15-05-54-56 || 82, 200, 0.01, 15
0.02111  || 0.0094 | 0.0119 | 0.0135 | 0.0147 || 0.0143 | 0.0223 | 0.0284 | 0.0334 || 2021-02-15-16-03-58 || 94, 199, 0.01, 15
0.02108  || 0.0094 | 0.0120 | 0.0136 | 0.0148 || 0.0143 | 0.0224 | 0.0285 | 0.0337 || 2021-02-15-02-21-34 || 25, 159, 0.01, 15
0.02093  || 0.0093 | 0.0120 | 0.0137 | 0.0149 || 0.0142 | 0.0225 | 0.0290 | 0.0340 || 2021-02-15-04-07-46 || 100, 200, 0.01, 15
0.02079  || 0.0093 | 0.0119 | 0.0135 | 0.0148 || 0.0141 | 0.0221 | 0.0284 | 0.0336 || 2021-02-15-13-02-37 || 53, 151, 0.01, 15
0.02068  || 0.0095 | 0.0119 | 0.0135 | 0.0146 || 0.0146 | 0.0221 | 0.0281 | 0.0328 || 2021-02-15-09-30-48 || 12, 200, 0.01, 15
0.02066  || 0.0092 | 0.0119 | 0.0134 | 0.0146 || 0.0142 | 0.0224 | 0.0282 | 0.0335 || 2021-02-15-08-10-27 || 99, 189, 0.01, 15
0.02063  || 0.0092 | 0.0119 | 0.0135 | 0.0147 || 0.0141 | 0.0225 | 0.0286 | 0.0338 || 2021-02-15-14-19-46 || 66, 149, 0.01, 15
0.02030  || 0.0092 | 0.0119 | 0.0134 | 0.0146 || 0.0142 | 0.0224 | 0.0283 | 0.0333 || 2021-02-15-06-22-30 || 100, 169, 0.01, 15
0.02014  || 0.0091 | 0.0117 | 0.0133 | 0.0145 || 0.0141 | 0.0221 | 0.0282 | 0.0333 || 2021-02-15-12-10-53 || 86, 155, 0.01, 15
0.02006  || 0.0093 | 0.0117 | 0.0131 | 0.0143 || 0.0141 | 0.0215 | 0.0271 | 0.0320 || 2021-02-15-15-10-55 || 8, 198, 0.01, 15
0.01993  || 0.0093 | 0.0118 | 0.0134 | 0.0147 || 0.0141 | 0.0220 | 0.0280 | 0.0336 || 2021-02-15-01-55-29 || 57, 121, 0.01, 15
0.01984  || 0.0088 | 0.0114 | 0.0131 | 0.0143 || 0.0135 | 0.0216 | 0.0278 | 0.0328 || 2021-02-15-03-15-01 || 75, 116, 0.01, 15
0.01977  || 0.0089 | 0.0115 | 0.0131 | 0.0143 || 0.0138 | 0.0217 | 0.0278 | 0.0330 || 2021-02-15-06-48-57 || 31, 104, 0.01, 15
