Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Movies & TV)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-21-49-41 || 5, 5, cosine, True, none
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-21-21-48 || 5, 5, cosine, True, none
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-20-54-20 || 5, 5, cosine, True, none
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-18-31-04 || 5, 5, cosine, True, none
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-16-54-08 || 5, 5, cosine, True, none
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-16-41-10 || 5, 5, cosine, True, none
0.05295  || 0.0237 | 0.0290 | 0.0313 | 0.0325 || 0.0371 | 0.0535 | 0.0621 | 0.0672 || 2021-02-14-15-59-43 || 5, 5, cosine, True, none
0.05122  || 0.0228 | 0.0283 | 0.0314 | 0.0337 || 0.0357 | 0.0525 | 0.0645 | 0.0739 || 2021-02-14-16-27-22 || 337, 5, cosine, True, none
0.05093  || 0.0230 | 0.0285 | 0.0317 | 0.0340 || 0.0359 | 0.0529 | 0.0650 | 0.0747 || 2021-02-14-16-12-43 || 971, 14, cosine, True, none
0.04935  || 0.0223 | 0.0276 | 0.0306 | 0.0324 || 0.0352 | 0.0517 | 0.0628 | 0.0706 || 2021-02-14-15-32-09 || 6, 133, cosine, True, none
0.04893  || 0.0219 | 0.0275 | 0.0308 | 0.0332 || 0.0346 | 0.0517 | 0.0643 | 0.0747 || 2021-02-14-21-34-51 || 937, 70, cosine, True, none
0.04640  || 0.0209 | 0.0263 | 0.0292 | 0.0313 || 0.0331 | 0.0497 | 0.0608 | 0.0694 || 2021-02-14-17-50-37 || 8, 650, cosine, True, none
0.04611  || 0.0209 | 0.0262 | 0.0296 | 0.0321 || 0.0329 | 0.0497 | 0.0623 | 0.0730 || 2021-02-14-19-27-12 || 719, 207, cosine, True, none
0.04580  || 0.0206 | 0.0260 | 0.0290 | 0.0312 || 0.0324 | 0.0491 | 0.0608 | 0.0699 || 2021-02-14-18-17-36 || 12, 966, cosine, True, none
0.04513  || 0.0205 | 0.0260 | 0.0293 | 0.0318 || 0.0324 | 0.0495 | 0.0620 | 0.0725 || 2021-02-14-19-41-46 || 270, 425, cosine, True, none
0.04377  || 0.0200 | 0.0250 | 0.0276 | 0.0293 || 0.0314 | 0.0467 | 0.0565 | 0.0636 || 2021-02-14-18-59-12 || 6, 749, cosine, False, none
0.04365  || 0.0199 | 0.0252 | 0.0286 | 0.0310 || 0.0316 | 0.0481 | 0.0607 | 0.0709 || 2021-02-14-22-02-42 || 647, 511, cosine, True, none
0.04344  || 0.0199 | 0.0252 | 0.0285 | 0.0310 || 0.0315 | 0.0481 | 0.0605 | 0.0710 || 2021-02-14-20-39-49 || 594, 565, cosine, True, none
0.04336  || 0.0194 | 0.0247 | 0.0279 | 0.0302 || 0.0308 | 0.0471 | 0.0590 | 0.0687 || 2021-02-14-17-22-15 || 35, 994, cosine, False, none
0.04329  || 0.0197 | 0.0249 | 0.0283 | 0.0306 || 0.0310 | 0.0474 | 0.0600 | 0.0701 || 2021-02-14-17-35-40 || 998, 454, cosine, True, none
0.04318  || 0.0198 | 0.0252 | 0.0285 | 0.0309 || 0.0313 | 0.0480 | 0.0605 | 0.0709 || 2021-02-14-20-25-24 || 548, 634, cosine, True, none
0.04281  || 0.0194 | 0.0247 | 0.0280 | 0.0303 || 0.0308 | 0.0471 | 0.0593 | 0.0691 || 2021-02-14-18-04-05 || 59, 9, cosine, False, none
0.04262  || 0.0196 | 0.0248 | 0.0282 | 0.0305 || 0.0309 | 0.0473 | 0.0599 | 0.0700 || 2021-02-14-15-45-30 || 429, 994, cosine, True, none
0.04260  || 0.0195 | 0.0248 | 0.0280 | 0.0305 || 0.0309 | 0.0473 | 0.0595 | 0.0698 || 2021-02-14-19-12-35 || 687, 721, cosine, True, none
0.04183  || 0.0189 | 0.0242 | 0.0275 | 0.0300 || 0.0300 | 0.0464 | 0.0589 | 0.0691 || 2021-02-14-14-34-21 || 100, 366, cosine, False, none
0.04140  || 0.0190 | 0.0241 | 0.0273 | 0.0297 || 0.0300 | 0.0461 | 0.0582 | 0.0684 || 2021-02-14-15-17-09 || 999, 968, cosine, True, none
0.03974  || 0.0184 | 0.0235 | 0.0266 | 0.0289 || 0.0291 | 0.0450 | 0.0567 | 0.0665 || 2021-02-14-15-02-54 || 373, 478, cosine, False, none
0.03931  || 0.0183 | 0.0232 | 0.0265 | 0.0288 || 0.0289 | 0.0443 | 0.0566 | 0.0664 || 2021-02-14-21-07-20 || 463, 825, cosine, False, none
0.03922  || 0.0181 | 0.0232 | 0.0264 | 0.0288 || 0.0286 | 0.0443 | 0.0563 | 0.0663 || 2021-02-14-19-55-42 || 489, 878, cosine, False, none
0.03896  || 0.0180 | 0.0230 | 0.0262 | 0.0286 || 0.0284 | 0.0439 | 0.0561 | 0.0664 || 2021-02-14-14-05-06 || 563, 217, cosine, False, none
0.03889  || 0.0180 | 0.0229 | 0.0261 | 0.0286 || 0.0285 | 0.0438 | 0.0559 | 0.0661 || 2021-02-14-14-19-42 || 594, 338, cosine, False, none
