Filename:        2021-05-02-10-47-14-550199
Command:         200, 1, 0.1

Val nDCG@10:     0.03816

Test nDCG@5:     0.01824 (0.00032)
Test nDCG@10:    0.02369 (0.00034)
Test nDCG@15:    0.02725 (0.00035)
Test nDCG@20:    0.02993 (0.00035)
Test nDCG@25:    0.03210 (0.00036)
Test nDCG@50:    0.03932 (0.00037)
Test nDCG@75:    0.04414 (0.00037)
Test nDCG@100:   0.04781 (0.00037)

Test Recall@5:   0.02895 (0.00048)
Test Recall@10:  0.04592 (0.00059)
Test Recall@15:  0.05941 (0.00067)
Test Recall@20:  0.07074 (0.00073)
Test Recall@25:  0.08068 (0.00077)
Test Recall@50:  0.11834 (0.00092)
Test Recall@75:  0.14720 (0.00101)
Test Recall@100: 0.17093 (0.00107)

