Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Movies & TV)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.05727  || 0.0257 | 0.0324 | 0.0364 | 0.0392 || 0.0406 | 0.0616 | 0.0764 | 0.0886 || 2021-02-14-23-26-19 || 1000, 0.41823, 0.36265, False
0.05725  || 0.0258 | 0.0324 | 0.0363 | 0.0391 || 0.0406 | 0.0610 | 0.0758 | 0.0876 || 2021-02-14-23-05-25 || 1000, 0.36844, 0.40403, False
0.05620  || 0.0255 | 0.0320 | 0.0360 | 0.0389 || 0.0404 | 0.0606 | 0.0759 | 0.0880 || 2021-02-14-19-48-08 || 1000, 0.36821, 0.27051, False
0.05564  || 0.0251 | 0.0318 | 0.0359 | 0.0388 || 0.0398 | 0.0605 | 0.0762 | 0.0884 || 2021-02-14-17-48-53 || 1000, 0.46572, 0.17183, False
0.05562  || 0.0249 | 0.0313 | 0.0353 | 0.0378 || 0.0392 | 0.0592 | 0.0741 | 0.0848 || 2021-02-14-22-05-09 || 1000, 0.53388, 0.37675, False
0.05407  || 0.0247 | 0.0300 | 0.0317 | 0.0326 || 0.0386 | 0.0547 | 0.0614 | 0.0649 || 2021-02-14-22-46-18 || 5, 0.40912, 0.37936, False
0.05390  || 0.0241 | 0.0305 | 0.0343 | 0.0371 || 0.0385 | 0.0581 | 0.0727 | 0.0845 || 2021-02-14-17-27-49 || 911, 0.41459, 0.13631, True
0.05338  || 0.0243 | 0.0307 | 0.0345 | 0.0373 || 0.0385 | 0.0584 | 0.0727 | 0.0846 || 2021-02-14-20-06-51 || 1000, 0.29233, 0.22151, False
0.05336  || 0.0239 | 0.0301 | 0.0337 | 0.0365 || 0.0379 | 0.0572 | 0.0708 | 0.0827 || 2021-02-14-20-26-11 || 1000, 0.46534, 0.28658, True
0.05239  || 0.0235 | 0.0299 | 0.0337 | 0.0364 || 0.0374 | 0.0572 | 0.0714 | 0.0830 || 2021-02-15-00-26-27 || 66, 0.4429, 0.00582, False
0.05228  || 0.0237 | 0.0294 | 0.0326 | 0.0350 || 0.0372 | 0.0548 | 0.0671 | 0.0770 || 2021-02-14-20-46-53 || 762, 0.38412, 0.5866, False
0.05197  || 0.0232 | 0.0288 | 0.0320 | 0.0341 || 0.0364 | 0.0535 | 0.0656 | 0.0746 || 2021-02-14-18-28-46 || 48, 0.62949, 0.3097, False
0.05032  || 0.0224 | 0.0285 | 0.0322 | 0.0348 || 0.0355 | 0.0545 | 0.0684 | 0.0793 || 2021-02-14-16-46-54 || 828, 0.72117, 0.00083, True
0.04896  || 0.0215 | 0.0270 | 0.0305 | 0.0330 || 0.0339 | 0.0512 | 0.0643 | 0.0749 || 2021-02-14-19-06-59 || 987, 0.64348, 0.39611, True
0.04828  || 0.0209 | 0.0257 | 0.0283 | 0.0301 || 0.0324 | 0.0475 | 0.0573 | 0.0649 || 2021-02-15-01-09-20 || 29, 1.04438, 0.25629, True
0.04682  || 0.0214 | 0.0272 | 0.0306 | 0.0333 || 0.0338 | 0.0517 | 0.0648 | 0.0759 || 2021-02-14-15-49-04 || 1000, 0, 0, True
0.04620  || 0.0202 | 0.0257 | 0.0289 | 0.0313 || 0.0319 | 0.0488 | 0.0609 | 0.0713 || 2021-02-14-22-25-45 || 995, 0.96674, 0.01261, False
0.04389  || 0.0196 | 0.0246 | 0.0261 | 0.0268 || 0.0315 | 0.0467 | 0.0525 | 0.0551 || 2021-02-14-16-09-46 || 5, 0, 0, False
0.04372  || 0.0188 | 0.0241 | 0.0272 | 0.0295 || 0.0296 | 0.0461 | 0.0577 | 0.0677 || 2021-02-14-21-46-34 || 975, 1.22233, 0.02751, True
0.04318  || 0.0201 | 0.0245 | 0.0271 | 0.0290 || 0.0314 | 0.0451 | 0.0549 | 0.0629 || 2021-02-14-17-07-00 || 917, 0.00226, 0.51387, True
0.03582  || 0.0149 | 0.0192 | 0.0216 | 0.0235 || 0.0230 | 0.0364 | 0.0457 | 0.0536 || 2021-02-14-19-28-13 || 482, 1.99918, 0.00007, True
0.03393  || 0.0139 | 0.0178 | 0.0203 | 0.0220 || 0.0222 | 0.0343 | 0.0435 | 0.0511 || 2021-02-15-01-29-30 || 994, 1.40491, 0.39903, True
0.03062  || 0.0134 | 0.0165 | 0.0182 | 0.0193 || 0.0208 | 0.0305 | 0.0369 | 0.0417 || 2021-02-14-23-45-44 || 85, 0.01389, 0.74681, False
0.02646  || 0.0103 | 0.0135 | 0.0154 | 0.0168 || 0.0164 | 0.0264 | 0.0335 | 0.0396 || 2021-02-14-21-27-12 || 280, 1.99863, 0.45811, True
0.02454  || 0.0103 | 0.0128 | 0.0143 | 0.0156 || 0.0158 | 0.0236 | 0.0296 | 0.0348 || 2021-02-14-14-49-45 || 311, 1.60474, 0.1903, False
0.02425  || 0.0091 | 0.0113 | 0.0127 | 0.0136 || 0.0142 | 0.0210 | 0.0262 | 0.0302 || 2021-02-14-15-29-11 || 10, 0.92715, 0.76214, True
0.02171  || 0.0088 | 0.0114 | 0.0128 | 0.0140 || 0.0142 | 0.0221 | 0.0276 | 0.0326 || 2021-02-14-14-29-16 || 239, 1.18423, 0.67005, False
0.01543  || 0.0072 | 0.0093 | 0.0105 | 0.0114 || 0.0114 | 0.0179 | 0.0225 | 0.0260 || 2021-02-14-14-07-57 || 563, 0.42518, 1.08616, False
0.00993  || 0.0041 | 0.0056 | 0.0067 | 0.0075 || 0.0067 | 0.0114 | 0.0156 | 0.0191 || 2021-02-14-18-10-20 || 959, 1.9803, 1.1076, True
0.00887  || 0.0041 | 0.0054 | 0.0064 | 0.0071 || 0.0064 | 0.0107 | 0.0143 | 0.0173 || 2021-02-15-00-03-56 || 920, 1.27915, 1.35599, True
0.00695  || 0.0037 | 0.0048 | 0.0054 | 0.0060 || 0.0058 | 0.0090 | 0.0115 | 0.0137 || 2021-02-15-00-47-27 || 769, 0.00301, 1.24758, True
0.00650  || 0.0037 | 0.0048 | 0.0055 | 0.0060 || 0.0056 | 0.0090 | 0.0115 | 0.0136 || 2021-02-14-18-45-28 || 558, 1.12018, 1.99924, False
0.00611  || 0.0037 | 0.0047 | 0.0053 | 0.0059 || 0.0058 | 0.0087 | 0.0112 | 0.0133 || 2021-02-14-15-08-56 || 742, 0.3199, 1.7253, True
0.00578  || 0.0029 | 0.0038 | 0.0044 | 0.0050 || 0.0045 | 0.0073 | 0.0096 | 0.0119 || 2021-02-14-16-28-48 || 217, 1.99501, 1.95766, True
0.00353  || 0.0027 | 0.0033 | 0.0038 | 0.0041 || 0.0041 | 0.0062 | 0.0078 | 0.0091 || 2021-02-14-21-07-28 || 100, 0.0237, 1.995, False
