Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Movies & TV)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05096  || 0.0236 | 0.0298 | 0.0335 | 0.0362 || 0.0370 | 0.0563 | 0.0705 | 0.0818 || 2021-02-14-22-46-44 || 736, 998, cosine, True, none
0.05091  || 0.0235 | 0.0297 | 0.0334 | 0.0361 || 0.0371 | 0.0564 | 0.0704 | 0.0817 || 2021-02-14-17-18-58 || 778, 1000, cosine, True, none
0.05090  || 0.0236 | 0.0296 | 0.0334 | 0.0361 || 0.0372 | 0.0561 | 0.0703 | 0.0815 || 2021-02-14-16-38-15 || 686, 1000, cosine, True, none
0.05082  || 0.0235 | 0.0296 | 0.0334 | 0.0361 || 0.0369 | 0.0559 | 0.0703 | 0.0817 || 2021-02-14-20-11-17 || 731, 18, cosine, True, none
0.05081  || 0.0235 | 0.0296 | 0.0333 | 0.0359 || 0.0370 | 0.0558 | 0.0700 | 0.0807 || 2021-02-14-23-25-10 || 643, 1000, cosine, True, none
0.05078  || 0.0235 | 0.0295 | 0.0331 | 0.0357 || 0.0370 | 0.0557 | 0.0693 | 0.0803 || 2021-02-14-22-26-56 || 594, 565, cosine, True, none
0.05077  || 0.0234 | 0.0294 | 0.0329 | 0.0355 || 0.0370 | 0.0554 | 0.0689 | 0.0796 || 2021-02-14-22-07-11 || 548, 634, cosine, True, none
0.05065  || 0.0234 | 0.0293 | 0.0330 | 0.0356 || 0.0370 | 0.0553 | 0.0694 | 0.0802 || 2021-02-14-19-32-32 || 444, 5, cosine, True, none
0.05064  || 0.0233 | 0.0295 | 0.0333 | 0.0360 || 0.0367 | 0.0559 | 0.0703 | 0.0816 || 2021-02-15-00-05-58 || 770, 14, cosine, True, none
0.05062  || 0.0234 | 0.0296 | 0.0333 | 0.0360 || 0.0370 | 0.0561 | 0.0703 | 0.0819 || 2021-02-14-23-45-23 || 937, 70, cosine, True, none
0.05055  || 0.0235 | 0.0295 | 0.0332 | 0.0359 || 0.0371 | 0.0559 | 0.0699 | 0.0812 || 2021-02-14-16-58-39 || 591, 5, cosine, True, none
0.05055  || 0.0233 | 0.0296 | 0.0334 | 0.0361 || 0.0366 | 0.0562 | 0.0704 | 0.0820 || 2021-02-14-15-18-50 || 911, 985, cosine, True, none
0.05054  || 0.0232 | 0.0294 | 0.0332 | 0.0359 || 0.0366 | 0.0559 | 0.0702 | 0.0817 || 2021-02-14-20-31-31 || 836, 8, cosine, True, none
0.05051  || 0.0234 | 0.0297 | 0.0333 | 0.0361 || 0.0368 | 0.0565 | 0.0704 | 0.0820 || 2021-02-14-14-57-55 || 1000, 968, cosine, True, none
0.05040  || 0.0233 | 0.0291 | 0.0326 | 0.0350 || 0.0367 | 0.0549 | 0.0679 | 0.0784 || 2021-02-14-16-18-16 || 466, 991, cosine, True, none
0.05015  || 0.0233 | 0.0292 | 0.0325 | 0.0349 || 0.0367 | 0.0548 | 0.0674 | 0.0774 || 2021-02-14-18-54-30 || 357, 23, cosine, True, none
0.04973  || 0.0231 | 0.0288 | 0.0322 | 0.0347 || 0.0361 | 0.0536 | 0.0662 | 0.0768 || 2021-02-14-19-51-56 || 1000, 198, cosine, False, none
0.04966  || 0.0231 | 0.0288 | 0.0321 | 0.0347 || 0.0361 | 0.0534 | 0.0658 | 0.0766 || 2021-02-14-15-58-52 || 950, 1000, cosine, False, none
0.04965  || 0.0230 | 0.0288 | 0.0321 | 0.0346 || 0.0358 | 0.0533 | 0.0656 | 0.0762 || 2021-02-14-15-39-37 || 956, 9, cosine, False, none
0.04953  || 0.0230 | 0.0288 | 0.0321 | 0.0345 || 0.0360 | 0.0534 | 0.0658 | 0.0760 || 2021-02-14-18-17-17 || 935, 293, cosine, False, none
0.04917  || 0.0228 | 0.0283 | 0.0317 | 0.0340 || 0.0359 | 0.0523 | 0.0647 | 0.0747 || 2021-02-14-14-20-37 || 791, 10, cosine, False, none
0.04908  || 0.0227 | 0.0283 | 0.0316 | 0.0340 || 0.0356 | 0.0524 | 0.0647 | 0.0745 || 2021-02-14-21-29-24 || 782, 711, cosine, False, none
0.04854  || 0.0225 | 0.0280 | 0.0313 | 0.0335 || 0.0350 | 0.0515 | 0.0636 | 0.0730 || 2021-02-14-21-48-27 || 685, 22, cosine, False, none
0.04818  || 0.0227 | 0.0282 | 0.0312 | 0.0335 || 0.0357 | 0.0527 | 0.0641 | 0.0738 || 2021-02-14-17-39-17 || 253, 27, cosine, True, none
0.04803  || 0.0226 | 0.0280 | 0.0312 | 0.0334 || 0.0356 | 0.0522 | 0.0644 | 0.0737 || 2021-02-14-20-52-02 || 295, 967, cosine, True, none
0.04791  || 0.0224 | 0.0278 | 0.0308 | 0.0329 || 0.0347 | 0.0510 | 0.0621 | 0.0711 || 2021-02-14-13-44-32 || 594, 338, cosine, False, none
0.04758  || 0.0223 | 0.0276 | 0.0307 | 0.0328 || 0.0345 | 0.0506 | 0.0617 | 0.0705 || 2021-02-14-13-25-47 || 563, 217, cosine, False, none
0.04714  || 0.0221 | 0.0273 | 0.0304 | 0.0325 || 0.0342 | 0.0500 | 0.0611 | 0.0699 || 2021-02-14-21-10-57 || 533, 283, cosine, False, none
0.04617  || 0.0219 | 0.0269 | 0.0298 | 0.0319 || 0.0338 | 0.0489 | 0.0598 | 0.0682 || 2021-02-14-23-06-58 || 463, 825, cosine, False, none
0.04470  || 0.0209 | 0.0258 | 0.0284 | 0.0303 || 0.0322 | 0.0466 | 0.0563 | 0.0639 || 2021-02-14-14-39-39 || 373, 478, cosine, False, none
0.04469  || 0.0211 | 0.0259 | 0.0287 | 0.0307 || 0.0327 | 0.0476 | 0.0582 | 0.0664 || 2021-02-15-00-26-07 || 124, 6, cosine, True, none
0.04269  || 0.0206 | 0.0251 | 0.0276 | 0.0294 || 0.0317 | 0.0457 | 0.0551 | 0.0626 || 2021-02-14-19-14-15 || 167, 986, cosine, True, none
0.04002  || 0.0192 | 0.0230 | 0.0253 | 0.0268 || 0.0293 | 0.0406 | 0.0486 | 0.0550 || 2021-02-14-18-36-23 || 238, 1000, cosine, False, none
0.02769  || 0.0131 | 0.0158 | 0.0174 | 0.0185 || 0.0198 | 0.0271 | 0.0325 | 0.0368 || 2021-02-14-14-03-17 || 100, 366, cosine, False, none
0.00527  || 0.0025 | 0.0032 | 0.0036 | 0.0038 || 0.0038 | 0.0054 | 0.0068 | 0.0074 || 2021-02-14-17-58-57 || 5, 866, cosine, True, none
