Reporting the nDCG & Recall for 'WMF' on 'Amazon (Movies & TV)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.04159  || 0.0194 | 0.0253 | 0.0289 | 0.0318 || 0.0311 | 0.0494 | 0.0631 | 0.0753 || 2021-02-15-08-43-18 || 100, 200, 0.01, 15
0.04159  || 0.0194 | 0.0253 | 0.0289 | 0.0318 || 0.0311 | 0.0494 | 0.0631 | 0.0753 || 2021-02-15-03-47-11 || 100, 200, 0.01, 15
0.04153  || 0.0194 | 0.0253 | 0.0289 | 0.0318 || 0.0311 | 0.0494 | 0.0631 | 0.0754 || 2021-02-15-11-16-42 || 97, 200, 0.01, 15
0.04148  || 0.0194 | 0.0253 | 0.0289 | 0.0318 || 0.0310 | 0.0494 | 0.0632 | 0.0754 || 2021-02-15-10-20-16 || 92, 200, 0.01, 15
0.04140  || 0.0194 | 0.0253 | 0.0290 | 0.0318 || 0.0310 | 0.0493 | 0.0633 | 0.0751 || 2021-02-15-05-26-43 || 84, 200, 0.01, 15
0.04138  || 0.0194 | 0.0252 | 0.0290 | 0.0317 || 0.0310 | 0.0493 | 0.0635 | 0.0749 || 2021-02-15-08-23-20 || 76, 200, 0.01, 15
0.04131  || 0.0194 | 0.0252 | 0.0289 | 0.0317 || 0.0310 | 0.0491 | 0.0631 | 0.0750 || 2021-02-15-05-01-09 || 68, 200, 0.01, 15
0.04097  || 0.0188 | 0.0247 | 0.0286 | 0.0314 || 0.0301 | 0.0484 | 0.0632 | 0.0748 || 2021-02-15-04-34-37 || 99, 194, 0.01, 15
0.04071  || 0.0194 | 0.0251 | 0.0288 | 0.0316 || 0.0309 | 0.0489 | 0.0628 | 0.0745 || 2021-02-15-06-49-53 || 48, 200, 0.01, 15
0.04060  || 0.0186 | 0.0246 | 0.0283 | 0.0312 || 0.0299 | 0.0485 | 0.0624 | 0.0749 || 2021-02-15-12-13-26 || 97, 192, 0.01, 15
0.04020  || 0.0192 | 0.0250 | 0.0286 | 0.0314 || 0.0306 | 0.0486 | 0.0623 | 0.0740 || 2021-02-15-12-33-07 || 35, 200, 0.01, 15
0.04001  || 0.0187 | 0.0247 | 0.0281 | 0.0309 || 0.0296 | 0.0483 | 0.0613 | 0.0728 || 2021-02-15-11-54-05 || 87, 180, 0.01, 15
0.03962  || 0.0188 | 0.0246 | 0.0283 | 0.0311 || 0.0301 | 0.0482 | 0.0620 | 0.0741 || 2021-02-15-09-42-17 || 57, 179, 0.01, 15
0.03899  || 0.0181 | 0.0241 | 0.0277 | 0.0306 || 0.0290 | 0.0475 | 0.0613 | 0.0732 || 2021-02-15-09-03-31 || 74, 164, 0.01, 15
0.03890  || 0.0183 | 0.0243 | 0.0279 | 0.0307 || 0.0291 | 0.0476 | 0.0616 | 0.0734 || 2021-02-15-05-52-06 || 100, 169, 0.01, 15
0.03888  || 0.0190 | 0.0244 | 0.0278 | 0.0307 || 0.0303 | 0.0471 | 0.0602 | 0.0721 || 2021-02-15-07-27-56 || 21, 200, 0.01, 15
0.03872  || 0.0187 | 0.0244 | 0.0279 | 0.0306 || 0.0300 | 0.0475 | 0.0610 | 0.0723 || 2021-02-15-02-34-06 || 32, 180, 0.01, 15
0.03816  || 0.0183 | 0.0239 | 0.0275 | 0.0302 || 0.0293 | 0.0468 | 0.0604 | 0.0718 || 2021-02-15-09-22-55 || 46, 158, 0.01, 15
0.03732  || 0.0177 | 0.0233 | 0.0271 | 0.0297 || 0.0285 | 0.0460 | 0.0601 | 0.0714 || 2021-02-15-13-10-33 || 85, 142, 0.01, 15
0.03698  || 0.0173 | 0.0228 | 0.0264 | 0.0292 || 0.0277 | 0.0450 | 0.0586 | 0.0704 || 2021-02-15-10-01-51 || 98, 137, 0.01, 15
