Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Musical Instruments)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.07373  || 0.0398 | 0.0493 | 0.0555 | 0.0600 || 0.0637 | 0.0938 | 0.1169 | 0.1358 || 2021-02-12-14-13-24 || 146, 1000, cosine, True, none
0.07370  || 0.0388 | 0.0500 | 0.0590 | 0.0628 || 0.0609 | 0.0938 | 0.1260 | 0.1449 || 2021-02-12-14-13-23 || 113, 27, cosine, False, none
0.07345  || 0.0389 | 0.0500 | 0.0570 | 0.0623 || 0.0616 | 0.0959 | 0.1176 | 0.1379 || 2021-02-12-14-13-29 || 142, 1000, cosine, False, none
0.07319  || 0.0396 | 0.0491 | 0.0568 | 0.0624 || 0.0623 | 0.0945 | 0.1204 | 0.1435 || 2021-02-12-14-13-14 || 100, 366, cosine, False, none
0.07261  || 0.0414 | 0.0505 | 0.0564 | 0.0609 || 0.0686 | 0.0973 | 0.1197 | 0.1386 || 2021-02-12-14-13-42 || 751, 957, cosine, True, none
0.07261  || 0.0414 | 0.0505 | 0.0564 | 0.0609 || 0.0686 | 0.0973 | 0.1197 | 0.1386 || 2021-02-12-14-13-41 || 955, 1000, cosine, True, none
0.07261  || 0.0414 | 0.0505 | 0.0564 | 0.0609 || 0.0686 | 0.0973 | 0.1197 | 0.1386 || 2021-02-12-14-13-36 || 573, 1000, cosine, True, none
0.07261  || 0.0414 | 0.0505 | 0.0564 | 0.0609 || 0.0686 | 0.0973 | 0.1197 | 0.1386 || 2021-02-12-14-13-32 || 829, 988, cosine, True, none
0.07261  || 0.0414 | 0.0505 | 0.0564 | 0.0609 || 0.0686 | 0.0973 | 0.1197 | 0.1386 || 2021-02-12-14-13-31 || 463, 1000, cosine, True, none
0.07261  || 0.0414 | 0.0505 | 0.0564 | 0.0609 || 0.0686 | 0.0973 | 0.1197 | 0.1386 || 2021-02-12-14-13-28 || 700, 1000, cosine, True, none
