Filename:        2021-05-01-15-34-41-005198
Command:         200, 1, 1.0

Val nDCG@10:     0.06196

Test nDCG@5:     0.02890 (0.00382)
Test nDCG@10:    0.03993 (0.00407)
Test nDCG@15:    0.04604 (0.00416)
Test nDCG@20:    0.05066 (0.00421)
Test nDCG@25:    0.05437 (0.00425)
Test nDCG@50:    0.06737 (0.00432)
Test nDCG@75:    0.07654 (0.00434)
Test nDCG@100:   0.08162 (0.00434)

Test Recall@5:   0.04409 (0.00543)
Test Recall@10:  0.07838 (0.00711)
Test Recall@15:  0.10147 (0.00799)
Test Recall@20:  0.12106 (0.00863)
Test Recall@25:  0.13786 (0.00912)
Test Recall@50:  0.20574 (0.01069)
Test Recall@75:  0.26032 (0.01161)
Test Recall@100: 0.29321 (0.01204)

