Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Musical Instruments)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.07581  || 0.0387 | 0.0500 | 0.0566 | 0.0619 || 0.0630 | 0.0980 | 0.1232 | 0.1456 || 2021-02-12-14-14-12 || 464, 0.32928, 0.11065, False
0.07533  || 0.0392 | 0.0510 | 0.0574 | 0.0621 || 0.0637 | 0.1008 | 0.1253 | 0.1456 || 2021-02-12-14-14-09 || 1000, 0.32068, 0.08827, False
0.07493  || 0.0392 | 0.0508 | 0.0576 | 0.0622 || 0.0637 | 0.1001 | 0.1260 | 0.1456 || 2021-02-12-14-14-02 || 682, 0.35358, 0.07563, False
0.07492  || 0.0383 | 0.0488 | 0.0562 | 0.0611 || 0.0616 | 0.0938 | 0.1218 | 0.1428 || 2021-02-12-14-14-06 || 622, 0.27819, 0.17132, False
0.07491  || 0.0363 | 0.0466 | 0.0542 | 0.0588 || 0.0595 | 0.0910 | 0.1197 | 0.1393 || 2021-02-12-14-14-04 || 1000, 0.37906, 0.18007, False
0.07395  || 0.0404 | 0.0510 | 0.0573 | 0.0626 || 0.0651 | 0.0987 | 0.1225 | 0.1449 || 2021-02-12-14-14-10 || 772, 0.18642, 0.12251, False
0.07246  || 0.0402 | 0.0509 | 0.0559 | 0.0620 || 0.0651 | 0.0980 | 0.1176 | 0.1435 || 2021-02-12-14-13-59 || 1000, 0, 0.14491, False
0.07241  || 0.0399 | 0.0499 | 0.0553 | 0.0610 || 0.0644 | 0.0952 | 0.1155 | 0.1400 || 2021-02-12-14-14-00 || 359, 0, 0.16942, False
0.07018  || 0.0400 | 0.0503 | 0.0564 | 0.0615 || 0.0658 | 0.0945 | 0.1211 | 0.1393 || 2021-02-12-14-14-03 || 539, 0, 0, False
0.07018  || 0.0400 | 0.0503 | 0.0564 | 0.0615 || 0.0658 | 0.0945 | 0.1211 | 0.1393 || 2021-02-12-14-13-50 || 1000, 0, 0, False
