Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Musical Instruments)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.07398  || 0.0411 | 0.0517 | 0.0591 | 0.0647 || 0.0658 | 0.0987 | 0.1267 | 0.1505 || 2021-02-12-14-13-09 || 679, 5, cosine, True, none
0.07398  || 0.0411 | 0.0517 | 0.0591 | 0.0647 || 0.0658 | 0.0987 | 0.1267 | 0.1505 || 2021-02-12-14-13-05 || 753, 5, cosine, True, none
0.07381  || 0.0409 | 0.0517 | 0.0593 | 0.0647 || 0.0651 | 0.0987 | 0.1274 | 0.1505 || 2021-02-12-14-12-54 || 443, 5, cosine, True, none
0.07375  || 0.0405 | 0.0517 | 0.0589 | 0.0647 || 0.0644 | 0.0994 | 0.1267 | 0.1512 || 2021-02-12-14-13-07 || 297, 5, cosine, True, none
0.07370  || 0.0399 | 0.0512 | 0.0576 | 0.0639 || 0.0644 | 0.0994 | 0.1239 | 0.1505 || 2021-02-12-14-13-06 || 283, 959, cosine, True, none
0.07363  || 0.0412 | 0.0518 | 0.0586 | 0.0637 || 0.0672 | 0.1001 | 0.1260 | 0.1477 || 2021-02-12-14-13-08 || 550, 32, cosine, True, none
0.07356  || 0.0412 | 0.0522 | 0.0585 | 0.0639 || 0.0672 | 0.1015 | 0.1253 | 0.1484 || 2021-02-12-14-12-59 || 504, 955, cosine, True, none
0.07345  || 0.0410 | 0.0512 | 0.0580 | 0.0632 || 0.0665 | 0.0980 | 0.1239 | 0.1470 || 2021-02-12-14-12-48 || 347, 59, cosine, True, none
0.07344  || 0.0410 | 0.0520 | 0.0585 | 0.0635 || 0.0665 | 0.1008 | 0.1253 | 0.1477 || 2021-02-12-14-13-04 || 398, 998, cosine, True, none
0.07336  || 0.0415 | 0.0516 | 0.0586 | 0.0636 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-55 || 943, 999, cosine, True, none
0.07336  || 0.0415 | 0.0516 | 0.0586 | 0.0636 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-47 || 638, 1000, cosine, True, none
0.07336  || 0.0415 | 0.0516 | 0.0586 | 0.0636 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-46 || 666, 1000, cosine, True, none
0.07336  || 0.0415 | 0.0516 | 0.0586 | 0.0636 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-44 || 697, 1000, cosine, True, none
0.07336  || 0.0415 | 0.0516 | 0.0586 | 0.0639 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-43 || 803, 942, cosine, True, none
0.07336  || 0.0415 | 0.0516 | 0.0586 | 0.0636 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-40 || 1000, 195, cosine, True, none
0.07335  || 0.0415 | 0.0518 | 0.0586 | 0.0636 || 0.0679 | 0.1001 | 0.1260 | 0.1484 || 2021-02-12-14-12-41 || 607, 989, cosine, True, none
0.07334  || 0.0412 | 0.0513 | 0.0583 | 0.0636 || 0.0679 | 0.0994 | 0.1260 | 0.1484 || 2021-02-12-14-12-49 || 852, 135, cosine, True, none
0.07292  || 0.0396 | 0.0506 | 0.0590 | 0.0646 || 0.0623 | 0.0959 | 0.1281 | 0.1519 || 2021-02-12-14-12-56 || 187, 5, cosine, True, none
0.07235  || 0.0387 | 0.0500 | 0.0577 | 0.0630 || 0.0616 | 0.0959 | 0.1260 | 0.1484 || 2021-02-12-14-12-53 || 195, 565, cosine, True, none
