Reporting the nDCG & Recall for 'WMF' on 'Amazon (Musical Instruments)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.04168  || 0.0187 | 0.0253 | 0.0295 | 0.0317 || 0.0301 | 0.0504 | 0.0665 | 0.0756 || 2021-02-12-14-14-51 || 2, 104, 0.01, 15
0.04165  || 0.0183 | 0.0237 | 0.0285 | 0.0325 || 0.0294 | 0.0462 | 0.0644 | 0.0812 || 2021-02-12-14-14-44 || 2, 100, 0.01, 15
0.04135  || 0.0175 | 0.0232 | 0.0294 | 0.0329 || 0.0273 | 0.0455 | 0.0693 | 0.0840 || 2021-02-12-14-14-56 || 2, 102, 0.01, 15
0.04133  || 0.0215 | 0.0272 | 0.0314 | 0.0331 || 0.0343 | 0.0518 | 0.0679 | 0.0749 || 2021-02-12-14-14-36 || 3, 103, 0.01, 15
0.04085  || 0.0243 | 0.0286 | 0.0318 | 0.0336 || 0.0392 | 0.0525 | 0.0644 | 0.0721 || 2021-02-12-14-14-41 || 6, 100, 0.01, 15
0.04045  || 0.0211 | 0.0271 | 0.0295 | 0.0316 || 0.0350 | 0.0532 | 0.0623 | 0.0714 || 2021-02-12-14-14-23 || 11, 101, 0.01, 15
0.04036  || 0.0196 | 0.0244 | 0.0287 | 0.0320 || 0.0301 | 0.0448 | 0.0609 | 0.0749 || 2021-02-12-14-15-02 || 2, 109, 0.01, 15
0.03952  || 0.0191 | 0.0221 | 0.0267 | 0.0307 || 0.0308 | 0.0399 | 0.0574 | 0.0742 || 2021-02-12-14-14-59 || 2, 129, 0.01, 15
0.03819  || 0.0192 | 0.0229 | 0.0264 | 0.0294 || 0.0308 | 0.0427 | 0.0560 | 0.0686 || 2021-02-12-14-14-26 || 2, 121, 0.01, 15
0.03786  || 0.0220 | 0.0269 | 0.0287 | 0.0316 || 0.0350 | 0.0504 | 0.0574 | 0.0693 || 2021-02-12-14-14-42 || 9, 111, 0.01, 15
0.03741  || 0.0200 | 0.0225 | 0.0258 | 0.0288 || 0.0329 | 0.0406 | 0.0532 | 0.0658 || 2021-02-12-14-14-22 || 3, 146, 0.01, 15
0.03676  || 0.0217 | 0.0285 | 0.0310 | 0.0327 || 0.0364 | 0.0574 | 0.0672 | 0.0742 || 2021-02-12-14-14-30 || 17, 100, 0.01, 15
0.03475  || 0.0185 | 0.0226 | 0.0255 | 0.0273 || 0.0294 | 0.0427 | 0.0532 | 0.0609 || 2021-02-12-14-14-53 || 2, 170, 0.01, 15
0.03444  || 0.0219 | 0.0287 | 0.0314 | 0.0336 || 0.0364 | 0.0574 | 0.0679 | 0.0770 || 2021-02-12-14-14-29 || 37, 100, 0.01, 15
0.03373  || 0.0199 | 0.0279 | 0.0316 | 0.0343 || 0.0301 | 0.0546 | 0.0686 | 0.0798 || 2021-02-12-14-14-35 || 88, 100, 0.01, 15
0.03350  || 0.0211 | 0.0278 | 0.0319 | 0.0345 || 0.0322 | 0.0525 | 0.0679 | 0.0791 || 2021-02-12-14-14-32 || 100, 100, 0.01, 15
0.03341  || 0.0180 | 0.0228 | 0.0261 | 0.0294 || 0.0287 | 0.0434 | 0.0560 | 0.0700 || 2021-02-12-14-14-17 || 57, 121, 0.01, 15
0.03337  || 0.0210 | 0.0277 | 0.0318 | 0.0338 || 0.0336 | 0.0546 | 0.0700 | 0.0784 || 2021-02-12-14-14-54 || 66, 100, 0.01, 15
0.03295  || 0.0218 | 0.0274 | 0.0319 | 0.0335 || 0.0364 | 0.0539 | 0.0707 | 0.0777 || 2021-02-12-14-14-47 || 49, 100, 0.01, 15
0.03284  || 0.0216 | 0.0275 | 0.0310 | 0.0332 || 0.0329 | 0.0511 | 0.0644 | 0.0735 || 2021-02-12-14-14-57 || 37, 107, 0.01, 15
0.03150  || 0.0184 | 0.0227 | 0.0274 | 0.0300 || 0.0294 | 0.0427 | 0.0602 | 0.0714 || 2021-02-12-14-15-04 || 100, 123, 0.01, 15
0.03119  || 0.0180 | 0.0232 | 0.0268 | 0.0290 || 0.0287 | 0.0448 | 0.0588 | 0.0679 || 2021-02-12-14-14-38 || 100, 144, 0.01, 15
0.03100  || 0.0196 | 0.0249 | 0.0288 | 0.0319 || 0.0280 | 0.0448 | 0.0595 | 0.0728 || 2021-02-12-14-14-21 || 75, 116, 0.01, 15
0.03023  || 0.0162 | 0.0203 | 0.0232 | 0.0252 || 0.0238 | 0.0364 | 0.0476 | 0.0560 || 2021-02-12-14-14-33 || 2, 200, 0.01, 15
0.03014  || 0.0174 | 0.0238 | 0.0271 | 0.0289 || 0.0266 | 0.0469 | 0.0595 | 0.0672 || 2021-02-12-14-15-01 || 19, 132, 0.01, 15
0.02980  || 0.0199 | 0.0257 | 0.0286 | 0.0314 || 0.0294 | 0.0476 | 0.0588 | 0.0707 || 2021-02-12-14-14-45 || 43, 139, 0.01, 15
0.02897  || 0.0181 | 0.0231 | 0.0255 | 0.0276 || 0.0287 | 0.0441 | 0.0532 | 0.0623 || 2021-02-12-14-14-18 || 25, 159, 0.01, 15
0.02735  || 0.0195 | 0.0239 | 0.0263 | 0.0298 || 0.0329 | 0.0469 | 0.0560 | 0.0707 || 2021-02-12-14-15-07 || 72, 136, 0.01, 15
0.02628  || 0.0156 | 0.0196 | 0.0235 | 0.0256 || 0.0238 | 0.0364 | 0.0511 | 0.0602 || 2021-02-12-14-14-27 || 66, 200, 0.01, 15
0.02610  || 0.0152 | 0.0193 | 0.0226 | 0.0248 || 0.0231 | 0.0357 | 0.0483 | 0.0574 || 2021-02-12-14-14-50 || 17, 200, 0.01, 15
