Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Patio Lawn & Garden)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.07600  || 0.0286 | 0.0366 | 0.0422 | 0.0480 || 0.0457 | 0.0718 | 0.0937 | 0.1174 || 2021-02-12-14-16-21 || 1000, 5, cosine, True, none
0.07600  || 0.0286 | 0.0366 | 0.0422 | 0.0480 || 0.0457 | 0.0718 | 0.0937 | 0.1174 || 2021-02-12-14-16-00 || 688, 5, cosine, True, none
0.07600  || 0.0286 | 0.0366 | 0.0422 | 0.0480 || 0.0457 | 0.0718 | 0.0937 | 0.1174 || 2021-02-12-14-15-58 || 820, 5, cosine, True, none
0.07589  || 0.0288 | 0.0368 | 0.0423 | 0.0482 || 0.0457 | 0.0718 | 0.0937 | 0.1174 || 2021-02-12-14-15-59 || 552, 5, cosine, True, none
0.07582  || 0.0277 | 0.0348 | 0.0413 | 0.0461 || 0.0457 | 0.0676 | 0.0931 | 0.1133 || 2021-02-12-14-16-19 || 723, 9, cosine, True, none
0.07508  || 0.0275 | 0.0350 | 0.0404 | 0.0457 || 0.0457 | 0.0694 | 0.0913 | 0.1127 || 2021-02-12-14-16-17 || 1000, 11, cosine, True, none
0.07265  || 0.0248 | 0.0333 | 0.0370 | 0.0420 || 0.0439 | 0.0694 | 0.0854 | 0.1056 || 2021-02-12-14-15-57 || 993, 24, cosine, True, none
0.06969  || 0.0229 | 0.0313 | 0.0349 | 0.0403 || 0.0415 | 0.0676 | 0.0824 | 0.1044 || 2021-02-12-14-16-05 || 992, 37, cosine, True, none
0.06942  || 0.0229 | 0.0305 | 0.0351 | 0.0395 || 0.0403 | 0.0641 | 0.0824 | 0.1020 || 2021-02-12-14-16-06 || 183, 56, cosine, True, none
0.06816  || 0.0284 | 0.0346 | 0.0398 | 0.0443 || 0.0457 | 0.0641 | 0.0848 | 0.1038 || 2021-02-12-14-15-56 || 19, 10, cosine, True, none
0.06595  || 0.0215 | 0.0298 | 0.0332 | 0.0377 || 0.0391 | 0.0652 | 0.0783 | 0.0967 || 2021-02-12-14-16-08 || 855, 88, cosine, True, none
0.06477  || 0.0201 | 0.0280 | 0.0326 | 0.0372 || 0.0350 | 0.0611 | 0.0771 | 0.0973 || 2021-02-12-14-16-12 || 81, 733, cosine, True, none
0.06383  || 0.0214 | 0.0285 | 0.0316 | 0.0367 || 0.0386 | 0.0611 | 0.0747 | 0.0955 || 2021-02-12-14-15-55 || 234, 873, cosine, True, none
0.06323  || 0.0206 | 0.0284 | 0.0317 | 0.0366 || 0.0380 | 0.0629 | 0.0753 | 0.0955 || 2021-02-12-14-16-20 || 989, 268, cosine, True, none
0.06302  || 0.0213 | 0.0271 | 0.0333 | 0.0388 || 0.0374 | 0.0546 | 0.0795 | 0.1020 || 2021-02-12-14-16-18 || 35, 466, cosine, True, none
0.06279  || 0.0206 | 0.0287 | 0.0317 | 0.0363 || 0.0374 | 0.0629 | 0.0753 | 0.0949 || 2021-02-12-14-16-02 || 479, 365, cosine, True, none
0.06273  || 0.0223 | 0.0319 | 0.0361 | 0.0402 || 0.0344 | 0.0635 | 0.0783 | 0.0973 || 2021-02-12-14-16-10 || 9, 171, cosine, True, none
0.06225  || 0.0201 | 0.0280 | 0.0314 | 0.0359 || 0.0368 | 0.0617 | 0.0747 | 0.0931 || 2021-02-12-14-15-58 || 999, 573, cosine, True, none
0.06207  || 0.0201 | 0.0280 | 0.0312 | 0.0359 || 0.0368 | 0.0617 | 0.0741 | 0.0931 || 2021-02-12-14-16-14 || 997, 674, cosine, True, none
0.06193  || 0.0178 | 0.0242 | 0.0309 | 0.0359 || 0.0308 | 0.0498 | 0.0753 | 0.0990 || 2021-02-12-14-16-16 || 43, 855, cosine, False, none
0.06177  || 0.0200 | 0.0277 | 0.0311 | 0.0357 || 0.0368 | 0.0611 | 0.0741 | 0.0931 || 2021-02-12-14-16-13 || 883, 796, cosine, True, none
0.06177  || 0.0197 | 0.0275 | 0.0307 | 0.0357 || 0.0362 | 0.0605 | 0.0730 | 0.0931 || 2021-02-12-14-16-03 || 987, 994, cosine, True, none
0.06171  || 0.0270 | 0.0333 | 0.0372 | 0.0414 || 0.0415 | 0.0611 | 0.0759 | 0.0919 || 2021-02-12-14-16-07 || 5, 29, cosine, True, none
0.06130  || 0.0194 | 0.0269 | 0.0331 | 0.0371 || 0.0314 | 0.0546 | 0.0783 | 0.0961 || 2021-02-12-14-16-15 || 13, 604, cosine, False, none
0.06009  || 0.0193 | 0.0252 | 0.0314 | 0.0363 || 0.0338 | 0.0534 | 0.0747 | 0.0943 || 2021-02-12-14-15-52 || 100, 366, cosine, False, none
0.05991  || 0.0186 | 0.0257 | 0.0316 | 0.0352 || 0.0320 | 0.0534 | 0.0741 | 0.0931 || 2021-02-12-14-16-04 || 37, 8, cosine, False, none
0.05981  || 0.0192 | 0.0260 | 0.0295 | 0.0337 || 0.0350 | 0.0552 | 0.0712 | 0.0860 || 2021-02-12-14-15-53 || 373, 478, cosine, False, none
0.05948  || 0.0196 | 0.0258 | 0.0297 | 0.0336 || 0.0344 | 0.0534 | 0.0718 | 0.0866 || 2021-02-12-14-16-22 || 951, 109, cosine, False, none
0.05912  || 0.0190 | 0.0250 | 0.0297 | 0.0338 || 0.0338 | 0.0528 | 0.0706 | 0.0878 || 2021-02-12-14-16-09 || 830, 12, cosine, False, none
0.05884  || 0.0192 | 0.0258 | 0.0295 | 0.0335 || 0.0338 | 0.0546 | 0.0706 | 0.0866 || 2021-02-12-14-15-54 || 1000, 995, cosine, False, none
0.05881  || 0.0193 | 0.0253 | 0.0295 | 0.0334 || 0.0344 | 0.0528 | 0.0706 | 0.0866 || 2021-02-12-14-15-52 || 791, 10, cosine, False, none
0.05871  || 0.0193 | 0.0251 | 0.0294 | 0.0335 || 0.0344 | 0.0528 | 0.0706 | 0.0872 || 2021-02-12-14-16-11 || 998, 732, cosine, False, none
0.05863  || 0.0196 | 0.0254 | 0.0293 | 0.0333 || 0.0350 | 0.0534 | 0.0700 | 0.0866 || 2021-02-12-14-15-51 || 594, 338, cosine, False, none
0.05855  || 0.0195 | 0.0258 | 0.0297 | 0.0337 || 0.0338 | 0.0534 | 0.0700 | 0.0872 || 2021-02-12-14-15-51 || 563, 217, cosine, False, none
0.05601  || 0.0229 | 0.0312 | 0.0341 | 0.0382 || 0.0362 | 0.0599 | 0.0736 | 0.0866 || 2021-02-12-14-16-01 || 5, 992, cosine, False, none
