Filename:        2021-05-01-15-36-31-651559
Command:         200, 1, 1.0

Val nDCG@10:     0.05859

Test nDCG@5:     0.01797 (0.00272)
Test nDCG@10:    0.02614 (0.00297)
Test nDCG@15:    0.03089 (0.00306)
Test nDCG@20:    0.03578 (0.00314)
Test nDCG@25:    0.03968 (0.00320)
Test nDCG@50:    0.05407 (0.00332)
Test nDCG@75:    0.06642 (0.00338)
Test nDCG@100:   0.07337 (0.00338)

Test Recall@5:   0.02906 (0.00409)
Test Recall@10:  0.05397 (0.00550)
Test Recall@15:  0.07177 (0.00629)
Test Recall@20:  0.09253 (0.00706)
Test Recall@25:  0.11032 (0.00763)
Test Recall@50:  0.18565 (0.00947)
Test Recall@75:  0.25919 (0.01067)
Test Recall@100: 0.30427 (0.01121)

