Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Patio Lawn & Garden)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.07292  || 0.0274 | 0.0353 | 0.0423 | 0.0466 || 0.0433 | 0.0676 | 0.0943 | 0.1127 || 2021-02-12-14-16-39 || 1000, 0.14194, 0.41283, False
0.07277  || 0.0277 | 0.0364 | 0.0437 | 0.0481 || 0.0427 | 0.0700 | 0.0979 | 0.1163 || 2021-02-12-14-16-46 || 645, 0.1095, 0.46683, False
0.07267  || 0.0276 | 0.0351 | 0.0401 | 0.0448 || 0.0445 | 0.0676 | 0.0866 | 0.1062 || 2021-02-12-14-16-54 || 875, 0.22946, 0.32784, False
0.07252  || 0.0279 | 0.0355 | 0.0411 | 0.0455 || 0.0451 | 0.0688 | 0.0901 | 0.1085 || 2021-02-12-14-16-45 || 511, 0.19227, 0.35834, False
0.07083  || 0.0236 | 0.0333 | 0.0394 | 0.0459 || 0.0374 | 0.0676 | 0.0907 | 0.1180 || 2021-02-12-14-16-35 || 140, 0.0098, 0.44937, False
0.07006  || 0.0268 | 0.0367 | 0.0432 | 0.0486 || 0.0409 | 0.0730 | 0.0973 | 0.1186 || 2021-02-12-14-16-33 || 1000, 0, 0.53135, False
0.06988  || 0.0254 | 0.0340 | 0.0397 | 0.0449 || 0.0427 | 0.0700 | 0.0919 | 0.1127 || 2021-02-12-14-16-40 || 1000, 0, 0.39489, False
0.06957  || 0.0262 | 0.0331 | 0.0388 | 0.0432 || 0.0451 | 0.0688 | 0.0890 | 0.1091 || 2021-02-12-14-16-49 || 415, 0, 0.36184, False
0.06869  || 0.0286 | 0.0356 | 0.0410 | 0.0452 || 0.0445 | 0.0664 | 0.0866 | 0.1050 || 2021-02-12-14-16-37 || 935, 0.45649, 0.32694, False
0.06622  || 0.0221 | 0.0303 | 0.0354 | 0.0391 || 0.0386 | 0.0646 | 0.0824 | 0.1002 || 2021-02-12-14-16-32 || 1000, 0, 0.20289, False
0.06282  || 0.0216 | 0.0289 | 0.0342 | 0.0392 || 0.0362 | 0.0587 | 0.0789 | 0.1002 || 2021-02-12-14-16-50 || 989, 0.44071, 0.01414, False
0.06196  || 0.0284 | 0.0361 | 0.0426 | 0.0465 || 0.0415 | 0.0658 | 0.0901 | 0.1062 || 2021-02-12-14-16-44 || 996, 0.55961, 0.63605, False
0.06153  || 0.0310 | 0.0360 | 0.0397 | 0.0413 || 0.0469 | 0.0629 | 0.0771 | 0.0836 || 2021-02-12-14-16-41 || 5, 0.25892, 0.48789, False
0.06015  || 0.0197 | 0.0267 | 0.0336 | 0.0365 || 0.0308 | 0.0528 | 0.0789 | 0.0913 || 2021-02-12-14-16-48 || 153, 0.74754, 0.01863, False
0.05965  || 0.0269 | 0.0334 | 0.0377 | 0.0427 || 0.0415 | 0.0617 | 0.0777 | 0.0990 || 2021-02-12-14-16-36 || 123, 0.00453, 0.53176, True
0.05877  || 0.0194 | 0.0257 | 0.0294 | 0.0333 || 0.0344 | 0.0540 | 0.0706 | 0.0860 || 2021-02-12-14-16-31 || 1000, 0, 0, False
0.05770  || 0.0263 | 0.0318 | 0.0370 | 0.0422 || 0.0409 | 0.0581 | 0.0777 | 0.1002 || 2021-02-12-14-16-52 || 1000, 0.27176, 0.49222, True
0.05734  || 0.0223 | 0.0296 | 0.0346 | 0.0383 || 0.0320 | 0.0546 | 0.0730 | 0.0890 || 2021-02-12-14-16-57 || 1000, 0.91142, 0.21523, False
0.05473  || 0.0185 | 0.0251 | 0.0309 | 0.0351 || 0.0297 | 0.0498 | 0.0712 | 0.0896 || 2021-02-12-14-16-29 || 1000, 0.05016, 0, True
0.05391  || 0.0198 | 0.0263 | 0.0267 | 0.0286 || 0.0297 | 0.0480 | 0.0516 | 0.0593 || 2021-02-12-14-16-32 || 5, 0, 0, False
0.05357  || 0.0196 | 0.0261 | 0.0309 | 0.0347 || 0.0308 | 0.0504 | 0.0694 | 0.0848 || 2021-02-12-14-16-42 || 1000, 0.94819, 0, True
0.04461  || 0.0218 | 0.0254 | 0.0267 | 0.0270 || 0.0314 | 0.0421 | 0.0469 | 0.0492 || 2021-02-12-14-16-56 || 5, 0.4961, 0, True
0.04279  || 0.0221 | 0.0274 | 0.0323 | 0.0357 || 0.0344 | 0.0510 | 0.0694 | 0.0842 || 2021-02-12-14-16-26 || 239, 1.18423, 0.67005, False
0.04200  || 0.0166 | 0.0221 | 0.0244 | 0.0277 || 0.0249 | 0.0415 | 0.0516 | 0.0646 || 2021-02-12-14-16-28 || 1000, 1.80417, 0, False
0.04146  || 0.0174 | 0.0220 | 0.0258 | 0.0299 || 0.0249 | 0.0397 | 0.0546 | 0.0718 || 2021-02-12-14-16-26 || 311, 1.60474, 0.1903, False
0.03968  || 0.0237 | 0.0313 | 0.0372 | 0.0418 || 0.0386 | 0.0623 | 0.0842 | 0.1038 || 2021-02-12-14-16-25 || 563, 0.42518, 1.08616, False
0.03879  || 0.0247 | 0.0305 | 0.0335 | 0.0353 || 0.0368 | 0.0546 | 0.0658 | 0.0736 || 2021-02-12-14-16-43 || 5, 0, 0.89731, False
0.03658  || 0.0223 | 0.0269 | 0.0306 | 0.0332 || 0.0344 | 0.0486 | 0.0629 | 0.0741 || 2021-02-12-14-16-28 || 10, 0.92715, 0.76214, True
0.03459  || 0.0184 | 0.0229 | 0.0257 | 0.0283 || 0.0267 | 0.0415 | 0.0522 | 0.0623 || 2021-02-12-14-16-47 || 7, 1.96671, 0.54824, True
0.03052  || 0.0152 | 0.0217 | 0.0250 | 0.0289 || 0.0261 | 0.0474 | 0.0593 | 0.0759 || 2021-02-12-14-16-55 || 1000, 1.12869, 1.1994, False
0.02969  || 0.0157 | 0.0210 | 0.0239 | 0.0274 || 0.0231 | 0.0397 | 0.0510 | 0.0652 || 2021-02-12-14-16-34 || 959, 1.9803, 1.1076, True
0.02641  || 0.0149 | 0.0202 | 0.0260 | 0.0301 || 0.0255 | 0.0421 | 0.0635 | 0.0813 || 2021-02-12-14-16-27 || 742, 0.3199, 1.7253, True
0.02589  || 0.0126 | 0.0174 | 0.0209 | 0.0244 || 0.0225 | 0.0374 | 0.0516 | 0.0664 || 2021-02-12-14-16-30 || 582, 1.18466, 1.99999, False
0.02452  || 0.0121 | 0.0206 | 0.0241 | 0.0268 || 0.0220 | 0.0486 | 0.0629 | 0.0736 || 2021-02-12-14-16-51 || 35, 0.00843, 1.91142, False
0.02441  || 0.0118 | 0.0168 | 0.0196 | 0.0212 || 0.0214 | 0.0374 | 0.0480 | 0.0552 || 2021-02-12-14-16-38 || 67, 1.99846, 1.93763, True
