Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Patio Lawn & Garden)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.06447  || 0.0241 | 0.0301 | 0.0365 | 0.0409 || 0.0415 | 0.0605 | 0.0848 | 0.1032 || 2021-02-12-14-15-37 || 150, 1000, cosine, True, none
0.06408  || 0.0228 | 0.0295 | 0.0362 | 0.0410 || 0.0380 | 0.0587 | 0.0842 | 0.1038 || 2021-02-12-14-15-33 || 122, 108, cosine, True, none
0.06271  || 0.0205 | 0.0285 | 0.0341 | 0.0392 || 0.0350 | 0.0599 | 0.0813 | 0.1032 || 2021-02-12-14-15-23 || 254, 165, cosine, True, none
0.06254  || 0.0204 | 0.0283 | 0.0344 | 0.0399 || 0.0350 | 0.0593 | 0.0824 | 0.1056 || 2021-02-12-14-15-21 || 224, 971, cosine, True, none
0.06249  || 0.0206 | 0.0283 | 0.0344 | 0.0390 || 0.0356 | 0.0599 | 0.0830 | 0.1026 || 2021-02-12-14-15-22 || 231, 270, cosine, True, none
0.06218  || 0.0204 | 0.0275 | 0.0337 | 0.0380 || 0.0350 | 0.0569 | 0.0801 | 0.0985 || 2021-02-12-14-15-15 || 279, 984, cosine, True, none
0.06215  || 0.0187 | 0.0269 | 0.0321 | 0.0387 || 0.0308 | 0.0558 | 0.0783 | 0.1032 || 2021-02-12-14-15-32 || 181, 81, cosine, False, none
0.06203  || 0.0199 | 0.0258 | 0.0307 | 0.0346 || 0.0350 | 0.0546 | 0.0730 | 0.0907 || 2021-02-12-14-15-13 || 373, 478, cosine, False, none
0.06153  || 0.0173 | 0.0243 | 0.0310 | 0.0359 || 0.0302 | 0.0516 | 0.0777 | 0.1008 || 2021-02-12-14-15-45 || 245, 801, cosine, False, none
0.06077  || 0.0210 | 0.0279 | 0.0336 | 0.0382 || 0.0368 | 0.0581 | 0.0795 | 0.0990 || 2021-02-12-14-15-19 || 338, 855, cosine, True, none
