Reporting the nDCG & Recall for 'WMF' on 'Amazon (Patio Lawn & Garden)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.05663  || 0.0220 | 0.0295 | 0.0342 | 0.0382 || 0.0356 | 0.0587 | 0.0765 | 0.0937 || 2021-02-12-14-17-09 || 2, 145, 0.01, 15
0.05632  || 0.0244 | 0.0305 | 0.0365 | 0.0404 || 0.0386 | 0.0575 | 0.0801 | 0.0967 || 2021-02-12-14-17-05 || 3, 146, 0.01, 15
0.05622  || 0.0221 | 0.0298 | 0.0348 | 0.0391 || 0.0338 | 0.0581 | 0.0771 | 0.0955 || 2021-02-12-14-17-52 || 77, 100, 0.01, 15
0.05608  || 0.0242 | 0.0304 | 0.0350 | 0.0387 || 0.0409 | 0.0605 | 0.0777 | 0.0937 || 2021-02-12-14-17-30 || 2, 141, 0.01, 15
0.05606  || 0.0245 | 0.0297 | 0.0336 | 0.0364 || 0.0374 | 0.0540 | 0.0688 | 0.0807 || 2021-02-12-14-17-15 || 100, 114, 0.01, 15
0.05599  || 0.0227 | 0.0293 | 0.0343 | 0.0378 || 0.0362 | 0.0563 | 0.0753 | 0.0901 || 2021-02-12-14-17-07 || 8, 146, 0.01, 15
0.05579  || 0.0236 | 0.0304 | 0.0343 | 0.0385 || 0.0368 | 0.0581 | 0.0730 | 0.0907 || 2021-02-12-14-17-04 || 75, 116, 0.01, 15
0.05565  || 0.0224 | 0.0301 | 0.0358 | 0.0396 || 0.0332 | 0.0575 | 0.0789 | 0.0955 || 2021-02-12-14-17-10 || 99, 100, 0.01, 15
0.05558  || 0.0242 | 0.0295 | 0.0338 | 0.0374 || 0.0362 | 0.0528 | 0.0688 | 0.0842 || 2021-02-12-14-17-29 || 73, 109, 0.01, 15
0.05543  || 0.0216 | 0.0297 | 0.0341 | 0.0377 || 0.0356 | 0.0605 | 0.0777 | 0.0925 || 2021-02-12-14-17-37 || 4, 110, 0.01, 15
0.05496  || 0.0231 | 0.0303 | 0.0346 | 0.0380 || 0.0368 | 0.0593 | 0.0759 | 0.0901 || 2021-02-12-14-17-43 || 51, 100, 0.01, 15
0.05388  || 0.0251 | 0.0304 | 0.0338 | 0.0377 || 0.0397 | 0.0563 | 0.0694 | 0.0860 || 2021-02-12-14-17-13 || 100, 145, 0.01, 15
0.05373  || 0.0220 | 0.0285 | 0.0337 | 0.0372 || 0.0374 | 0.0575 | 0.0777 | 0.0925 || 2021-02-12-14-17-12 || 2, 118, 0.01, 15
0.05361  || 0.0251 | 0.0322 | 0.0359 | 0.0380 || 0.0362 | 0.0581 | 0.0724 | 0.0813 || 2021-02-12-14-17-25 || 99, 134, 0.01, 15
0.05357  || 0.0247 | 0.0305 | 0.0341 | 0.0378 || 0.0386 | 0.0569 | 0.0706 | 0.0866 || 2021-02-12-14-17-01 || 25, 159, 0.01, 15
0.05353  || 0.0246 | 0.0313 | 0.0351 | 0.0383 || 0.0368 | 0.0575 | 0.0718 | 0.0854 || 2021-02-12-14-17-46 || 100, 123, 0.01, 15
0.05308  || 0.0233 | 0.0301 | 0.0352 | 0.0384 || 0.0386 | 0.0599 | 0.0789 | 0.0925 || 2021-02-12-14-17-22 || 2, 133, 0.01, 15
0.05290  || 0.0248 | 0.0308 | 0.0353 | 0.0386 || 0.0374 | 0.0563 | 0.0736 | 0.0872 || 2021-02-12-14-17-41 || 55, 142, 0.01, 15
0.05280  || 0.0259 | 0.0308 | 0.0339 | 0.0381 || 0.0391 | 0.0546 | 0.0658 | 0.0836 || 2021-02-12-14-17-56 || 56, 152, 0.01, 15
0.05280  || 0.0226 | 0.0282 | 0.0323 | 0.0364 || 0.0356 | 0.0528 | 0.0682 | 0.0854 || 2021-02-12-14-17-00 || 57, 121, 0.01, 15
0.05273  || 0.0216 | 0.0280 | 0.0329 | 0.0368 || 0.0368 | 0.0569 | 0.0753 | 0.0919 || 2021-02-12-14-17-17 || 2, 102, 0.01, 15
0.05265  || 0.0255 | 0.0317 | 0.0353 | 0.0384 || 0.0386 | 0.0581 | 0.0718 | 0.0848 || 2021-02-12-14-17-39 || 48, 113, 0.01, 15
