Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Toys & Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05622  || 0.0219 | 0.0274 | 0.0300 | 0.0316 || 0.0340 | 0.0509 | 0.0604 | 0.0673 || 2021-02-12-17-36-24 || 11, 21, cosine, True, none
0.05486  || 0.0218 | 0.0275 | 0.0303 | 0.0325 || 0.0338 | 0.0517 | 0.0626 | 0.0717 || 2021-02-12-17-42-53 || 429, 19, cosine, True, none
0.05484  || 0.0212 | 0.0262 | 0.0281 | 0.0294 || 0.0323 | 0.0479 | 0.0550 | 0.0604 || 2021-02-12-17-44-34 || 5, 35, cosine, True, none
0.05476  || 0.0218 | 0.0275 | 0.0305 | 0.0322 || 0.0336 | 0.0514 | 0.0626 | 0.0702 || 2021-02-12-17-45-36 || 419, 14, cosine, True, none
0.05448  || 0.0211 | 0.0269 | 0.0299 | 0.0321 || 0.0323 | 0.0505 | 0.0619 | 0.0712 || 2021-02-12-17-39-35 || 963, 52, cosine, True, none
0.05443  || 0.0215 | 0.0273 | 0.0300 | 0.0320 || 0.0333 | 0.0514 | 0.0616 | 0.0700 || 2021-02-12-17-38-29 || 316, 11, cosine, True, none
0.05440  || 0.0212 | 0.0267 | 0.0296 | 0.0317 || 0.0330 | 0.0500 | 0.0610 | 0.0699 || 2021-02-12-17-41-48 || 60, 98, cosine, True, none
0.05397  || 0.0209 | 0.0262 | 0.0292 | 0.0314 || 0.0325 | 0.0489 | 0.0604 | 0.0694 || 2021-02-12-17-43-27 || 55, 184, cosine, True, none
0.05391  || 0.0213 | 0.0268 | 0.0300 | 0.0321 || 0.0331 | 0.0503 | 0.0624 | 0.0714 || 2021-02-12-17-46-41 || 425, 74, cosine, True, none
0.05391  || 0.0215 | 0.0269 | 0.0295 | 0.0314 || 0.0334 | 0.0500 | 0.0601 | 0.0681 || 2021-02-12-17-32-42 || 749, 8, cosine, True, none
0.05365  || 0.0210 | 0.0263 | 0.0293 | 0.0313 || 0.0320 | 0.0489 | 0.0601 | 0.0684 || 2021-02-12-17-45-04 || 17, 383, cosine, True, none
0.05345  || 0.0210 | 0.0264 | 0.0294 | 0.0314 || 0.0320 | 0.0490 | 0.0603 | 0.0689 || 2021-02-12-17-33-47 || 18, 992, cosine, True, none
0.05330  || 0.0211 | 0.0265 | 0.0292 | 0.0310 || 0.0325 | 0.0494 | 0.0595 | 0.0669 || 2021-02-12-17-35-26 || 544, 5, cosine, True, none
0.05325  || 0.0207 | 0.0259 | 0.0290 | 0.0311 || 0.0324 | 0.0484 | 0.0603 | 0.0689 || 2021-02-12-17-46-08 || 75, 419, cosine, True, none
0.05323  || 0.0210 | 0.0266 | 0.0296 | 0.0318 || 0.0321 | 0.0494 | 0.0609 | 0.0703 || 2021-02-12-17-42-20 || 861, 139, cosine, True, none
0.05310  || 0.0211 | 0.0264 | 0.0289 | 0.0309 || 0.0328 | 0.0490 | 0.0584 | 0.0666 || 2021-02-12-17-39-02 || 68, 5, cosine, True, none
0.05301  || 0.0211 | 0.0265 | 0.0292 | 0.0309 || 0.0325 | 0.0493 | 0.0597 | 0.0669 || 2021-02-12-17-34-53 || 1000, 5, cosine, True, none
0.05296  || 0.0209 | 0.0264 | 0.0295 | 0.0318 || 0.0321 | 0.0495 | 0.0612 | 0.0707 || 2021-02-12-17-40-42 || 237, 996, cosine, True, none
0.05296  || 0.0207 | 0.0261 | 0.0295 | 0.0314 || 0.0319 | 0.0487 | 0.0614 | 0.0700 || 2021-02-12-17-31-30 || 115, 381, cosine, True, none
0.05276  || 0.0207 | 0.0263 | 0.0293 | 0.0314 || 0.0317 | 0.0493 | 0.0604 | 0.0697 || 2021-02-12-17-43-59 || 967, 221, cosine, True, none
0.05253  || 0.0207 | 0.0263 | 0.0292 | 0.0314 || 0.0319 | 0.0495 | 0.0604 | 0.0696 || 2021-02-12-17-36-54 || 790, 509, cosine, True, none
0.05249  || 0.0206 | 0.0263 | 0.0294 | 0.0315 || 0.0317 | 0.0496 | 0.0612 | 0.0701 || 2021-02-12-17-47-15 || 476, 590, cosine, True, none
0.05247  || 0.0207 | 0.0263 | 0.0292 | 0.0314 || 0.0319 | 0.0493 | 0.0603 | 0.0698 || 2021-02-12-17-40-08 || 648, 987, cosine, True, none
0.05241  || 0.0206 | 0.0262 | 0.0294 | 0.0315 || 0.0318 | 0.0493 | 0.0614 | 0.0704 || 2021-02-12-17-33-17 || 435, 992, cosine, True, none
0.05229  || 0.0206 | 0.0261 | 0.0291 | 0.0313 || 0.0317 | 0.0490 | 0.0601 | 0.0694 || 2021-02-12-17-32-08 || 996, 977, cosine, True, none
0.05042  || 0.0194 | 0.0238 | 0.0261 | 0.0274 || 0.0292 | 0.0420 | 0.0505 | 0.0562 || 2021-02-12-17-35-57 || 5, 992, cosine, False, none
0.05034  || 0.0198 | 0.0250 | 0.0282 | 0.0298 || 0.0299 | 0.0454 | 0.0563 | 0.0637 || 2021-02-12-17-37-58 || 59, 9, cosine, False, none
0.05012  || 0.0197 | 0.0248 | 0.0278 | 0.0296 || 0.0299 | 0.0453 | 0.0562 | 0.0644 || 2021-02-12-17-29-25 || 100, 366, cosine, False, none
0.04997  || 0.0199 | 0.0249 | 0.0281 | 0.0298 || 0.0302 | 0.0459 | 0.0572 | 0.0648 || 2021-02-12-17-30-49 || 373, 478, cosine, False, none
0.04986  || 0.0199 | 0.0249 | 0.0282 | 0.0299 || 0.0305 | 0.0458 | 0.0570 | 0.0648 || 2021-02-12-17-41-15 || 241, 997, cosine, False, none
0.04972  || 0.0198 | 0.0245 | 0.0280 | 0.0296 || 0.0305 | 0.0449 | 0.0567 | 0.0635 || 2021-02-12-17-28-03 || 563, 217, cosine, False, none
