Filename:        2021-04-30-22-30-59-025105
Command:         200, 1, 1.0

Val nDCG@10:     0.03770

Test nDCG@5:     0.01616 (0.00078)
Test nDCG@10:    0.02008 (0.00081)
Test nDCG@15:    0.02302 (0.00083)
Test nDCG@20:    0.02513 (0.00084)
Test nDCG@25:    0.02692 (0.00085)
Test nDCG@50:    0.03213 (0.00087)
Test nDCG@75:    0.03537 (0.00088)
Test nDCG@100:   0.03781 (0.00089)

Test Recall@5:   0.02478 (0.00112)
Test Recall@10:  0.03704 (0.00136)
Test Recall@15:  0.04817 (0.00154)
Test Recall@20:  0.05708 (0.00167)
Test Recall@25:  0.06527 (0.00177)
Test Recall@50:  0.09242 (0.00208)
Test Recall@75:  0.11179 (0.00226)
Test Recall@100: 0.12750 (0.00239)

