Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Toys & Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.05905  || 0.0234 | 0.0293 | 0.0325 | 0.0347 || 0.0367 | 0.0553 | 0.0672 | 0.0765 || 2021-02-12-18-03-23 || 706, 0.31265, 0.21782, False
0.05886  || 0.0232 | 0.0294 | 0.0324 | 0.0347 || 0.0361 | 0.0553 | 0.0670 | 0.0766 || 2021-02-12-18-01-42 || 1000, 0.34243, 0.1898, False
0.05845  || 0.0231 | 0.0290 | 0.0321 | 0.0342 || 0.0361 | 0.0547 | 0.0663 | 0.0751 || 2021-02-12-17-57-49 || 930, 0.32908, 0.29302, False
0.05779  || 0.0228 | 0.0284 | 0.0317 | 0.0337 || 0.0355 | 0.0527 | 0.0650 | 0.0735 || 2021-02-12-18-05-41 || 963, 0.44807, 0.23147, False
0.05675  || 0.0226 | 0.0276 | 0.0304 | 0.0324 || 0.0356 | 0.0513 | 0.0618 | 0.0702 || 2021-02-12-17-57-11 || 120, 0.49258, 0.1978, False
0.05655  || 0.0220 | 0.0280 | 0.0314 | 0.0336 || 0.0341 | 0.0529 | 0.0654 | 0.0748 || 2021-02-12-18-06-15 || 230, 0.40665, 0.0088, False
0.05644  || 0.0223 | 0.0263 | 0.0275 | 0.0279 || 0.0347 | 0.0468 | 0.0512 | 0.0531 || 2021-02-12-17-58-28 || 5, 0.29939, 0.20327, False
0.05343  || 0.0209 | 0.0252 | 0.0266 | 0.0271 || 0.0327 | 0.0459 | 0.0510 | 0.0531 || 2021-02-12-17-56-36 || 5, 0, 0.23994, False
0.05235  || 0.0205 | 0.0250 | 0.0270 | 0.0286 || 0.0309 | 0.0449 | 0.0526 | 0.0591 || 2021-02-12-18-07-24 || 15, 0.66637, 0.06541, True
0.05231  || 0.0213 | 0.0264 | 0.0291 | 0.0311 || 0.0334 | 0.0494 | 0.0593 | 0.0679 || 2021-02-12-17-55-17 || 906, 0.01099, 0.39941, False
0.05071  || 0.0209 | 0.0246 | 0.0257 | 0.0262 || 0.0326 | 0.0441 | 0.0479 | 0.0501 || 2021-02-12-17-59-03 || 5, 0.44887, 0.34912, False
0.04909  || 0.0198 | 0.0245 | 0.0276 | 0.0295 || 0.0302 | 0.0448 | 0.0552 | 0.0632 || 2021-02-12-17-53-18 || 1000, 0, 0, False
0.04708  || 0.0188 | 0.0238 | 0.0265 | 0.0285 || 0.0292 | 0.0449 | 0.0551 | 0.0633 || 2021-02-12-18-00-36 || 903, 0.85099, 0.01067, False
0.04475  || 0.0181 | 0.0231 | 0.0258 | 0.0277 || 0.0284 | 0.0436 | 0.0541 | 0.0622 || 2021-02-12-17-54-35 || 977, 0.71503, 0.03214, True
0.04460  || 0.0188 | 0.0239 | 0.0262 | 0.0278 || 0.0292 | 0.0445 | 0.0532 | 0.0600 || 2021-02-12-17-52-43 || 358, 0, 0, True
0.04444  || 0.0185 | 0.0231 | 0.0256 | 0.0276 || 0.0293 | 0.0436 | 0.0529 | 0.0616 || 2021-02-12-18-00-02 || 938, 0.19906, 0.25684, True
0.03697  || 0.0150 | 0.0188 | 0.0214 | 0.0231 || 0.0243 | 0.0363 | 0.0459 | 0.0530 || 2021-02-12-18-02-49 || 934, 1.15199, 0.39991, True
0.03672  || 0.0176 | 0.0220 | 0.0243 | 0.0261 || 0.0277 | 0.0411 | 0.0498 | 0.0575 || 2021-02-12-18-05-07 || 966, 0.0506, 0.76355, False
0.03664  || 0.0144 | 0.0188 | 0.0213 | 0.0231 || 0.0229 | 0.0367 | 0.0460 | 0.0535 || 2021-02-12-17-51-36 || 993, 1.84285, 0.02989, True
0.03470  || 0.0137 | 0.0155 | 0.0163 | 0.0166 || 0.0205 | 0.0263 | 0.0294 | 0.0304 || 2021-02-12-17-51-05 || 5, 1.62058, 0.10093, True
0.03269  || 0.0148 | 0.0191 | 0.0214 | 0.0230 || 0.0232 | 0.0364 | 0.0451 | 0.0518 || 2021-02-12-17-55-57 || 852, 0.02406, 0.60319, True
0.03147  || 0.0153 | 0.0182 | 0.0198 | 0.0212 || 0.0239 | 0.0328 | 0.0391 | 0.0450 || 2021-02-12-17-50-01 || 10, 0.92715, 0.76214, True
0.03051  || 0.0118 | 0.0158 | 0.0182 | 0.0199 || 0.0192 | 0.0315 | 0.0405 | 0.0481 || 2021-02-12-17-48-56 || 311, 1.60474, 0.1903, False
0.02986  || 0.0128 | 0.0164 | 0.0186 | 0.0201 || 0.0204 | 0.0316 | 0.0398 | 0.0463 || 2021-02-12-17-48-23 || 239, 1.18423, 0.67005, False
0.02857  || 0.0158 | 0.0197 | 0.0219 | 0.0234 || 0.0247 | 0.0365 | 0.0449 | 0.0511 || 2021-02-12-17-47-49 || 563, 0.42518, 1.08616, False
0.02515  || 0.0104 | 0.0139 | 0.0160 | 0.0177 || 0.0167 | 0.0278 | 0.0355 | 0.0430 || 2021-02-12-17-50-32 || 1000, 1.85264, 0.55287, False
0.02277  || 0.0118 | 0.0148 | 0.0168 | 0.0183 || 0.0182 | 0.0275 | 0.0353 | 0.0414 || 2021-02-12-18-06-49 || 993, 1.1495, 1.29402, True
0.02030  || 0.0113 | 0.0152 | 0.0173 | 0.0187 || 0.0178 | 0.0298 | 0.0378 | 0.0437 || 2021-02-12-18-01-09 || 147, 0.01232, 1.1824, True
0.01942  || 0.0097 | 0.0126 | 0.0141 | 0.0155 || 0.0152 | 0.0245 | 0.0300 | 0.0361 || 2021-02-12-18-02-15 || 894, 1.94625, 1.53461, False
0.01837  || 0.0095 | 0.0118 | 0.0127 | 0.0132 || 0.0143 | 0.0212 | 0.0250 | 0.0270 || 2021-02-12-17-59-32 || 5, 2, 1.19546, True
0.01776  || 0.0114 | 0.0141 | 0.0155 | 0.0164 || 0.0172 | 0.0256 | 0.0307 | 0.0344 || 2021-02-12-17-52-11 || 11, 0.83396, 1.98807, False
0.01743  || 0.0104 | 0.0130 | 0.0147 | 0.0159 || 0.0157 | 0.0238 | 0.0302 | 0.0351 || 2021-02-12-17-53-55 || 732, 1.99558, 1.95559, True
0.01741  || 0.0114 | 0.0146 | 0.0163 | 0.0176 || 0.0172 | 0.0270 | 0.0334 | 0.0389 || 2021-02-12-17-49-28 || 742, 0.3199, 1.7253, True
0.01533  || 0.0112 | 0.0143 | 0.0160 | 0.0172 || 0.0169 | 0.0263 | 0.0329 | 0.0380 || 2021-02-12-18-03-57 || 784, 0.00329, 1.57988, False
0.01474  || 0.0107 | 0.0134 | 0.0149 | 0.0162 || 0.0162 | 0.0244 | 0.0305 | 0.0355 || 2021-02-12-18-04-32 || 837, 0.02036, 1.99998, True
