Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Toys & Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05392  || 0.0214 | 0.0270 | 0.0302 | 0.0322 || 0.0331 | 0.0507 | 0.0626 | 0.0712 || 2021-02-12-17-24-42 || 228, 5, cosine, True, none
0.05339  || 0.0214 | 0.0272 | 0.0304 | 0.0324 || 0.0332 | 0.0513 | 0.0632 | 0.0718 || 2021-02-12-17-22-49 || 368, 5, cosine, True, none
0.05316  || 0.0211 | 0.0266 | 0.0296 | 0.0318 || 0.0323 | 0.0497 | 0.0608 | 0.0701 || 2021-02-12-17-14-25 || 173, 22, cosine, True, none
0.05303  || 0.0213 | 0.0270 | 0.0300 | 0.0322 || 0.0330 | 0.0508 | 0.0624 | 0.0713 || 2021-02-12-17-16-52 || 323, 16, cosine, True, none
0.05291  || 0.0208 | 0.0260 | 0.0289 | 0.0311 || 0.0321 | 0.0484 | 0.0592 | 0.0685 || 2021-02-12-17-18-07 || 147, 1000, cosine, True, none
0.05290  || 0.0215 | 0.0270 | 0.0301 | 0.0320 || 0.0332 | 0.0504 | 0.0619 | 0.0700 || 2021-02-12-17-10-16 || 248, 953, cosine, True, none
0.05289  || 0.0204 | 0.0256 | 0.0288 | 0.0309 || 0.0314 | 0.0478 | 0.0595 | 0.0683 || 2021-02-12-17-27-15 || 112, 5, cosine, True, none
0.05288  || 0.0212 | 0.0270 | 0.0302 | 0.0324 || 0.0327 | 0.0506 | 0.0627 | 0.0722 || 2021-02-12-17-22-11 || 647, 5, cosine, True, none
0.05283  || 0.0211 | 0.0270 | 0.0302 | 0.0324 || 0.0326 | 0.0507 | 0.0626 | 0.0721 || 2021-02-12-17-17-29 || 688, 5, cosine, True, none
0.05245  || 0.0210 | 0.0269 | 0.0299 | 0.0322 || 0.0325 | 0.0507 | 0.0620 | 0.0720 || 2021-02-12-17-19-54 || 763, 9, cosine, True, none
