Reporting the nDCG & Recall for 'WMF' on 'Amazon (Toys & Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.05121  || 0.0200 | 0.0255 | 0.0289 | 0.0315 || 0.0323 | 0.0491 | 0.0622 | 0.0729 || 2021-02-12-18-22-18 || 70, 200, 0.01, 15
0.05107  || 0.0199 | 0.0253 | 0.0288 | 0.0313 || 0.0324 | 0.0492 | 0.0622 | 0.0731 || 2021-02-12-18-13-09 || 79, 200, 0.01, 15
0.05096  || 0.0201 | 0.0256 | 0.0291 | 0.0315 || 0.0327 | 0.0496 | 0.0629 | 0.0732 || 2021-02-12-18-14-43 || 56, 200, 0.01, 15
0.05089  || 0.0202 | 0.0257 | 0.0292 | 0.0316 || 0.0327 | 0.0498 | 0.0629 | 0.0733 || 2021-02-12-18-23-49 || 51, 200, 0.01, 15
0.05088  || 0.0200 | 0.0257 | 0.0292 | 0.0315 || 0.0325 | 0.0500 | 0.0632 | 0.0733 || 2021-02-12-18-27-31 || 43, 200, 0.01, 15
0.05057  || 0.0189 | 0.0247 | 0.0281 | 0.0307 || 0.0299 | 0.0479 | 0.0607 | 0.0718 || 2021-02-12-18-19-22 || 99, 174, 0.01, 15
0.05057  || 0.0198 | 0.0254 | 0.0288 | 0.0313 || 0.0318 | 0.0491 | 0.0621 | 0.0727 || 2021-02-12-18-11-40 || 100, 200, 0.01, 15
0.05028  || 0.0198 | 0.0257 | 0.0291 | 0.0316 || 0.0314 | 0.0499 | 0.0628 | 0.0733 || 2021-02-12-18-17-48 || 22, 200, 0.01, 15
0.05020  || 0.0196 | 0.0255 | 0.0290 | 0.0315 || 0.0314 | 0.0497 | 0.0630 | 0.0734 || 2021-02-12-18-31-56 || 57, 185, 0.01, 15
0.05004  || 0.0190 | 0.0254 | 0.0290 | 0.0313 || 0.0304 | 0.0503 | 0.0640 | 0.0737 || 2021-02-12-18-09-28 || 32, 180, 0.01, 15
0.05000  || 0.0191 | 0.0252 | 0.0289 | 0.0314 || 0.0307 | 0.0496 | 0.0635 | 0.0744 || 2021-02-12-18-18-36 || 80, 199, 0.01, 15
0.04985  || 0.0191 | 0.0248 | 0.0282 | 0.0306 || 0.0305 | 0.0482 | 0.0610 | 0.0712 || 2021-02-12-18-21-32 || 98, 176, 0.01, 15
0.04982  || 0.0188 | 0.0245 | 0.0280 | 0.0302 || 0.0304 | 0.0482 | 0.0612 | 0.0707 || 2021-02-12-18-26-33 || 100, 168, 0.01, 15
0.04975  || 0.0190 | 0.0243 | 0.0279 | 0.0304 || 0.0307 | 0.0474 | 0.0608 | 0.0715 || 2021-02-12-18-31-12 || 96, 190, 0.01, 15
0.04970  || 0.0190 | 0.0250 | 0.0287 | 0.0313 || 0.0298 | 0.0486 | 0.0626 | 0.0737 || 2021-02-12-18-23-04 || 100, 183, 0.01, 15
0.04930  || 0.0189 | 0.0248 | 0.0285 | 0.0307 || 0.0303 | 0.0486 | 0.0625 | 0.0721 || 2021-02-12-18-25-37 || 100, 161, 0.01, 15
0.04903  || 0.0188 | 0.0246 | 0.0281 | 0.0305 || 0.0302 | 0.0484 | 0.0612 | 0.0717 || 2021-02-12-18-16-15 || 100, 154, 0.01, 15
0.04900  || 0.0184 | 0.0243 | 0.0279 | 0.0303 || 0.0296 | 0.0480 | 0.0616 | 0.0718 || 2021-02-12-18-17-02 || 64, 166, 0.01, 15
0.04896  || 0.0190 | 0.0247 | 0.0283 | 0.0308 || 0.0303 | 0.0478 | 0.0616 | 0.0721 || 2021-02-12-18-32-43 || 64, 158, 0.01, 15
0.04868  || 0.0192 | 0.0252 | 0.0288 | 0.0309 || 0.0303 | 0.0490 | 0.0625 | 0.0716 || 2021-02-12-18-34-12 || 46, 154, 0.01, 15
0.04842  || 0.0188 | 0.0250 | 0.0285 | 0.0310 || 0.0301 | 0.0493 | 0.0624 | 0.0729 || 2021-02-12-18-34-59 || 15, 199, 0.01, 15
0.04788  || 0.0186 | 0.0248 | 0.0281 | 0.0305 || 0.0295 | 0.0487 | 0.0612 | 0.0715 || 2021-02-12-18-08-42 || 25, 159, 0.01, 15
0.04787  || 0.0187 | 0.0245 | 0.0279 | 0.0304 || 0.0297 | 0.0479 | 0.0609 | 0.0713 || 2021-02-12-18-30-21 || 100, 142, 0.01, 15
0.04736  || 0.0189 | 0.0242 | 0.0276 | 0.0303 || 0.0305 | 0.0469 | 0.0600 | 0.0711 || 2021-02-12-18-20-06 || 100, 131, 0.01, 15
0.04602  || 0.0174 | 0.0230 | 0.0263 | 0.0288 || 0.0280 | 0.0452 | 0.0580 | 0.0683 || 2021-02-12-18-07-57 || 57, 121, 0.01, 15
0.04599  || 0.0179 | 0.0236 | 0.0271 | 0.0294 || 0.0287 | 0.0462 | 0.0596 | 0.0690 || 2021-02-12-18-29-25 || 100, 123, 0.01, 15
0.04530  || 0.0180 | 0.0238 | 0.0273 | 0.0295 || 0.0285 | 0.0467 | 0.0602 | 0.0692 || 2021-02-12-18-10-14 || 75, 116, 0.01, 15
0.04470  || 0.0179 | 0.0230 | 0.0265 | 0.0290 || 0.0289 | 0.0449 | 0.0580 | 0.0687 || 2021-02-12-18-12-26 || 92, 102, 0.01, 15
0.04114  || 0.0161 | 0.0213 | 0.0240 | 0.0267 || 0.0256 | 0.0419 | 0.0521 | 0.0633 || 2021-02-12-18-13-55 || 4, 191, 0.01, 15
0.04111  || 0.0166 | 0.0221 | 0.0252 | 0.0277 || 0.0265 | 0.0436 | 0.0555 | 0.0659 || 2021-02-12-18-15-29 || 32, 100, 0.01, 15
0.03551  || 0.0143 | 0.0184 | 0.0210 | 0.0230 || 0.0233 | 0.0361 | 0.0458 | 0.0544 || 2021-02-12-18-10-56 || 3, 146, 0.01, 15
0.03481  || 0.0141 | 0.0183 | 0.0207 | 0.0228 || 0.0227 | 0.0357 | 0.0449 | 0.0537 || 2021-02-12-18-24-39 || 3, 136, 0.01, 15
0.03363  || 0.0138 | 0.0174 | 0.0199 | 0.0219 || 0.0223 | 0.0336 | 0.0430 | 0.0516 || 2021-02-12-18-20-47 || 2, 171, 0.01, 15
0.03005  || 0.0123 | 0.0158 | 0.0182 | 0.0199 || 0.0199 | 0.0306 | 0.0400 | 0.0469 || 2021-02-12-18-33-27 || 2, 125, 0.01, 15
0.02909  || 0.0120 | 0.0154 | 0.0176 | 0.0192 || 0.0193 | 0.0301 | 0.0382 | 0.0450 || 2021-02-12-18-28-28 || 2, 111, 0.01, 15
