Reporting the nDCG & Recall for 'ItemKNNCF' on 'Amazon (Video Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05778  || 0.0271 | 0.0360 | 0.0414 | 0.0455 || 0.0434 | 0.0713 | 0.0918 | 0.1090 || 2022-02-14-17-22-02 || 469, 84, cosine, True, none
0.05776  || 0.0272 | 0.0360 | 0.0415 | 0.0455 || 0.0435 | 0.0711 | 0.0916 | 0.1087 || 2022-02-14-17-19-04 || 467, 79, cosine, True, none
0.05768  || 0.0272 | 0.0352 | 0.0402 | 0.0441 || 0.0433 | 0.0685 | 0.0873 | 0.1038 || 2022-02-14-17-29-58 || 22, 385, cosine, True, none
0.05754  || 0.0272 | 0.0362 | 0.0415 | 0.0457 || 0.0432 | 0.0711 | 0.0913 | 0.1091 || 2022-02-14-17-26-56 || 1000, 64, cosine, True, none
0.05747  || 0.0270 | 0.0361 | 0.0415 | 0.0455 || 0.0427 | 0.0713 | 0.0917 | 0.1084 || 2022-02-14-17-28-09 || 167, 225, cosine, True, none
0.05727  || 0.0273 | 0.0362 | 0.0418 | 0.0457 || 0.0434 | 0.0714 | 0.0923 | 0.1090 || 2022-02-14-17-32-51 || 263, 191, cosine, True, none
0.05704  || 0.0270 | 0.0360 | 0.0417 | 0.0459 || 0.0426 | 0.0704 | 0.0920 | 0.1100 || 2022-02-14-17-22-38 || 983, 106, cosine, True, none
0.05674  || 0.0269 | 0.0358 | 0.0411 | 0.0451 || 0.0429 | 0.0704 | 0.0904 | 0.1075 || 2022-02-14-17-35-17 || 122, 411, cosine, True, none
0.05674  || 0.0272 | 0.0356 | 0.0407 | 0.0446 || 0.0435 | 0.0698 | 0.0889 | 0.1054 || 2022-02-14-17-27-35 || 46, 615, cosine, True, none
0.05650  || 0.0268 | 0.0357 | 0.0409 | 0.0451 || 0.0426 | 0.0701 | 0.0900 | 0.1075 || 2022-02-14-17-25-06 || 119, 544, cosine, True, none
0.05649  || 0.0266 | 0.0359 | 0.0408 | 0.0446 || 0.0422 | 0.0710 | 0.0897 | 0.1060 || 2022-02-14-17-31-07 || 87, 788, cosine, True, none
0.05558  || 0.0266 | 0.0356 | 0.0411 | 0.0450 || 0.0418 | 0.0700 | 0.0909 | 0.1074 || 2022-02-14-17-28-44 || 945, 299, cosine, True, none
0.05525  || 0.0266 | 0.0354 | 0.0410 | 0.0449 || 0.0418 | 0.0695 | 0.0907 | 0.1072 || 2022-02-14-17-34-00 || 945, 359, cosine, True, none
0.05507  || 0.0264 | 0.0352 | 0.0409 | 0.0448 || 0.0414 | 0.0689 | 0.0903 | 0.1069 || 2022-02-14-17-26-18 || 934, 474, cosine, True, none
0.05496  || 0.0261 | 0.0346 | 0.0403 | 0.0438 || 0.0413 | 0.0671 | 0.0880 | 0.1036 || 2022-02-14-17-33-26 || 84, 901, cosine, False, none
0.05489  || 0.0263 | 0.0351 | 0.0406 | 0.0446 || 0.0415 | 0.0687 | 0.0897 | 0.1064 || 2022-02-14-17-23-15 || 987, 703, cosine, True, none
0.05486  || 0.0261 | 0.0351 | 0.0405 | 0.0445 || 0.0411 | 0.0691 | 0.0895 | 0.1064 || 2022-02-14-17-32-14 || 470, 990, cosine, True, none
0.05480  || 0.0261 | 0.0348 | 0.0405 | 0.0445 || 0.0410 | 0.0681 | 0.0898 | 0.1066 || 2022-02-14-17-20-48 || 663, 999, cosine, True, none
0.05476  || 0.0262 | 0.0348 | 0.0396 | 0.0435 || 0.0411 | 0.0677 | 0.0857 | 0.1020 || 2022-02-14-17-31-41 || 58, 700, cosine, False, none
0.05466  || 0.0263 | 0.0350 | 0.0407 | 0.0445 || 0.0413 | 0.0684 | 0.0900 | 0.1063 || 2022-02-14-17-25-41 || 975, 871, cosine, True, none
0.05464  || 0.0263 | 0.0350 | 0.0407 | 0.0445 || 0.0413 | 0.0683 | 0.0900 | 0.1062 || 2022-02-14-17-18-25 || 999, 968, cosine, True, none
0.05463  || 0.0260 | 0.0347 | 0.0401 | 0.0436 || 0.0406 | 0.0673 | 0.0875 | 0.1023 || 2022-02-14-17-16-38 || 100, 366, cosine, False, none
0.05461  || 0.0255 | 0.0347 | 0.0401 | 0.0437 || 0.0398 | 0.0678 | 0.0881 | 0.1034 || 2022-02-14-17-30-30 || 181, 115, cosine, False, none
0.05438  || 0.0257 | 0.0345 | 0.0401 | 0.0438 || 0.0399 | 0.0671 | 0.0875 | 0.1033 || 2022-02-14-17-24-31 || 140, 607, cosine, False, none
0.05367  || 0.0245 | 0.0328 | 0.0379 | 0.0413 || 0.0381 | 0.0639 | 0.0832 | 0.0976 || 2022-02-14-17-20-10 || 924, 5, cosine, True, none
0.05367  || 0.0255 | 0.0341 | 0.0398 | 0.0435 || 0.0399 | 0.0664 | 0.0875 | 0.1027 || 2022-02-14-17-17-49 || 373, 478, cosine, False, none
0.05367  || 0.0255 | 0.0339 | 0.0395 | 0.0435 || 0.0403 | 0.0657 | 0.0868 | 0.1036 || 2022-02-14-17-16-00 || 594, 338, cosine, False, none
0.05363  || 0.0249 | 0.0327 | 0.0379 | 0.0415 || 0.0392 | 0.0637 | 0.0832 | 0.0985 || 2022-02-14-17-21-25 || 372, 5, cosine, True, none
0.05359  || 0.0255 | 0.0338 | 0.0395 | 0.0435 || 0.0402 | 0.0656 | 0.0869 | 0.1036 || 2022-02-14-17-15-23 || 563, 217, cosine, False, none
0.05358  || 0.0255 | 0.0344 | 0.0400 | 0.0436 || 0.0396 | 0.0671 | 0.0878 | 0.1034 || 2022-02-14-17-29-22 || 339, 1000, cosine, False, none
0.05335  || 0.0254 | 0.0341 | 0.0397 | 0.0435 || 0.0401 | 0.0667 | 0.0874 | 0.1041 || 2022-02-14-17-23-52 || 862, 801, cosine, False, none
0.05332  || 0.0254 | 0.0340 | 0.0397 | 0.0437 || 0.0400 | 0.0663 | 0.0876 | 0.1044 || 2022-02-14-17-17-13 || 791, 10, cosine, False, none
0.05319  || 0.0258 | 0.0331 | 0.0373 | 0.0402 || 0.0408 | 0.0635 | 0.0792 | 0.0913 || 2022-02-14-17-19-41 || 6, 948, cosine, True, none
0.05315  || 0.0252 | 0.0339 | 0.0394 | 0.0435 || 0.0396 | 0.0662 | 0.0867 | 0.1043 || 2022-02-14-17-35-52 || 893, 421, cosine, False, none
0.05295  || 0.0254 | 0.0340 | 0.0394 | 0.0435 || 0.0398 | 0.0664 | 0.0863 | 0.1037 || 2022-02-14-17-34-40 || 994, 544, cosine, False, none
