Filename:        2022-02-14-18-16-27-084191
Command:         200, 1, 1.0

Val nDCG@10:     0.04436

Test nDCG@5:     0.02094 (0.00077)
Test nDCG@10:    0.02844 (0.00082)
Test nDCG@15:    0.03314 (0.00085)
Test nDCG@20:    0.03688 (0.00086)
Test nDCG@25:    0.03995 (0.00087)
Test nDCG@50:    0.05076 (0.00090)
Test nDCG@75:    0.05738 (0.00091)
Test nDCG@100:   0.06235 (0.00091)

Test Recall@5:   0.03358 (0.00116)
Test Recall@10:  0.05699 (0.00149)
Test Recall@15:  0.07476 (0.00169)
Test Recall@20:  0.09061 (0.00184)
Test Recall@25:  0.10468 (0.00196)
Test Recall@50:  0.16113 (0.00236)
Test Recall@75:  0.20067 (0.00257)
Test Recall@100: 0.23285 (0.00271)

