Reporting the nDCG & Recall for 'RP3beta' on 'Amazon (Video Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.06079  || 0.0289 | 0.0383 | 0.0439 | 0.0483 || 0.0453 | 0.0745 | 0.0957 | 0.1146 || 2022-02-14-17-52-34 || 861, 0.29067, 0.23816, False
0.06054  || 0.0284 | 0.0379 | 0.0437 | 0.0480 || 0.0450 | 0.0745 | 0.0966 | 0.1147 || 2022-02-14-17-47-54 || 851, 0.45716, 0.14742, False
0.06051  || 0.0289 | 0.0382 | 0.0441 | 0.0483 || 0.0456 | 0.0746 | 0.0971 | 0.1147 || 2022-02-14-17-50-46 || 542, 0.35426, 0.18302, False
0.06043  || 0.0287 | 0.0379 | 0.0439 | 0.0483 || 0.0453 | 0.0741 | 0.0968 | 0.1154 || 2022-02-14-17-54-52 || 538, 0.32613, 0.16643, False
0.06040  || 0.0287 | 0.0379 | 0.0439 | 0.0483 || 0.0454 | 0.0741 | 0.0966 | 0.1153 || 2022-02-14-17-53-45 || 537, 0.32521, 0.16349, False
0.05873  || 0.0281 | 0.0368 | 0.0428 | 0.0471 || 0.0452 | 0.0722 | 0.0950 | 0.1132 || 2022-02-14-17-41-45 || 966, 0.51563, 0.00725, False
0.05789  || 0.0276 | 0.0365 | 0.0425 | 0.0467 || 0.0442 | 0.0720 | 0.0946 | 0.1125 || 2022-02-14-17-46-39 || 697, 0.31621, 0, False
0.05759  || 0.0265 | 0.0353 | 0.0401 | 0.0431 || 0.0424 | 0.0698 | 0.0876 | 0.1004 || 2022-02-14-17-55-29 || 41, 0.03357, 0.00594, True
0.05700  || 0.0263 | 0.0356 | 0.0411 | 0.0449 || 0.0418 | 0.0706 | 0.0917 | 0.1074 || 2022-02-14-17-49-02 || 52, 0.0595, 0.19858, True
0.05632  || 0.0270 | 0.0357 | 0.0418 | 0.0459 || 0.0430 | 0.0699 | 0.0931 | 0.1104 || 2022-02-14-17-47-16 || 1000, 0.19894, 0, False
0.05595  || 0.0266 | 0.0356 | 0.0413 | 0.0453 || 0.0415 | 0.0697 | 0.0914 | 0.1082 || 2022-02-14-17-46-01 || 912, 0.01404, 0.13492, False
0.05435  || 0.0258 | 0.0340 | 0.0389 | 0.0427 || 0.0404 | 0.0660 | 0.0847 | 0.1007 || 2022-02-14-17-51-22 || 985, 0.08547, 0.48475, False
0.05359  || 0.0240 | 0.0328 | 0.0380 | 0.0419 || 0.0374 | 0.0648 | 0.0846 | 0.1011 || 2022-02-14-17-39-26 || 215, 0.71917, 0.00051, True
0.05247  || 0.0243 | 0.0323 | 0.0380 | 0.0420 || 0.0385 | 0.0636 | 0.0851 | 0.1022 || 2022-02-14-17-45-23 || 1000, 0.43694, 0, True
0.05191  || 0.0263 | 0.0310 | 0.0323 | 0.0329 || 0.0409 | 0.0551 | 0.0601 | 0.0628 || 2022-02-14-17-42-58 || 5, 0.26947, 0, False
0.05125  || 0.0244 | 0.0307 | 0.0335 | 0.0345 || 0.0379 | 0.0574 | 0.0675 | 0.0718 || 2022-02-14-17-48-31 || 5, 0, 0.42748, False
0.05032  || 0.0236 | 0.0313 | 0.0365 | 0.0402 || 0.0379 | 0.0619 | 0.0814 | 0.0972 || 2022-02-14-17-41-09 || 822, 0, 0, True
0.04793  || 0.0215 | 0.0295 | 0.0344 | 0.0382 || 0.0339 | 0.0587 | 0.0774 | 0.0936 || 2022-02-14-17-42-21 || 1000, 0.98486, 0, True
0.04767  || 0.0208 | 0.0284 | 0.0326 | 0.0364 || 0.0336 | 0.0572 | 0.0733 | 0.0893 || 2022-02-14-17-44-08 || 982, 0.29254, 0.31653, True
0.03943  || 0.0169 | 0.0232 | 0.0274 | 0.0306 || 0.0267 | 0.0462 | 0.0622 | 0.0758 || 2022-02-14-17-52-00 || 150, 1.92202, 0.00415, True
0.03440  || 0.0143 | 0.0202 | 0.0246 | 0.0281 || 0.0232 | 0.0413 | 0.0580 | 0.0729 || 2022-02-14-17-40-31 || 928, 1.61563, 0.23169, True
0.02477  || 0.0109 | 0.0153 | 0.0187 | 0.0210 || 0.0175 | 0.0311 | 0.0441 | 0.0541 || 2022-02-14-17-44-45 || 984, 1.99482, 0.02975, False
0.02405  || 0.0103 | 0.0142 | 0.0174 | 0.0200 || 0.0168 | 0.0290 | 0.0411 | 0.0524 || 2022-02-14-17-37-43 || 311, 1.60474, 0.1903, False
0.01620  || 0.0068 | 0.0100 | 0.0122 | 0.0144 || 0.0113 | 0.0211 | 0.0296 | 0.0389 || 2022-02-14-17-37-08 || 239, 1.18423, 0.67005, False
0.01561  || 0.0069 | 0.0095 | 0.0114 | 0.0130 || 0.0111 | 0.0195 | 0.0266 | 0.0333 || 2022-02-14-17-38-54 || 10, 0.92715, 0.76214, True
0.01320  || 0.0066 | 0.0093 | 0.0110 | 0.0123 || 0.0105 | 0.0188 | 0.0253 | 0.0309 || 2022-02-14-17-53-12 || 21, 0.00862, 0.9057, True
0.01240  || 0.0067 | 0.0092 | 0.0110 | 0.0124 || 0.0106 | 0.0183 | 0.0255 | 0.0311 || 2022-02-14-17-36-32 || 563, 0.42518, 1.08616, False
0.01008  || 0.0045 | 0.0065 | 0.0077 | 0.0092 || 0.0071 | 0.0132 | 0.0181 | 0.0243 || 2022-02-14-17-54-20 || 12, 1.9673, 0.8263, True
0.00938  || 0.0043 | 0.0063 | 0.0079 | 0.0092 || 0.0071 | 0.0131 | 0.0195 | 0.0248 || 2022-02-14-17-43-28 || 996, 1.98137, 1.13791, False
0.00778  || 0.0046 | 0.0063 | 0.0075 | 0.0084 || 0.0075 | 0.0125 | 0.0172 | 0.0210 || 2022-02-14-17-38-18 || 742, 0.3199, 1.7253, True
0.00730  || 0.0041 | 0.0056 | 0.0067 | 0.0078 || 0.0067 | 0.0112 | 0.0157 | 0.0199 || 2022-02-14-17-39-59 || 56, 1.56348, 2, False
0.00707  || 0.0040 | 0.0053 | 0.0064 | 0.0072 || 0.0063 | 0.0104 | 0.0146 | 0.0179 || 2022-02-14-17-49-36 || 966, 1.98837, 1.94307, True
0.00703  || 0.0044 | 0.0060 | 0.0072 | 0.0078 || 0.0072 | 0.0122 | 0.0164 | 0.0192 || 2022-02-14-17-56-38 || 61, 0.80741, 1.98056, True
0.00701  || 0.0046 | 0.0064 | 0.0075 | 0.0083 || 0.0075 | 0.0132 | 0.0171 | 0.0205 || 2022-02-14-17-56-01 || 998, 0.56432, 1.97787, False
