Reporting the nDCG & Recall for 'UserKNNCF' on 'Amazon (Video Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05713  || 0.0275 | 0.0364 | 0.0423 | 0.0462 || 0.0437 | 0.0713 | 0.0937 | 0.1102 || 2022-02-14-17-13-46 || 652, 5, cosine, True, none
0.05704  || 0.0276 | 0.0365 | 0.0424 | 0.0463 || 0.0437 | 0.0716 | 0.0941 | 0.1106 || 2022-02-14-16-57-29 || 748, 5, cosine, True, none
0.05696  || 0.0274 | 0.0366 | 0.0424 | 0.0464 || 0.0434 | 0.0720 | 0.0941 | 0.1110 || 2022-02-14-16-56-40 || 602, 5, cosine, True, none
0.05693  || 0.0270 | 0.0357 | 0.0409 | 0.0451 || 0.0425 | 0.0698 | 0.0895 | 0.1073 || 2022-02-14-16-58-17 || 311, 21, cosine, True, none
0.05687  || 0.0276 | 0.0365 | 0.0424 | 0.0463 || 0.0437 | 0.0713 | 0.0937 | 0.1104 || 2022-02-14-17-12-08 || 934, 5, cosine, True, none
0.05682  || 0.0273 | 0.0363 | 0.0419 | 0.0460 || 0.0434 | 0.0714 | 0.0929 | 0.1101 || 2022-02-14-17-09-47 || 566, 997, cosine, True, none
0.05670  || 0.0275 | 0.0362 | 0.0420 | 0.0462 || 0.0436 | 0.0708 | 0.0926 | 0.1103 || 2022-02-14-17-08-59 || 997, 11, cosine, True, none
0.05662  || 0.0272 | 0.0366 | 0.0420 | 0.0462 || 0.0428 | 0.0722 | 0.0924 | 0.1101 || 2022-02-14-17-04-19 || 445, 10, cosine, True, none
0.05661  || 0.0271 | 0.0361 | 0.0420 | 0.0459 || 0.0428 | 0.0709 | 0.0931 | 0.1097 || 2022-02-14-17-05-07 || 873, 17, cosine, True, none
0.05653  || 0.0272 | 0.0365 | 0.0422 | 0.0462 || 0.0431 | 0.0721 | 0.0935 | 0.1107 || 2022-02-14-16-55-02 || 557, 24, cosine, True, none
0.05651  || 0.0274 | 0.0362 | 0.0418 | 0.0459 || 0.0434 | 0.0708 | 0.0919 | 0.1091 || 2022-02-14-17-10-35 || 367, 5, cosine, True, none
0.05640  || 0.0272 | 0.0361 | 0.0413 | 0.0456 || 0.0431 | 0.0712 | 0.0906 | 0.1092 || 2022-02-14-17-07-28 || 401, 995, cosine, True, none
0.05640  || 0.0271 | 0.0363 | 0.0416 | 0.0457 || 0.0432 | 0.0721 | 0.0922 | 0.1094 || 2022-02-14-16-55-51 || 665, 1000, cosine, True, none
0.05637  || 0.0266 | 0.0355 | 0.0408 | 0.0450 || 0.0417 | 0.0695 | 0.0897 | 0.1072 || 2022-02-14-17-02-48 || 317, 1000, cosine, True, none
0.05633  || 0.0271 | 0.0362 | 0.0417 | 0.0459 || 0.0428 | 0.0711 | 0.0920 | 0.1096 || 2022-02-14-17-03-33 || 476, 985, cosine, True, none
0.05597  || 0.0270 | 0.0361 | 0.0417 | 0.0457 || 0.0427 | 0.0711 | 0.0921 | 0.1092 || 2022-02-14-17-01-59 || 782, 1000, cosine, True, none
0.05591  || 0.0262 | 0.0350 | 0.0403 | 0.0441 || 0.0417 | 0.0691 | 0.0890 | 0.1053 || 2022-02-14-17-00-29 || 254, 989, cosine, True, none
0.05588  || 0.0270 | 0.0361 | 0.0416 | 0.0457 || 0.0428 | 0.0711 | 0.0920 | 0.1091 || 2022-02-14-16-52-44 || 905, 948, cosine, True, none
0.05585  || 0.0269 | 0.0361 | 0.0416 | 0.0457 || 0.0423 | 0.0709 | 0.0917 | 0.1092 || 2022-02-14-16-51-54 || 1000, 968, cosine, True, none
0.05568  || 0.0266 | 0.0353 | 0.0410 | 0.0451 || 0.0421 | 0.0689 | 0.0899 | 0.1071 || 2022-02-14-16-50-22 || 791, 10, cosine, False, none
0.05545  || 0.0265 | 0.0355 | 0.0412 | 0.0450 || 0.0419 | 0.0693 | 0.0901 | 0.1067 || 2022-02-14-16-48-54 || 594, 338, cosine, False, none
0.05543  || 0.0265 | 0.0353 | 0.0410 | 0.0449 || 0.0418 | 0.0688 | 0.0902 | 0.1064 || 2022-02-14-17-12-57 || 856, 998, cosine, False, none
0.05536  || 0.0265 | 0.0355 | 0.0408 | 0.0450 || 0.0416 | 0.0697 | 0.0892 | 0.1066 || 2022-02-14-16-48-06 || 563, 217, cosine, False, none
0.05526  || 0.0266 | 0.0354 | 0.0409 | 0.0450 || 0.0422 | 0.0694 | 0.0897 | 0.1074 || 2022-02-14-17-06-41 || 686, 6, cosine, False, none
0.05521  || 0.0266 | 0.0352 | 0.0409 | 0.0450 || 0.0423 | 0.0684 | 0.0895 | 0.1071 || 2022-02-14-17-11-22 || 735, 1000, cosine, False, none
0.05516  || 0.0263 | 0.0351 | 0.0407 | 0.0446 || 0.0416 | 0.0688 | 0.0892 | 0.1055 || 2022-02-14-16-59-04 || 983, 294, cosine, False, none
0.05490  || 0.0263 | 0.0349 | 0.0405 | 0.0445 || 0.0418 | 0.0682 | 0.0888 | 0.1053 || 2022-02-14-16-54-13 || 1000, 1000, cosine, False, none
