Reporting the nDCG & Recall for 'WMF' on 'Amazon (Video Games)'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.05739  || 0.0260 | 0.0351 | 0.0411 | 0.0456 || 0.0413 | 0.0695 | 0.0922 | 0.1113 || 2022-02-14-18-14-30 || 16, 178, 0.01, 15
0.05719  || 0.0251 | 0.0340 | 0.0401 | 0.0444 || 0.0402 | 0.0678 | 0.0908 | 0.1091 || 2022-02-14-18-18-29 || 22, 198, 0.01, 15
0.05713  || 0.0260 | 0.0352 | 0.0410 | 0.0455 || 0.0411 | 0.0699 | 0.0916 | 0.1107 || 2022-02-14-18-22-27 || 20, 200, 0.01, 15
0.05711  || 0.0267 | 0.0354 | 0.0414 | 0.0459 || 0.0422 | 0.0693 | 0.0918 | 0.1110 || 2022-02-14-18-03-37 || 14, 199, 0.01, 15
0.05675  || 0.0269 | 0.0357 | 0.0414 | 0.0457 || 0.0426 | 0.0699 | 0.0916 | 0.1098 || 2022-02-14-18-17-40 || 11, 199, 0.01, 15
0.05661  || 0.0257 | 0.0347 | 0.0410 | 0.0454 || 0.0404 | 0.0684 | 0.0921 | 0.1108 || 2022-02-14-18-16-02 || 29, 171, 0.01, 15
0.05653  || 0.0256 | 0.0349 | 0.0409 | 0.0452 || 0.0402 | 0.0693 | 0.0918 | 0.1099 || 2022-02-14-17-58-45 || 32, 180, 0.01, 15
0.05649  || 0.0256 | 0.0348 | 0.0408 | 0.0454 || 0.0403 | 0.0691 | 0.0916 | 0.1112 || 2022-02-14-17-57-59 || 25, 159, 0.01, 15
0.05588  || 0.0252 | 0.0342 | 0.0400 | 0.0444 || 0.0400 | 0.0682 | 0.0901 | 0.1086 || 2022-02-14-18-05-26 || 18, 101, 0.01, 15
0.05585  || 0.0255 | 0.0346 | 0.0402 | 0.0444 || 0.0401 | 0.0682 | 0.0897 | 0.1071 || 2022-02-14-18-21-40 || 35, 199, 0.01, 15
