Reporting the nDCG & Recall for 'ItemKNNCF' on 'CiteULike-t'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.09067  || 0.0736 | 0.0886 | 0.0977 | 0.1035 || 0.1082 | 0.1545 | 0.1886 | 0.2135 || 2021-02-12-16-39-45 || 52, 5, cosine, True, none
0.08999  || 0.0759 | 0.0904 | 0.0996 | 0.1054 || 0.1120 | 0.1565 | 0.1914 | 0.2160 || 2021-02-12-16-38-08 || 28, 5, cosine, True, none
0.08895  || 0.0744 | 0.0894 | 0.0980 | 0.1040 || 0.1092 | 0.1560 | 0.1881 | 0.2140 || 2021-02-12-16-40-04 || 266, 5, cosine, True, none
0.08799  || 0.0765 | 0.0910 | 0.1001 | 0.1063 || 0.1105 | 0.1557 | 0.1904 | 0.2167 || 2021-02-12-16-40-41 || 295, 23, cosine, True, none
0.08773  || 0.0733 | 0.0882 | 0.0985 | 0.1042 || 0.1080 | 0.1545 | 0.1934 | 0.2175 || 2021-02-12-16-36-00 || 1000, 5, cosine, True, none
0.08771  || 0.0772 | 0.0910 | 0.0994 | 0.1059 || 0.1120 | 0.1552 | 0.1871 | 0.2145 || 2021-02-12-16-31-54 || 19, 10, cosine, True, none
0.08748  || 0.0730 | 0.0873 | 0.0972 | 0.1035 || 0.1082 | 0.1534 | 0.1909 | 0.2165 || 2021-02-12-16-32-07 || 576, 5, cosine, True, none
0.08726  || 0.0780 | 0.0910 | 0.1005 | 0.1063 || 0.1130 | 0.1537 | 0.1898 | 0.2142 || 2021-02-12-16-32-24 || 999, 27, cosine, True, none
0.08575  || 0.0757 | 0.0892 | 0.0986 | 0.1047 || 0.1095 | 0.1514 | 0.1868 | 0.2130 || 2021-02-12-16-40-22 || 589, 44, cosine, True, none
0.08375  || 0.0746 | 0.0878 | 0.0964 | 0.1033 || 0.1067 | 0.1472 | 0.1798 | 0.2087 || 2021-02-12-16-33-17 || 413, 97, cosine, True, none
0.08329  || 0.0728 | 0.0870 | 0.0953 | 0.1009 || 0.1035 | 0.1487 | 0.1793 | 0.2027 || 2021-02-12-16-39-26 || 26, 172, cosine, True, none
0.08245  || 0.0707 | 0.0851 | 0.0935 | 0.0998 || 0.1015 | 0.1452 | 0.1773 | 0.2047 || 2021-02-12-16-38-27 || 38, 335, cosine, True, none
0.08091  || 0.0711 | 0.0849 | 0.0929 | 0.0989 || 0.1017 | 0.1444 | 0.1745 | 0.2006 || 2021-02-12-16-39-07 || 591, 149, cosine, True, none
0.08024  || 0.0715 | 0.0847 | 0.0941 | 0.0997 || 0.1037 | 0.1444 | 0.1801 | 0.2037 || 2021-02-12-16-41-02 || 67, 821, cosine, True, none
0.08000  || 0.0703 | 0.0834 | 0.0907 | 0.0974 || 0.1020 | 0.1429 | 0.1708 | 0.1989 || 2021-02-12-16-37-52 || 20, 606, cosine, True, none
0.07989  || 0.0698 | 0.0831 | 0.0911 | 0.0973 || 0.1002 | 0.1414 | 0.1713 | 0.1976 || 2021-02-12-16-31-23 || 18, 992, cosine, True, none
0.07951  || 0.0707 | 0.0848 | 0.0921 | 0.0986 || 0.1004 | 0.1444 | 0.1720 | 0.1994 || 2021-02-12-16-38-43 || 563, 208, cosine, True, none
0.07586  || 0.0663 | 0.0797 | 0.0876 | 0.0937 || 0.0957 | 0.1374 | 0.1673 | 0.1931 || 2021-02-12-16-35-38 || 997, 295, cosine, True, none
0.07558  || 0.0682 | 0.0818 | 0.0885 | 0.0954 || 0.0957 | 0.1379 | 0.1660 | 0.1921 || 2021-02-12-16-30-31 || 100, 366, cosine, False, none
0.07487  || 0.0646 | 0.0783 | 0.0859 | 0.0919 || 0.0939 | 0.1361 | 0.1650 | 0.1901 || 2021-02-12-16-37-05 || 995, 453, cosine, True, none
0.07448  || 0.0645 | 0.0779 | 0.0854 | 0.0912 || 0.0944 | 0.1356 | 0.1640 | 0.1886 || 2021-02-12-16-33-41 || 997, 622, cosine, True, none
0.07383  || 0.0642 | 0.0776 | 0.0850 | 0.0908 || 0.0934 | 0.1349 | 0.1630 | 0.1876 || 2021-02-12-16-37-29 || 991, 813, cosine, True, none
0.07356  || 0.0640 | 0.0773 | 0.0849 | 0.0905 || 0.0934 | 0.1346 | 0.1632 | 0.1873 || 2021-02-12-16-31-36 || 993, 997, cosine, True, none
0.07311  || 0.0664 | 0.0793 | 0.0877 | 0.0924 || 0.0962 | 0.1359 | 0.1663 | 0.1878 || 2021-02-12-16-31-08 || 373, 478, cosine, False, none
0.07229  || 0.0632 | 0.0751 | 0.0831 | 0.0877 || 0.0937 | 0.1308 | 0.1582 | 0.1808 || 2021-02-12-16-30-45 || 791, 10, cosine, False, none
0.07209  || 0.0670 | 0.0789 | 0.0864 | 0.0918 || 0.0962 | 0.1341 | 0.1620 | 0.1843 || 2021-02-12-16-36-28 || 13, 726, cosine, False, none
0.07208  || 0.0642 | 0.0765 | 0.0847 | 0.0898 || 0.0932 | 0.1316 | 0.1612 | 0.1841 || 2021-02-12-16-30-08 || 594, 338, cosine, False, none
0.07167  || 0.0644 | 0.0767 | 0.0845 | 0.0904 || 0.0927 | 0.1308 | 0.1605 | 0.1856 || 2021-02-12-16-29-45 || 563, 217, cosine, False, none
0.07119  || 0.0626 | 0.0744 | 0.0812 | 0.0871 || 0.0927 | 0.1308 | 0.1560 | 0.1785 || 2021-02-12-16-34-05 || 1000, 975, cosine, False, none
0.07114  || 0.0659 | 0.0784 | 0.0851 | 0.0900 || 0.0937 | 0.1321 | 0.1577 | 0.1785 || 2021-02-12-16-32-44 || 7, 436, cosine, True, none
0.07093  || 0.0667 | 0.0792 | 0.0865 | 0.0907 || 0.0944 | 0.1326 | 0.1602 | 0.1781 || 2021-02-12-16-36-46 || 7, 246, cosine, True, none
0.07074  || 0.0626 | 0.0756 | 0.0821 | 0.0873 || 0.0922 | 0.1313 | 0.1565 | 0.1776 || 2021-02-12-16-35-12 || 992, 724, cosine, False, none
0.06968  || 0.0647 | 0.0764 | 0.0825 | 0.0870 || 0.0932 | 0.1291 | 0.1524 | 0.1718 || 2021-02-12-16-34-32 || 9, 11, cosine, False, none
0.06830  || 0.0639 | 0.0727 | 0.0802 | 0.0841 || 0.0922 | 0.1195 | 0.1479 | 0.1645 || 2021-02-12-16-34-48 || 5, 782, cosine, True, none
0.06526  || 0.0617 | 0.0711 | 0.0773 | 0.0806 || 0.0874 | 0.1163 | 0.1394 | 0.1560 || 2021-02-12-16-33-00 || 5, 1000, cosine, False, none
