Filename:        2021-05-01-15-43-35-632873
Command:         200, 1, 1.0

Val nDCG@10:     0.08791

Test nDCG@5:     0.06308 (0.00332)
Test nDCG@10:    0.07911 (0.00342)
Test nDCG@15:    0.08936 (0.00346)
Test nDCG@20:    0.09631 (0.00347)
Test nDCG@25:    0.10185 (0.00348)
Test nDCG@50:    0.11869 (0.00346)
Test nDCG@75:    0.12890 (0.00343)
Test nDCG@100:   0.13649 (0.00340)

Test Recall@5:   0.09417 (0.00463)
Test Recall@10:  0.14415 (0.00557)
Test Recall@15:  0.18307 (0.00613)
Test Recall@20:  0.21246 (0.00648)
Test Recall@25:  0.23782 (0.00675)
Test Recall@50:  0.32546 (0.00743)
Test Recall@75:  0.38649 (0.00772)
Test Recall@100: 0.43546 (0.00786)

