Reporting the nDCG & Recall for 'RP3beta' on 'CiteULike-t'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.10354  || 0.0908 | 0.1082 | 0.1182 | 0.1258 || 0.1341 | 0.1881 | 0.2258 | 0.2579 || 2021-02-12-16-54-00 || 666, 0.58757, 0.18798, False
0.10255  || 0.0884 | 0.1060 | 0.1179 | 0.1254 || 0.1298 | 0.1848 | 0.2295 | 0.2614 || 2021-02-12-16-53-25 || 742, 0.69278, 0.29179, False
0.10235  || 0.0870 | 0.1060 | 0.1159 | 0.1238 || 0.1278 | 0.1863 | 0.2240 | 0.2574 || 2021-02-12-16-53-45 || 478, 0.65211, 0.08539, False
0.09863  || 0.0852 | 0.1032 | 0.1138 | 0.1207 || 0.1248 | 0.1811 | 0.2215 | 0.2506 || 2021-02-12-16-52-40 || 614, 0.56861, 0.19331, True
0.09590  || 0.0786 | 0.0981 | 0.1087 | 0.1168 || 0.1123 | 0.1730 | 0.2130 | 0.2476 || 2021-02-12-16-53-04 || 997, 0.80796, 0.25823, True
0.09485  || 0.0789 | 0.0960 | 0.1085 | 0.1165 || 0.1163 | 0.1693 | 0.2162 | 0.2501 || 2021-02-12-16-52-16 || 734, 0.7525, 0.00682, True
0.09451  || 0.0762 | 0.0943 | 0.1049 | 0.1134 || 0.1143 | 0.1710 | 0.2112 | 0.2471 || 2021-02-12-16-54-22 || 1000, 0.98108, 0, False
0.09128  || 0.0790 | 0.0945 | 0.1038 | 0.1101 || 0.1150 | 0.1640 | 0.1986 | 0.2263 || 2021-02-12-16-47-33 || 709, 0.05228, 0.22672, True
0.08936  || 0.0775 | 0.0930 | 0.1022 | 0.1085 || 0.1128 | 0.1610 | 0.1961 | 0.2225 || 2021-02-12-16-48-53 || 575, 0, 0.2, True
0.08907  || 0.0763 | 0.0915 | 0.1003 | 0.1071 || 0.1113 | 0.1582 | 0.1916 | 0.2202 || 2021-02-12-16-48-26 || 794, 0, 0.12798, True
0.08736  || 0.0741 | 0.0894 | 0.0983 | 0.1054 || 0.1087 | 0.1565 | 0.1896 | 0.2200 || 2021-02-12-16-51-21 || 746, 0, 0.2973, True
