Reporting the nDCG & Recall for 'UserKNNCF' on 'CiteULike-t'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.09206  || 0.0771 | 0.0932 | 0.1043 | 0.1101 || 0.1115 | 0.1620 | 0.2042 | 0.2283 || 2021-02-12-16-28-49 || 111, 5, cosine, True, none
0.09188  || 0.0769 | 0.0937 | 0.1041 | 0.1101 || 0.1113 | 0.1637 | 0.2034 | 0.2283 || 2021-02-12-16-27-50 || 109, 5, cosine, True, none
0.09123  || 0.0763 | 0.0921 | 0.1027 | 0.1095 || 0.1110 | 0.1597 | 0.2006 | 0.2290 || 2021-02-12-16-23-15 || 120, 5, cosine, True, none
0.08850  || 0.0716 | 0.0855 | 0.0944 | 0.1012 || 0.1067 | 0.1512 | 0.1848 | 0.2132 || 2021-02-12-16-27-01 || 110, 976, cosine, True, none
0.08681  || 0.0733 | 0.0890 | 0.0989 | 0.1058 || 0.1062 | 0.1555 | 0.1926 | 0.2215 || 2021-02-12-16-19-26 || 147, 183, cosine, True, none
0.08549  || 0.0685 | 0.0834 | 0.0915 | 0.0980 || 0.1020 | 0.1484 | 0.1796 | 0.2067 || 2021-02-12-16-25-22 || 82, 116, cosine, True, none
0.08369  || 0.0706 | 0.0880 | 0.0981 | 0.1048 || 0.0999 | 0.1547 | 0.1921 | 0.2200 || 2021-02-12-16-21-54 || 206, 917, cosine, True, none
0.08314  || 0.0693 | 0.0839 | 0.0931 | 0.0999 || 0.1004 | 0.1472 | 0.1806 | 0.2114 || 2021-02-12-16-20-06 || 210, 20, cosine, False, none
0.08101  || 0.0695 | 0.0850 | 0.0934 | 0.1001 || 0.1015 | 0.1482 | 0.1811 | 0.2099 || 2021-02-12-16-29-11 || 246, 978, cosine, False, none
0.08067  || 0.0696 | 0.0843 | 0.0940 | 0.0999 || 0.1035 | 0.1484 | 0.1853 | 0.2107 || 2021-02-12-16-21-37 || 156, 43, cosine, False, none
0.08000  || 0.0700 | 0.0842 | 0.0935 | 0.1005 || 0.1027 | 0.1472 | 0.1818 | 0.2117 || 2021-02-12-16-20-27 || 282, 276, cosine, True, none
0.07966  || 0.0694 | 0.0836 | 0.0928 | 0.0980 || 0.1015 | 0.1452 | 0.1801 | 0.2044 || 2021-02-12-16-22-49 || 287, 986, cosine, False, none
0.07751  || 0.0677 | 0.0820 | 0.0907 | 0.0973 || 0.0989 | 0.1431 | 0.1763 | 0.2042 || 2021-02-12-16-23-37 || 338, 907, cosine, True, none
0.07719  || 0.0673 | 0.0815 | 0.0903 | 0.0969 || 0.0987 | 0.1429 | 0.1765 | 0.2044 || 2021-02-12-16-26-37 || 399, 20, cosine, True, none
0.07684  || 0.0684 | 0.0842 | 0.0913 | 0.0979 || 0.0984 | 0.1457 | 0.1735 | 0.1999 || 2021-02-12-16-17-22 || 373, 478, cosine, False, none
0.07683  || 0.0659 | 0.0793 | 0.0860 | 0.0910 || 0.0969 | 0.1401 | 0.1685 | 0.1896 || 2021-02-12-16-16-35 || 100, 366, cosine, False, none
0.07592  || 0.0678 | 0.0812 | 0.0896 | 0.0951 || 0.0982 | 0.1399 | 0.1715 | 0.1964 || 2021-02-12-16-28-20 || 426, 970, cosine, False, none
0.07488  || 0.0655 | 0.0793 | 0.0879 | 0.0941 || 0.0957 | 0.1389 | 0.1705 | 0.1969 || 2021-02-12-16-20-49 || 456, 854, cosine, True, none
0.07332  || 0.0658 | 0.0799 | 0.0872 | 0.0930 || 0.0954 | 0.1384 | 0.1670 | 0.1916 || 2021-02-12-16-23-56 || 493, 64, cosine, False, none
0.07318  || 0.0641 | 0.0782 | 0.0866 | 0.0922 || 0.0929 | 0.1364 | 0.1680 | 0.1921 || 2021-02-12-16-24-30 || 528, 919, cosine, True, none
0.07234  || 0.0627 | 0.0752 | 0.0837 | 0.0901 || 0.0924 | 0.1318 | 0.1637 | 0.1911 || 2021-02-12-16-27-24 || 763, 18, cosine, True, none
0.07199  || 0.0639 | 0.0779 | 0.0847 | 0.0911 || 0.0924 | 0.1349 | 0.1605 | 0.1873 || 2021-02-12-16-15-49 || 563, 217, cosine, False, none
0.07179  || 0.0632 | 0.0763 | 0.0847 | 0.0906 || 0.0927 | 0.1333 | 0.1652 | 0.1898 || 2021-02-12-16-26-09 || 628, 75, cosine, True, none
0.07141  || 0.0633 | 0.0768 | 0.0847 | 0.0901 || 0.0917 | 0.1331 | 0.1632 | 0.1848 || 2021-02-12-16-16-11 || 594, 338, cosine, False, none
0.07072  || 0.0636 | 0.0761 | 0.0847 | 0.0898 || 0.0917 | 0.1306 | 0.1620 | 0.1838 || 2021-02-12-16-24-59 || 662, 59, cosine, False, none
0.07061  || 0.0624 | 0.0755 | 0.0839 | 0.0890 || 0.0914 | 0.1323 | 0.1642 | 0.1853 || 2021-02-12-16-21-12 || 698, 937, cosine, True, none
0.07031  || 0.0595 | 0.0726 | 0.0800 | 0.0853 || 0.0887 | 0.1293 | 0.1577 | 0.1798 || 2021-02-12-16-17-57 || 1000, 195, cosine, True, none
0.07011  || 0.0605 | 0.0736 | 0.0815 | 0.0869 || 0.0891 | 0.1301 | 0.1602 | 0.1823 || 2021-02-12-16-22-23 || 865, 986, cosine, True, none
0.06951  || 0.0602 | 0.0732 | 0.0808 | 0.0857 || 0.0894 | 0.1298 | 0.1590 | 0.1793 || 2021-02-12-16-19-04 || 958, 564, cosine, True, none
0.06916  || 0.0611 | 0.0746 | 0.0819 | 0.0868 || 0.0887 | 0.1301 | 0.1575 | 0.1781 || 2021-02-12-16-16-51 || 791, 10, cosine, False, none
0.06904  || 0.0600 | 0.0734 | 0.0800 | 0.0857 || 0.0887 | 0.1293 | 0.1557 | 0.1785 || 2021-02-12-16-24-14 || 908, 30, cosine, False, none
0.06836  || 0.0598 | 0.0719 | 0.0801 | 0.0851 || 0.0876 | 0.1263 | 0.1547 | 0.1745 || 2021-02-12-16-25-41 || 1000, 599, cosine, False, none
0.04343  || 0.0308 | 0.0393 | 0.0423 | 0.0439 || 0.0454 | 0.0681 | 0.0799 | 0.0896 || 2021-02-12-16-19-51 || 5, 137, cosine, True, none
0.03512  || 0.0245 | 0.0297 | 0.0303 | 0.0311 || 0.0354 | 0.0515 | 0.0578 | 0.0643 || 2021-02-12-16-18-53 || 5, 105, cosine, False, none
0.03503  || 0.0244 | 0.0297 | 0.0302 | 0.0310 || 0.0357 | 0.0515 | 0.0578 | 0.0643 || 2021-02-12-16-18-24 || 5, 804, cosine, False, none
