Reporting the nDCG & Recall for 'WMF' on 'CiteULike-t'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.10328  || 0.0837 | 0.1023 | 0.1126 | 0.1193 || 0.1263 | 0.1836 | 0.2225 | 0.2511 || 2021-02-12-17-14-05 || 31, 156, 0.01, 15
0.10132  || 0.0836 | 0.1020 | 0.1125 | 0.1212 || 0.1236 | 0.1808 | 0.2202 | 0.2569 || 2021-02-12-17-14-46 || 16, 156, 0.01, 15
0.10055  || 0.0818 | 0.1028 | 0.1123 | 0.1192 || 0.1198 | 0.1843 | 0.2202 | 0.2494 || 2021-02-12-17-08-12 || 28, 165, 0.01, 15
0.10044  || 0.0824 | 0.1017 | 0.1118 | 0.1186 || 0.1216 | 0.1813 | 0.2197 | 0.2486 || 2021-02-12-16-58-44 || 32, 180, 0.01, 15
0.10026  || 0.0842 | 0.1028 | 0.1133 | 0.1205 || 0.1248 | 0.1823 | 0.2225 | 0.2529 || 2021-02-12-17-01-54 || 15, 200, 0.01, 15
0.10023  || 0.0850 | 0.1023 | 0.1131 | 0.1202 || 0.1273 | 0.1813 | 0.2223 | 0.2524 || 2021-02-12-17-11-22 || 19, 200, 0.01, 15
0.09982  || 0.0849 | 0.1014 | 0.1114 | 0.1182 || 0.1276 | 0.1791 | 0.2165 | 0.2454 || 2021-02-12-17-11-57 || 30, 200, 0.01, 15
0.09933  || 0.0848 | 0.1020 | 0.1114 | 0.1190 || 0.1276 | 0.1811 | 0.2165 | 0.2486 || 2021-02-12-17-02-58 || 27, 200, 0.01, 15
0.09878  || 0.0819 | 0.1020 | 0.1123 | 0.1197 || 0.1208 | 0.1826 | 0.2215 | 0.2531 || 2021-02-12-17-14-29 || 47, 138, 0.01, 15
0.09818  || 0.0802 | 0.0994 | 0.1096 | 0.1169 || 0.1185 | 0.1783 | 0.2170 | 0.2479 || 2021-02-12-17-07-07 || 43, 177, 0.01, 15
0.09760  || 0.0796 | 0.0975 | 0.1073 | 0.1154 || 0.1205 | 0.1760 | 0.2132 | 0.2476 || 2021-02-12-17-00-53 || 41, 102, 0.01, 15
