Reporting the nDCG & Recall for 'ItemKNNCF' on 'Flixster'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.12227  || 0.0626 | 0.0768 | 0.0847 | 0.0901 || 0.0984 | 0.1428 | 0.1725 | 0.1953 || 2021-02-12-23-00-07 || 5, 611, cosine, True, none
0.12221  || 0.0621 | 0.0798 | 0.0876 | 0.0929 || 0.0984 | 0.1533 | 0.1826 | 0.2051 || 2021-02-12-22-48-12 || 381, 434, cosine, True, none
0.12158  || 0.0605 | 0.0783 | 0.0870 | 0.0930 || 0.0995 | 0.1546 | 0.1877 | 0.2132 || 2021-02-12-21-26-30 || 12, 985, cosine, True, none
0.12125  || 0.0612 | 0.0753 | 0.0833 | 0.0884 || 0.0960 | 0.1401 | 0.1704 | 0.1921 || 2021-02-13-01-17-51 || 5, 778, cosine, True, none
0.12118  || 0.0619 | 0.0796 | 0.0872 | 0.0922 || 0.0982 | 0.1529 | 0.1817 | 0.2026 || 2021-02-13-00-50-53 || 515, 421, cosine, True, none
0.12095  || 0.0594 | 0.0776 | 0.0861 | 0.0912 || 0.0948 | 0.1513 | 0.1834 | 0.2050 || 2021-02-13-02-02-26 || 276, 522, cosine, True, none
0.12079  || 0.0597 | 0.0766 | 0.0854 | 0.0904 || 0.0964 | 0.1484 | 0.1814 | 0.2027 || 2021-02-13-01-50-30 || 333, 691, cosine, True, none
0.12043  || 0.0602 | 0.0781 | 0.0860 | 0.0905 || 0.0976 | 0.1533 | 0.1830 | 0.2018 || 2021-02-13-01-27-19 || 723, 346, cosine, True, none
0.12042  || 0.0583 | 0.0766 | 0.0847 | 0.0905 || 0.0946 | 0.1512 | 0.1822 | 0.2065 || 2021-02-12-23-24-36 || 153, 381, cosine, True, none
0.12011  || 0.0626 | 0.0798 | 0.0877 | 0.0928 || 0.1002 | 0.1534 | 0.1830 | 0.2047 || 2021-02-12-21-33-14 || 259, 21, cosine, True, none
0.11954  || 0.0593 | 0.0776 | 0.0850 | 0.0894 || 0.0952 | 0.1517 | 0.1797 | 0.1983 || 2021-02-12-22-24-02 || 634, 697, cosine, True, none
0.11932  || 0.0628 | 0.0774 | 0.0854 | 0.0910 || 0.0986 | 0.1440 | 0.1742 | 0.1978 || 2021-02-13-01-40-56 || 5, 399, cosine, True, none
0.11903  || 0.0658 | 0.0818 | 0.0904 | 0.0953 || 0.1053 | 0.1549 | 0.1875 | 0.2082 || 2021-02-12-21-08-23 || 534, 5, cosine, True, none
0.11871  || 0.0652 | 0.0812 | 0.0895 | 0.0942 || 0.1047 | 0.1539 | 0.1854 | 0.2055 || 2021-02-12-22-13-56 || 775, 16, cosine, True, none
0.11862  || 0.0604 | 0.0780 | 0.0853 | 0.0898 || 0.0958 | 0.1505 | 0.1779 | 0.1970 || 2021-02-12-23-09-21 || 913, 457, cosine, True, none
0.11818  || 0.0618 | 0.0783 | 0.0867 | 0.0914 || 0.0948 | 0.1461 | 0.1776 | 0.1976 || 2021-02-12-20-45-26 || 443, 1000, cosine, True, none
0.11763  || 0.0640 | 0.0799 | 0.0880 | 0.0930 || 0.0954 | 0.1441 | 0.1749 | 0.1957 || 2021-02-12-21-02-09 || 5, 5, cosine, True, none
0.11763  || 0.0650 | 0.0807 | 0.0889 | 0.0934 || 0.1045 | 0.1527 | 0.1840 | 0.2033 || 2021-02-12-20-55-02 || 1000, 5, cosine, True, none
0.11728  || 0.0584 | 0.0757 | 0.0829 | 0.0872 || 0.0932 | 0.1468 | 0.1741 | 0.1920 || 2021-02-13-02-13-44 || 997, 709, cosine, True, none
0.11726  || 0.0606 | 0.0770 | 0.0853 | 0.0898 || 0.0934 | 0.1444 | 0.1761 | 0.1950 || 2021-02-13-00-21-26 || 649, 997, cosine, True, none
0.11599  || 0.0585 | 0.0762 | 0.0846 | 0.0897 || 0.0906 | 0.1459 | 0.1775 | 0.1994 || 2021-02-12-22-05-38 || 185, 998, cosine, True, none
0.11539  || 0.0606 | 0.0771 | 0.0848 | 0.0890 || 0.0930 | 0.1442 | 0.1731 | 0.1912 || 2021-02-12-21-15-07 || 853, 998, cosine, True, none
0.11424  || 0.0600 | 0.0762 | 0.0839 | 0.0880 || 0.0918 | 0.1421 | 0.1712 | 0.1887 || 2021-02-12-21-53-25 || 997, 998, cosine, True, none
0.09942  || 0.0463 | 0.0587 | 0.0653 | 0.0700 || 0.0720 | 0.1104 | 0.1356 | 0.1553 || 2021-02-13-00-37-12 || 225, 998, cosine, False, none
