Filename:        2021-05-01-19-55-42-097107
Command:         200, 1, 1.0

Val nDCG@10:     0.16453

Test nDCG@5:     0.06726 (0.00076)
Test nDCG@10:    0.09241 (0.00080)
Test nDCG@15:    0.10483 (0.00080)
Test nDCG@20:    0.11244 (0.00081)
Test nDCG@25:    0.11800 (0.00081)
Test nDCG@50:    0.13403 (0.00080)
Test nDCG@75:    0.14362 (0.00079)
Test nDCG@100:   0.15046 (0.00078)

Test Recall@5:   0.11547 (0.00121)
Test Recall@10:  0.19339 (0.00150)
Test Recall@15:  0.24020 (0.00162)
Test Recall@20:  0.27241 (0.00169)
Test Recall@25:  0.29785 (0.00174)
Test Recall@50:  0.38131 (0.00184)
Test Recall@75:  0.43857 (0.00188)
Test Recall@100: 0.48278 (0.00190)

