Reporting the nDCG & Recall for 'RP3beta' on 'Flixster'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.13436  || 0.0467 | 0.0675 | 0.0788 | 0.0874 || 0.0787 | 0.1440 | 0.1868 | 0.2231 || 2021-02-13-06-09-46 || 780, 1.63495, 0.12732, True
0.13292  || 0.0485 | 0.0686 | 0.0800 | 0.0885 || 0.0795 | 0.1431 | 0.1863 | 0.2223 || 2021-02-13-05-03-30 || 916, 2, 0, True
0.13215  || 0.0432 | 0.0627 | 0.0750 | 0.0838 || 0.0755 | 0.1366 | 0.1828 | 0.2201 || 2021-02-13-05-25-00 || 1000, 1.82131, 0.24062, True
0.13108  || 0.0456 | 0.0653 | 0.0773 | 0.0859 || 0.0769 | 0.1387 | 0.1841 | 0.2204 || 2021-02-13-06-24-50 || 881, 2, 0.13501, True
0.13001  || 0.0476 | 0.0657 | 0.0777 | 0.0854 || 0.0816 | 0.1385 | 0.1835 | 0.2163 || 2021-02-13-05-17-21 || 1000, 1.19841, 0.06785, True
0.12962  || 0.0430 | 0.0635 | 0.0772 | 0.0849 || 0.0759 | 0.1398 | 0.1910 | 0.2238 || 2021-02-13-05-40-31 || 668, 1.03706, 0.38155, True
0.12961  || 0.0421 | 0.0611 | 0.0733 | 0.0819 || 0.0736 | 0.1332 | 0.1794 | 0.2160 || 2021-02-13-06-17-06 || 711, 2, 0.27127, True
0.12926  || 0.0426 | 0.0631 | 0.0764 | 0.0838 || 0.0752 | 0.1390 | 0.1893 | 0.2207 || 2021-02-13-05-55-10 || 1000, 1.08773, 0.3496, True
0.12753  || 0.0503 | 0.0728 | 0.0838 | 0.0907 || 0.0868 | 0.1561 | 0.1977 | 0.2269 || 2021-02-13-05-48-16 || 493, 0.39312, 0.53649, True
0.12539  || 0.0523 | 0.0737 | 0.0832 | 0.0892 || 0.0892 | 0.1555 | 0.1913 | 0.2165 || 2021-02-13-04-41-03 || 1000, 0.25686, 0.46564, True
0.11986  || 0.0372 | 0.0552 | 0.0698 | 0.0779 || 0.0670 | 0.1233 | 0.1783 | 0.2129 || 2021-02-13-06-41-49 || 545, 1.39072, 0.55716, True
0.11926  || 0.0619 | 0.0780 | 0.0855 | 0.0905 || 0.1024 | 0.1522 | 0.1807 | 0.2014 || 2021-02-13-04-55-26 || 1000, 0, 0.44762, True
0.11891  || 0.0730 | 0.0905 | 0.0987 | 0.1043 || 0.1115 | 0.1653 | 0.1963 | 0.2199 || 2021-02-13-04-13-46 || 64, 0, 0.58123, True
