Reporting the nDCG & Recall for 'UserKNNCF' on 'Flixster'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.16519  || 0.0647 | 0.0886 | 0.1009 | 0.1090 || 0.1069 | 0.1810 | 0.2278 | 0.2622 || 2021-02-12-18-45-20 || 471, 5, cosine, True, none
0.16519  || 0.0646 | 0.0885 | 0.1009 | 0.1089 || 0.1069 | 0.1809 | 0.2279 | 0.2618 || 2021-02-12-18-18-38 || 462, 5, cosine, True, none
0.16513  || 0.0646 | 0.0886 | 0.1009 | 0.1090 || 0.1069 | 0.1812 | 0.2280 | 0.2620 || 2021-02-12-19-22-09 || 466, 5, cosine, True, none
0.16485  || 0.0657 | 0.0888 | 0.1012 | 0.1091 || 0.1087 | 0.1804 | 0.2275 | 0.2609 || 2021-02-12-18-01-05 || 428, 5, cosine, True, none
0.16466  || 0.0630 | 0.0871 | 0.0999 | 0.1080 || 0.1052 | 0.1807 | 0.2291 | 0.2631 || 2021-02-12-17-32-53 || 601, 5, cosine, True, none
0.16449  || 0.0636 | 0.0879 | 0.1003 | 0.1085 || 0.1055 | 0.1811 | 0.2280 | 0.2626 || 2021-02-12-17-14-59 || 521, 5, cosine, True, none
0.16424  || 0.0633 | 0.0874 | 0.1002 | 0.1081 || 0.1053 | 0.1804 | 0.2285 | 0.2622 || 2021-02-12-17-41-47 || 559, 5, cosine, True, none
0.16409  || 0.0623 | 0.0867 | 0.0996 | 0.1077 || 0.1039 | 0.1804 | 0.2291 | 0.2634 || 2021-02-12-18-27-38 || 657, 5, cosine, True, none
0.16319  || 0.0614 | 0.0860 | 0.0992 | 0.1072 || 0.1024 | 0.1799 | 0.2297 | 0.2636 || 2021-02-12-16-04-14 || 756, 5, cosine, True, none
0.16287  || 0.0611 | 0.0859 | 0.0993 | 0.1071 || 0.1021 | 0.1800 | 0.2304 | 0.2636 || 2021-02-12-17-05-01 || 788, 5, cosine, True, none
0.16282  || 0.0609 | 0.0855 | 0.0991 | 0.1071 || 0.1019 | 0.1791 | 0.2303 | 0.2643 || 2021-02-12-16-21-27 || 840, 5, cosine, True, none
0.16244  || 0.0604 | 0.0853 | 0.0987 | 0.1069 || 0.1009 | 0.1790 | 0.2299 | 0.2647 || 2021-02-12-19-30-40 || 929, 5, cosine, True, none
0.15657  || 0.0568 | 0.0805 | 0.0938 | 0.1018 || 0.0944 | 0.1687 | 0.2189 | 0.2530 || 2021-02-12-15-54-26 || 999, 27, cosine, True, none
0.13014  || 0.0474 | 0.0662 | 0.0761 | 0.0823 || 0.0803 | 0.1388 | 0.1762 | 0.2027 || 2021-02-12-19-40-36 || 627, 92, cosine, True, none
0.12260  || 0.0443 | 0.0622 | 0.0722 | 0.0780 || 0.0756 | 0.1318 | 0.1695 | 0.1941 || 2021-02-12-19-03-37 || 999, 233, cosine, True, none
0.11700  || 0.0415 | 0.0591 | 0.0676 | 0.0729 || 0.0715 | 0.1267 | 0.1589 | 0.1816 || 2021-02-12-16-31-06 || 793, 280, cosine, True, none
0.11593  || 0.0418 | 0.0589 | 0.0680 | 0.0735 || 0.0718 | 0.1255 | 0.1601 | 0.1834 || 2021-02-12-17-51-09 || 1000, 636, cosine, True, none
0.11454  || 0.0414 | 0.0583 | 0.0673 | 0.0727 || 0.0712 | 0.1242 | 0.1585 | 0.1813 || 2021-02-12-15-16-22 || 1000, 1000, cosine, True, none
0.11301  || 0.0408 | 0.0575 | 0.0660 | 0.0714 || 0.0704 | 0.1229 | 0.1552 | 0.1782 || 2021-02-12-15-44-28 || 931, 1000, cosine, True, none
0.10951  || 0.0391 | 0.0558 | 0.0635 | 0.0684 || 0.0669 | 0.1187 | 0.1478 | 0.1687 || 2021-02-12-15-35-32 || 769, 999, cosine, True, none
0.10524  || 0.0396 | 0.0534 | 0.0607 | 0.0653 || 0.0683 | 0.1111 | 0.1392 | 0.1588 || 2021-02-12-19-12-59 || 628, 695, cosine, True, none
0.10389  || 0.0377 | 0.0540 | 0.0612 | 0.0658 || 0.0641 | 0.1157 | 0.1426 | 0.1616 || 2021-02-12-16-56-00 || 998, 583, cosine, False, none
0.10388  || 0.0378 | 0.0541 | 0.0612 | 0.0658 || 0.0644 | 0.1158 | 0.1425 | 0.1616 || 2021-02-12-18-53-56 || 999, 35, cosine, False, none
0.10387  || 0.0376 | 0.0540 | 0.0611 | 0.0657 || 0.0641 | 0.1155 | 0.1424 | 0.1615 || 2021-02-12-15-25-57 || 996, 989, cosine, False, none
0.09788  || 0.0363 | 0.0504 | 0.0568 | 0.0608 || 0.0619 | 0.1056 | 0.1301 | 0.1472 || 2021-02-12-14-59-25 || 791, 10, cosine, False, none
0.09680  || 0.0365 | 0.0476 | 0.0549 | 0.0589 || 0.0624 | 0.0974 | 0.1255 | 0.1423 || 2021-02-12-17-23-45 || 415, 258, cosine, True, none
0.08653  || 0.0328 | 0.0436 | 0.0491 | 0.0525 || 0.0559 | 0.0894 | 0.1114 | 0.1253 || 2021-02-12-14-43-15 || 594, 338, cosine, False, none
0.08590  || 0.0326 | 0.0433 | 0.0488 | 0.0522 || 0.0557 | 0.0888 | 0.1104 | 0.1246 || 2021-02-12-18-09-57 || 589, 1000, cosine, False, none
0.08358  || 0.0320 | 0.0422 | 0.0475 | 0.0508 || 0.0545 | 0.0862 | 0.1072 | 0.1209 || 2021-02-12-14-34-03 || 563, 217, cosine, False, none
0.06695  || 0.0272 | 0.0343 | 0.0381 | 0.0409 || 0.0463 | 0.0688 | 0.0837 | 0.0948 || 2021-02-12-15-08-24 || 373, 478, cosine, False, none
0.05671  || 0.0236 | 0.0295 | 0.0329 | 0.0352 || 0.0400 | 0.0588 | 0.0718 | 0.0808 || 2021-02-12-18-36-44 || 285, 7, cosine, False, none
0.05277  || 0.0232 | 0.0294 | 0.0327 | 0.0350 || 0.0374 | 0.0565 | 0.0696 | 0.0789 || 2021-02-12-16-13-39 || 5, 5, cosine, True, none
0.02635  || 0.0109 | 0.0135 | 0.0152 | 0.0166 || 0.0173 | 0.0256 | 0.0319 | 0.0363 || 2021-02-12-14-51-30 || 100, 366, cosine, False, none
0.01497  || 0.0074 | 0.0088 | 0.0099 | 0.0112 || 0.0117 | 0.0162 | 0.0205 | 0.0243 || 2021-02-12-16-47-30 || 26, 998, cosine, True, none
0.00265  || 0.0020 | 0.0024 | 0.0032 | 0.0045 || 0.0032 | 0.0047 | 0.0073 | 0.0105 || 2021-02-12-16-40-06 || 5, 1000, cosine, False, none
