Reporting the nDCG & Recall for 'WMF' on 'Flixster'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.15554  || 0.0711 | 0.0912 | 0.1028 | 0.1103 || 0.1173 | 0.1800 | 0.2235 | 0.2552 || 2021-02-13-12-03-42 || 10, 200, 0.01, 15
0.15512  || 0.0710 | 0.0924 | 0.1037 | 0.1103 || 0.1176 | 0.1840 | 0.2269 | 0.2549 || 2021-02-13-10-07-24 || 11, 189, 0.01, 15
0.15366  || 0.0708 | 0.0913 | 0.1026 | 0.1091 || 0.1189 | 0.1828 | 0.2254 | 0.2528 || 2021-02-13-09-48-18 || 13, 199, 0.01, 15
0.15335  || 0.0697 | 0.0913 | 0.1022 | 0.1092 || 0.1155 | 0.1824 | 0.2237 | 0.2534 || 2021-02-13-09-27-48 || 12, 171, 0.01, 15
0.15299  || 0.0700 | 0.0915 | 0.1022 | 0.1090 || 0.1161 | 0.1829 | 0.2231 | 0.2521 || 2021-02-13-09-58-46 || 15, 185, 0.01, 15
0.15268  || 0.0700 | 0.0914 | 0.1032 | 0.1101 || 0.1157 | 0.1825 | 0.2272 | 0.2560 || 2021-02-13-10-50-10 || 9, 182, 0.01, 15
0.15225  || 0.0690 | 0.0902 | 0.1026 | 0.1101 || 0.1132 | 0.1789 | 0.2252 | 0.2573 || 2021-02-13-12-30-21 || 9, 127, 0.01, 15
0.15180  || 0.0695 | 0.0896 | 0.1013 | 0.1080 || 0.1171 | 0.1795 | 0.2240 | 0.2523 || 2021-02-13-08-36-18 || 20, 200, 0.01, 15
0.14974  || 0.0681 | 0.0880 | 0.0997 | 0.1064 || 0.1152 | 0.1773 | 0.2216 | 0.2496 || 2021-02-13-11-41-22 || 27, 200, 0.01, 15
0.14942  || 0.0685 | 0.0894 | 0.1015 | 0.1088 || 0.1132 | 0.1779 | 0.2237 | 0.2543 || 2021-02-13-07-40-16 || 3, 146, 0.01, 15
0.14872  || 0.0671 | 0.0892 | 0.1007 | 0.1077 || 0.1109 | 0.1796 | 0.2227 | 0.2526 || 2021-02-13-11-31-36 || 16, 138, 0.01, 15
0.14849  || 0.0682 | 0.0891 | 0.1009 | 0.1075 || 0.1154 | 0.1804 | 0.2250 | 0.2531 || 2021-02-13-07-08-19 || 25, 159, 0.01, 15
