Reporting the nDCG & Recall for 'ItemKNNCF' on 'Last.fm 360K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.10324  || 0.0856 | 0.1033 | 0.1139 | 0.1215 || 0.1239 | 0.1788 | 0.2189 | 0.2510 || 2021-02-15-07-19-57 || 187, 5, cosine, True, none
0.10322  || 0.0857 | 0.1034 | 0.1139 | 0.1215 || 0.1240 | 0.1788 | 0.2188 | 0.2508 || 2021-02-15-10-57-18 || 169, 5, cosine, True, none
0.10317  || 0.0857 | 0.1033 | 0.1139 | 0.1214 || 0.1240 | 0.1786 | 0.2188 | 0.2506 || 2021-02-14-14-12-50 || 151, 7, cosine, True, none
0.10293  || 0.0854 | 0.1031 | 0.1136 | 0.1213 || 0.1237 | 0.1790 | 0.2186 | 0.2512 || 2021-02-14-02-02-32 || 278, 6, cosine, True, none
0.10276  || 0.0852 | 0.1029 | 0.1135 | 0.1211 || 0.1235 | 0.1786 | 0.2186 | 0.2507 || 2021-02-15-03-55-57 || 320, 5, cosine, True, none
0.10255  || 0.0851 | 0.1028 | 0.1134 | 0.1210 || 0.1233 | 0.1783 | 0.2183 | 0.2506 || 2021-02-14-10-30-52 || 368, 5, cosine, True, none
0.10190  || 0.0843 | 0.1019 | 0.1126 | 0.1202 || 0.1226 | 0.1774 | 0.2176 | 0.2499 || 2021-02-13-22-28-57 || 554, 5, cosine, True, none
0.10164  || 0.0840 | 0.1017 | 0.1122 | 0.1198 || 0.1222 | 0.1772 | 0.2172 | 0.2494 || 2021-02-13-20-33-21 || 641, 5, cosine, True, none
0.10154  || 0.0839 | 0.1016 | 0.1121 | 0.1198 || 0.1220 | 0.1770 | 0.2170 | 0.2492 || 2021-02-13-16-35-29 || 686, 6, cosine, True, none
0.10119  || 0.0837 | 0.1014 | 0.1120 | 0.1196 || 0.1220 | 0.1767 | 0.2169 | 0.2489 || 2021-02-13-18-33-54 || 779, 5, cosine, True, none
0.10084  || 0.0835 | 0.1010 | 0.1116 | 0.1193 || 0.1215 | 0.1760 | 0.2162 | 0.2486 || 2021-02-14-17-39-01 || 901, 10, cosine, True, none
0.09818  || 0.0817 | 0.0987 | 0.1088 | 0.1161 || 0.1185 | 0.1713 | 0.2096 | 0.2405 || 2021-02-15-02-17-06 || 216, 372, cosine, True, none
0.09799  || 0.0814 | 0.0984 | 0.1084 | 0.1156 || 0.1178 | 0.1705 | 0.2086 | 0.2391 || 2021-02-15-00-43-51 || 107, 499, cosine, True, none
0.09602  || 0.0796 | 0.0964 | 0.1065 | 0.1137 || 0.1159 | 0.1680 | 0.2064 | 0.2368 || 2021-02-14-22-53-03 || 461, 407, cosine, True, none
0.09390  || 0.0776 | 0.0943 | 0.1043 | 0.1114 || 0.1133 | 0.1651 | 0.2030 | 0.2331 || 2021-02-13-10-16-52 || 1000, 411, cosine, True, none
0.09361  || 0.0775 | 0.0939 | 0.1038 | 0.1108 || 0.1128 | 0.1637 | 0.2011 | 0.2308 || 2021-02-14-00-17-36 || 183, 999, cosine, True, none
0.09140  || 0.0756 | 0.0919 | 0.1017 | 0.1086 || 0.1101 | 0.1608 | 0.1978 | 0.2271 || 2021-02-14-05-43-54 || 362, 998, cosine, True, none
0.08973  || 0.0739 | 0.0901 | 0.0998 | 0.1067 || 0.1080 | 0.1583 | 0.1950 | 0.2242 || 2021-02-13-12-23-33 || 598, 987, cosine, True, none
0.08920  || 0.0735 | 0.0895 | 0.0993 | 0.1061 || 0.1076 | 0.1574 | 0.1943 | 0.2233 || 2021-02-15-12-34-59 || 705, 983, cosine, True, none
0.08868  || 0.0730 | 0.0890 | 0.0986 | 0.1055 || 0.1069 | 0.1566 | 0.1931 | 0.2224 || 2021-02-14-12-13-23 || 821, 998, cosine, True, none
0.08835  || 0.0727 | 0.0886 | 0.0983 | 0.1051 || 0.1065 | 0.1562 | 0.1925 | 0.2217 || 2021-02-14-15-39-47 || 1000, 969, cosine, True, none
0.08808  || 0.0725 | 0.0884 | 0.0980 | 0.1048 || 0.1062 | 0.1557 | 0.1920 | 0.2210 || 2021-02-13-14-27-52 || 1000, 1000, cosine, True, none
0.08148  || 0.0657 | 0.0814 | 0.0911 | 0.0979 || 0.0980 | 0.1469 | 0.1833 | 0.2122 || 2021-02-13-08-50-13 || 5, 61, cosine, True, none
0.08038  || 0.0651 | 0.0804 | 0.0897 | 0.0965 || 0.0962 | 0.1436 | 0.1791 | 0.2078 || 2021-02-14-07-36-43 || 8, 991, cosine, True, none
0.05393  || 0.0426 | 0.0542 | 0.0614 | 0.0668 || 0.0645 | 0.1005 | 0.1280 | 0.1508 || 2021-02-14-09-00-46 || 17, 997, cosine, False, none
0.05184  || 0.0406 | 0.0520 | 0.0592 | 0.0644 || 0.0621 | 0.0978 | 0.1249 | 0.1469 || 2021-02-13-02-35-26 || 100, 366, cosine, False, none
0.04802  || 0.0370 | 0.0481 | 0.0550 | 0.0600 || 0.0571 | 0.0916 | 0.1179 | 0.1390 || 2021-02-15-05-32-03 || 244, 997, cosine, False, none
0.04629  || 0.0354 | 0.0463 | 0.0532 | 0.0582 || 0.0549 | 0.0889 | 0.1147 | 0.1359 || 2021-02-13-06-46-50 || 373, 478, cosine, False, none
0.04565  || 0.0350 | 0.0454 | 0.0522 | 0.0574 || 0.0538 | 0.0862 | 0.1121 | 0.1339 || 2021-02-14-19-32-18 || 5, 65, cosine, False, none
0.04492  || 0.0342 | 0.0448 | 0.0516 | 0.0565 || 0.0532 | 0.0864 | 0.1120 | 0.1326 || 2021-02-12-22-11-05 || 563, 217, cosine, False, none
0.04478  || 0.0340 | 0.0447 | 0.0515 | 0.0563 || 0.0530 | 0.0862 | 0.1118 | 0.1323 || 2021-02-13-00-21-33 || 594, 338, cosine, False, none
0.04410  || 0.0334 | 0.0440 | 0.0507 | 0.0556 || 0.0521 | 0.0850 | 0.1104 | 0.1308 || 2021-02-13-04-32-02 || 791, 10, cosine, False, none
0.04401  || 0.0334 | 0.0440 | 0.0506 | 0.0554 || 0.0519 | 0.0849 | 0.1102 | 0.1305 || 2021-02-15-08-46-40 || 822, 998, cosine, False, none
0.04363  || 0.0330 | 0.0436 | 0.0502 | 0.0550 || 0.0514 | 0.0843 | 0.1094 | 0.1297 || 2021-02-14-20-54-58 || 997, 20, cosine, False, none
0.04363  || 0.0330 | 0.0436 | 0.0502 | 0.0550 || 0.0514 | 0.0843 | 0.1094 | 0.1296 || 2021-02-14-03-41-22 || 999, 967, cosine, False, none
