Filename:        2021-05-03-12-48-36-849579
Command:         200, 1, 1.0

Val nDCG@10:     0.10852

Test nDCG@5:     0.08759 (0.00041)
Test nDCG@10:    0.10841 (0.00041)
Test nDCG@15:    0.12057 (0.00042)
Test nDCG@20:    0.12925 (0.00042)
Test nDCG@25:    0.13594 (0.00041)
Test nDCG@50:    0.15646 (0.00041)
Test nDCG@75:    0.16782 (0.00040)
Test nDCG@100:   0.17554 (0.00040)

Test Recall@5:   0.13055 (0.00056)
Test Recall@10:  0.19521 (0.00066)
Test Recall@15:  0.24123 (0.00071)
Test Recall@20:  0.27801 (0.00075)
Test Recall@25:  0.30861 (0.00077)
Test Recall@50:  0.41538 (0.00082)
Test Recall@75:  0.48319 (0.00083)
Test Recall@100: 0.53303 (0.00083)

