Reporting the nDCG & Recall for 'RP3beta' on 'Last.fm 360K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.10904  || 0.0907 | 0.1092 | 0.1202 | 0.1282 || 0.1308 | 0.1886 | 0.2301 | 0.2641 || 2021-02-15-18-57-02 || 501, 0, 0.45944, True
0.10898  || 0.0903 | 0.1090 | 0.1201 | 0.1281 || 0.1303 | 0.1883 | 0.2305 | 0.2644 || 2021-02-15-11-49-20 || 481, 0, 0.41951, True
0.10889  || 0.0905 | 0.1091 | 0.1200 | 0.1279 || 0.1308 | 0.1883 | 0.2297 | 0.2631 || 2021-02-15-17-47-55 || 486, 0, 0.49873, True
0.10840  || 0.0898 | 0.1085 | 0.1195 | 0.1275 || 0.1299 | 0.1879 | 0.2295 | 0.2631 || 2021-02-15-10-40-11 || 584, 0, 0.42798, True
0.10758  || 0.0887 | 0.1076 | 0.1187 | 0.1269 || 0.1290 | 0.1876 | 0.2298 | 0.2643 || 2021-02-15-21-11-42 || 338, 0, 0.26403, True
0.10728  || 0.0884 | 0.1073 | 0.1184 | 0.1266 || 0.1285 | 0.1871 | 0.2293 | 0.2639 || 2021-02-16-02-47-55 || 375, 1.07725, 0.27308, True
0.10707  || 0.0886 | 0.1072 | 0.1181 | 0.1261 || 0.1284 | 0.1863 | 0.2277 | 0.2616 || 2021-02-15-08-23-41 || 757, 0, 0.40038, True
0.10666  || 0.0881 | 0.1066 | 0.1178 | 0.1258 || 0.1279 | 0.1857 | 0.2278 | 0.2619 || 2021-02-15-09-31-38 || 594, 0, 0.33514, True
0.10643  || 0.0880 | 0.1066 | 0.1177 | 0.1257 || 0.1277 | 0.1856 | 0.2278 | 0.2615 || 2021-02-15-23-26-01 || 667, 1.36111, 0.36885, True
0.10629  || 0.0878 | 0.1064 | 0.1176 | 0.1255 || 0.1277 | 0.1856 | 0.2278 | 0.2613 || 2021-02-15-15-30-58 || 477, 2, 0.4186, True
0.10623  || 0.0878 | 0.1063 | 0.1173 | 0.1253 || 0.1276 | 0.1851 | 0.2266 | 0.2604 || 2021-02-15-04-59-00 || 975, 0.2234, 0.39205, True
0.10375  || 0.0850 | 0.1038 | 0.1149 | 0.1230 || 0.1245 | 0.1828 | 0.2251 | 0.2593 || 2021-02-16-00-35-08 || 592, 2, 0.23355, True
0.10374  || 0.0854 | 0.1039 | 0.1149 | 0.1229 || 0.1251 | 0.1826 | 0.2243 | 0.2580 || 2021-02-15-00-20-15 || 1000, 2, 0.36823, True
0.10229  || 0.0836 | 0.1022 | 0.1134 | 0.1214 || 0.1229 | 0.1807 | 0.2228 | 0.2569 || 2021-02-15-01-29-24 || 1000, 2, 0.25073, True
0.10215  || 0.0835 | 0.1020 | 0.1132 | 0.1213 || 0.1226 | 0.1802 | 0.2227 | 0.2571 || 2021-02-14-21-58-13 || 913, 0.33267, 0.19792, True
0.10090  || 0.0823 | 0.1008 | 0.1119 | 0.1198 || 0.1214 | 0.1792 | 0.2211 | 0.2546 || 2021-02-15-16-39-50 || 474, 0.12118, 0.00954, True
0.09819  || 0.0798 | 0.0983 | 0.1093 | 0.1174 || 0.1179 | 0.1754 | 0.2170 | 0.2514 || 2021-02-14-23-13-19 || 1000, 0, 0, True
0.09225  || 0.0756 | 0.0924 | 0.1023 | 0.1095 || 0.1109 | 0.1631 | 0.2005 | 0.2311 || 2021-02-15-07-12-26 || 998, 0.37678, 0.4654, False
0.08652  || 0.0710 | 0.0872 | 0.0967 | 0.1038 || 0.1046 | 0.1549 | 0.1910 | 0.2210 || 2021-02-15-14-15-06 || 1000, 0, 0.7533, False
0.08507  || 0.0678 | 0.0849 | 0.0954 | 0.1030 || 0.1016 | 0.1547 | 0.1947 | 0.2266 || 2021-02-15-02-37-17 || 989, 0.26158, 0.69549, True
0.07504  || 0.0631 | 0.0746 | 0.0821 | 0.0879 || 0.0900 | 0.1257 | 0.1541 | 0.1785 || 2021-02-14-18-49-18 || 5, 1.11172, 0.39457, True
0.07273  || 0.0634 | 0.0725 | 0.0766 | 0.0788 || 0.0891 | 0.1173 | 0.1328 | 0.1421 || 2021-02-14-19-51-32 || 21, 1.29394, 0, True
0.05622  || 0.0438 | 0.0566 | 0.0652 | 0.0718 || 0.0659 | 0.1056 | 0.1385 | 0.1663 || 2021-02-15-20-06-05 || 5, 0, 0.46651, False
0.05210  || 0.0402 | 0.0523 | 0.0599 | 0.0653 || 0.0623 | 0.1000 | 0.1285 | 0.1516 || 2021-02-15-03-50-34 || 999, 0.30304, 0.02933, False
0.04841  || 0.0383 | 0.0486 | 0.0552 | 0.0598 || 0.0580 | 0.0903 | 0.1149 | 0.1346 || 2021-02-14-17-46-06 || 10, 0.92715, 0.76214, True
0.03193  || 0.0309 | 0.0323 | 0.0328 | 0.0327 || 0.0393 | 0.0430 | 0.0449 | 0.0453 || 2021-02-16-01-43-48 || 5, 0, 0, True
0.02215  || 0.0186 | 0.0226 | 0.0249 | 0.0266 || 0.0271 | 0.0394 | 0.0482 | 0.0552 || 2021-02-14-15-30-23 || 311, 1.60474, 0.1903, False
0.01446  || 0.0106 | 0.0144 | 0.0167 | 0.0181 || 0.0170 | 0.0289 | 0.0377 | 0.0434 || 2021-02-15-22-19-34 || 5, 2, 0.77737, True
0.01045  || 0.0078 | 0.0106 | 0.0125 | 0.0138 || 0.0123 | 0.0209 | 0.0280 | 0.0338 || 2021-02-16-03-56-19 || 1000, 2, 0.48463, False
0.00937  || 0.0069 | 0.0095 | 0.0112 | 0.0126 || 0.0110 | 0.0191 | 0.0255 | 0.0315 || 2021-02-14-14-25-22 || 239, 1.18423, 0.67005, False
0.00357  || 0.0026 | 0.0036 | 0.0044 | 0.0050 || 0.0041 | 0.0070 | 0.0101 | 0.0129 || 2021-02-14-13-16-09 || 563, 0.42518, 1.08616, False
0.00187  || 0.0015 | 0.0019 | 0.0021 | 0.0024 || 0.0022 | 0.0034 | 0.0044 | 0.0053 || 2021-02-14-16-34-58 || 742, 0.3199, 1.7253, True
0.00143  || 0.0013 | 0.0014 | 0.0015 | 0.0016 || 0.0018 | 0.0024 | 0.0028 | 0.0032 || 2021-02-15-06-08-05 || 12, 0.65643, 1.98217, True
0.00126  || 0.0009 | 0.0012 | 0.0014 | 0.0016 || 0.0015 | 0.0024 | 0.0032 | 0.0041 || 2021-02-14-20-52-53 || 209, 1.9091, 2, False
0.00097  || 0.0008 | 0.0010 | 0.0011 | 0.0012 || 0.0011 | 0.0017 | 0.0021 | 0.0025 || 2021-02-15-12-58-13 || 1000, 0, 2, False
