Reporting the nDCG & Recall for 'UserKNNCF' on 'Last.fm 360K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.11173  || 0.0936 | 0.1120 | 0.1226 | 0.1303 || 0.1344 | 0.1914 | 0.2316 | 0.2640 || 2021-02-17-01-37-05 || 363, 5, cosine, True, none
0.11173  || 0.0937 | 0.1120 | 0.1227 | 0.1304 || 0.1344 | 0.1914 | 0.2319 | 0.2644 || 2021-02-16-01-50-06 || 400, 9, cosine, True, none
0.11149  || 0.0937 | 0.1118 | 0.1223 | 0.1299 || 0.1342 | 0.1905 | 0.2304 | 0.2625 || 2021-02-14-22-32-03 || 311, 5, cosine, True, none
0.11135  || 0.0933 | 0.1117 | 0.1224 | 0.1301 || 0.1338 | 0.1911 | 0.2317 | 0.2640 || 2021-02-15-18-34-11 || 509, 35, cosine, True, none
0.11134  || 0.0932 | 0.1116 | 0.1224 | 0.1301 || 0.1339 | 0.1911 | 0.2319 | 0.2649 || 2021-02-15-15-13-38 || 644, 12, cosine, True, none
0.11097  || 0.0931 | 0.1114 | 0.1221 | 0.1296 || 0.1337 | 0.1904 | 0.2311 | 0.2629 || 2021-02-14-07-22-31 || 459, 1000, cosine, True, none
0.11086  || 0.0929 | 0.1113 | 0.1220 | 0.1297 || 0.1333 | 0.1904 | 0.2309 | 0.2636 || 2021-02-16-18-42-14 || 560, 1000, cosine, True, none
0.11066  || 0.0926 | 0.1110 | 0.1218 | 0.1295 || 0.1330 | 0.1901 | 0.2308 | 0.2636 || 2021-02-15-02-20-45 || 655, 1000, cosine, True, none
0.11062  || 0.0929 | 0.1109 | 0.1215 | 0.1290 || 0.1329 | 0.1890 | 0.2290 | 0.2610 || 2021-02-16-10-46-43 || 336, 1000, cosine, True, none
0.11041  || 0.0922 | 0.1107 | 0.1213 | 0.1291 || 0.1326 | 0.1900 | 0.2304 | 0.2632 || 2021-02-14-04-43-40 || 738, 762, cosine, True, none
0.11003  || 0.0918 | 0.1102 | 0.1209 | 0.1287 || 0.1321 | 0.1892 | 0.2296 | 0.2627 || 2021-02-14-12-17-12 || 845, 994, cosine, True, none
0.10991  || 0.0920 | 0.1101 | 0.1206 | 0.1283 || 0.1321 | 0.1885 | 0.2283 | 0.2608 || 2021-02-12-22-08-05 || 563, 217, cosine, False, none
0.10986  || 0.0920 | 0.1101 | 0.1207 | 0.1284 || 0.1321 | 0.1885 | 0.2286 | 0.2609 || 2021-02-13-00-41-18 || 594, 338, cosine, False, none
0.10985  || 0.0920 | 0.1100 | 0.1206 | 0.1283 || 0.1320 | 0.1882 | 0.2280 | 0.2606 || 2021-02-15-08-42-20 || 518, 988, cosine, False, none
0.10981  || 0.0915 | 0.1098 | 0.1206 | 0.1285 || 0.1320 | 0.1890 | 0.2296 | 0.2630 || 2021-02-15-22-16-35 || 947, 30, cosine, True, none
0.10977  || 0.0916 | 0.1098 | 0.1206 | 0.1284 || 0.1319 | 0.1888 | 0.2295 | 0.2626 || 2021-02-16-14-38-53 || 905, 981, cosine, True, none
0.10977  || 0.0916 | 0.1098 | 0.1205 | 0.1281 || 0.1316 | 0.1884 | 0.2289 | 0.2610 || 2021-02-13-21-06-42 || 703, 245, cosine, False, none
0.10974  || 0.0920 | 0.1099 | 0.1205 | 0.1281 || 0.1320 | 0.1878 | 0.2279 | 0.2602 || 2021-02-14-17-59-38 || 452, 21, cosine, False, none
0.10974  || 0.0914 | 0.1098 | 0.1205 | 0.1284 || 0.1319 | 0.1889 | 0.2297 | 0.2632 || 2021-02-13-23-27-18 || 1000, 5, cosine, True, none
0.10962  || 0.0915 | 0.1098 | 0.1204 | 0.1281 || 0.1315 | 0.1882 | 0.2286 | 0.2613 || 2021-02-16-07-30-54 || 780, 995, cosine, False, none
0.10953  || 0.0915 | 0.1096 | 0.1204 | 0.1281 || 0.1316 | 0.1880 | 0.2287 | 0.2615 || 2021-02-13-05-41-50 || 791, 10, cosine, False, none
0.10940  || 0.0911 | 0.1094 | 0.1201 | 0.1280 || 0.1314 | 0.1882 | 0.2289 | 0.2619 || 2021-02-13-18-24-45 || 1000, 501, cosine, True, none
0.10940  || 0.0911 | 0.1094 | 0.1201 | 0.1280 || 0.1314 | 0.1882 | 0.2289 | 0.2620 || 2021-02-13-10-48-32 || 1000, 969, cosine, True, none
0.10932  || 0.0917 | 0.1096 | 0.1200 | 0.1276 || 0.1314 | 0.1872 | 0.2267 | 0.2586 || 2021-02-13-08-18-44 || 373, 478, cosine, False, none
0.10913  || 0.0910 | 0.1093 | 0.1199 | 0.1277 || 0.1310 | 0.1878 | 0.2281 | 0.2612 || 2021-02-14-02-11-42 || 901, 5, cosine, False, none
0.10909  || 0.0909 | 0.1091 | 0.1198 | 0.1275 || 0.1309 | 0.1876 | 0.2278 | 0.2606 || 2021-02-15-06-08-37 || 947, 1000, cosine, False, none
0.10887  || 0.0914 | 0.1089 | 0.1192 | 0.1265 || 0.1307 | 0.1850 | 0.2240 | 0.2549 || 2021-02-13-15-55-46 || 176, 5, cosine, True, none
0.10874  || 0.0916 | 0.1093 | 0.1196 | 0.1270 || 0.1308 | 0.1858 | 0.2248 | 0.2563 || 2021-02-16-04-41-44 || 229, 987, cosine, True, none
