Reporting the nDCG & Recall for 'WMF' on 'Last.fm 360K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.10126  || 0.0826 | 0.1011 | 0.1120 | 0.1197 || 0.1214 | 0.1787 | 0.2200 | 0.2525 || 2021-02-14-04-39-10 || 17, 193, 0.01, 15
0.10120  || 0.0829 | 0.1012 | 0.1120 | 0.1198 || 0.1218 | 0.1785 | 0.2194 | 0.2525 || 2021-02-14-03-22-26 || 17, 200, 0.01, 15
0.10120  || 0.0829 | 0.1012 | 0.1120 | 0.1198 || 0.1218 | 0.1785 | 0.2194 | 0.2525 || 2021-02-14-02-04-43 || 17, 200, 0.01, 15
0.10107  || 0.0830 | 0.1012 | 0.1120 | 0.1197 || 0.1216 | 0.1783 | 0.2190 | 0.2515 || 2021-02-13-11-59-06 || 15, 200, 0.01, 15
0.10094  || 0.0824 | 0.1010 | 0.1118 | 0.1195 || 0.1212 | 0.1788 | 0.2196 | 0.2525 || 2021-02-13-18-13-31 || 18, 189, 0.01, 15
0.10059  || 0.0822 | 0.1005 | 0.1115 | 0.1193 || 0.1215 | 0.1783 | 0.2198 | 0.2529 || 2021-02-13-16-37-33 || 22, 200, 0.01, 15
0.10054  || 0.0825 | 0.1007 | 0.1115 | 0.1194 || 0.1210 | 0.1776 | 0.2186 | 0.2517 || 2021-02-14-10-40-59 || 15, 158, 0.01, 15
0.09915  || 0.0818 | 0.0995 | 0.1103 | 0.1179 || 0.1197 | 0.1749 | 0.2154 | 0.2476 || 2021-02-15-01-31-42 || 10, 123, 0.01, 15
0.09907  || 0.0816 | 0.0991 | 0.1096 | 0.1172 || 0.1189 | 0.1732 | 0.2132 | 0.2451 || 2021-02-14-21-39-58 || 8, 168, 0.01, 15
0.09895  || 0.0809 | 0.0992 | 0.1102 | 0.1179 || 0.1193 | 0.1760 | 0.2176 | 0.2504 || 2021-02-13-19-46-09 || 15, 101, 0.01, 15
0.09885  || 0.0803 | 0.0988 | 0.1099 | 0.1178 || 0.1192 | 0.1767 | 0.2186 | 0.2520 || 2021-02-12-23-57-33 || 25, 159, 0.01, 15
0.09882  || 0.0808 | 0.0994 | 0.1104 | 0.1183 || 0.1191 | 0.1769 | 0.2182 | 0.2517 || 2021-02-14-14-49-27 || 19, 123, 0.01, 15
0.09858  || 0.0798 | 0.0983 | 0.1094 | 0.1173 || 0.1188 | 0.1764 | 0.2183 | 0.2519 || 2021-02-14-00-50-19 || 28, 174, 0.01, 15
0.09779  || 0.0786 | 0.0973 | 0.1084 | 0.1163 || 0.1172 | 0.1752 | 0.2174 | 0.2507 || 2021-02-13-01-49-38 || 32, 180, 0.01, 15
0.09726  || 0.0782 | 0.0967 | 0.1077 | 0.1157 || 0.1169 | 0.1746 | 0.2164 | 0.2500 || 2021-02-15-03-34-35 || 38, 198, 0.01, 15
0.09713  || 0.0788 | 0.0973 | 0.1084 | 0.1164 || 0.1172 | 0.1745 | 0.2167 | 0.2505 || 2021-02-14-08-19-55 || 26, 100, 0.01, 15
0.09531  || 0.0770 | 0.0956 | 0.1068 | 0.1147 || 0.1157 | 0.1735 | 0.2157 | 0.2494 || 2021-02-14-07-02-08 || 44, 200, 0.01, 15
0.09483  || 0.0761 | 0.0948 | 0.1060 | 0.1140 || 0.1145 | 0.1726 | 0.2149 | 0.2488 || 2021-02-13-23-41-17 || 36, 122, 0.01, 15
0.09303  || 0.0741 | 0.0928 | 0.1039 | 0.1120 || 0.1121 | 0.1701 | 0.2121 | 0.2467 || 2021-02-14-13-19-37 || 47, 156, 0.01, 15
0.09224  || 0.0741 | 0.0927 | 0.1038 | 0.1118 || 0.1119 | 0.1697 | 0.2118 | 0.2458 || 2021-02-13-13-40-11 || 57, 200, 0.01, 15
0.09206  || 0.0735 | 0.0925 | 0.1039 | 0.1121 || 0.1113 | 0.1704 | 0.2135 | 0.2481 || 2021-02-13-09-59-35 || 44, 101, 0.01, 15
0.08988  || 0.0717 | 0.0902 | 0.1014 | 0.1094 || 0.1089 | 0.1664 | 0.2086 | 0.2424 || 2021-02-13-22-24-20 || 68, 200, 0.01, 15
0.08878  || 0.0699 | 0.0887 | 0.1000 | 0.1082 || 0.1069 | 0.1652 | 0.2081 | 0.2432 || 2021-02-12-22-11-15 || 57, 121, 0.01, 15
0.08851  || 0.0727 | 0.0887 | 0.0981 | 0.1050 || 0.1059 | 0.1557 | 0.1912 | 0.2204 || 2021-02-13-05-49-34 || 3, 146, 0.01, 15
0.08828  || 0.0691 | 0.0876 | 0.0989 | 0.1070 || 0.1056 | 0.1631 | 0.2059 | 0.2402 || 2021-02-14-19-56-50 || 65, 153, 0.01, 15
0.08770  || 0.0699 | 0.0882 | 0.0993 | 0.1073 || 0.1064 | 0.1634 | 0.2056 | 0.2394 || 2021-02-14-16-27-19 || 78, 200, 0.01, 15
0.08666  || 0.0678 | 0.0864 | 0.0980 | 0.1063 || 0.1042 | 0.1622 | 0.2060 | 0.2412 || 2021-02-14-18-13-32 || 65, 100, 0.01, 15
0.08579  || 0.0679 | 0.0861 | 0.0973 | 0.1052 || 0.1039 | 0.1604 | 0.2027 | 0.2364 || 2021-02-13-21-00-48 || 88, 200, 0.01, 15
0.08404  || 0.0656 | 0.0839 | 0.0953 | 0.1037 || 0.1014 | 0.1581 | 0.2014 | 0.2371 || 2021-02-13-04-06-45 || 75, 116, 0.01, 15
0.08365  || 0.0658 | 0.0838 | 0.0949 | 0.1029 || 0.1010 | 0.1570 | 0.1991 | 0.2330 || 2021-02-13-07-55-45 || 100, 200, 0.01, 15
0.08182  || 0.0635 | 0.0816 | 0.0927 | 0.1009 || 0.0982 | 0.1546 | 0.1969 | 0.2314 || 2021-02-14-23-29-20 || 94, 152, 0.01, 15
0.08147  || 0.0667 | 0.0816 | 0.0906 | 0.0972 || 0.0978 | 0.1441 | 0.1782 | 0.2059 || 2021-02-14-05-55-28 || 2, 101, 0.01, 15
0.08103  || 0.0630 | 0.0815 | 0.0931 | 0.1015 || 0.0976 | 0.1553 | 0.1992 | 0.2347 || 2021-02-14-09-28-25 || 87, 101, 0.01, 15
0.08030  || 0.0657 | 0.0802 | 0.0889 | 0.0952 || 0.0961 | 0.1412 | 0.1739 | 0.2009 || 2021-02-14-11-58-42 || 2, 198, 0.01, 15
0.07897  || 0.0604 | 0.0788 | 0.0902 | 0.0986 || 0.0942 | 0.1515 | 0.1947 | 0.2303 || 2021-02-13-15-13-42 || 99, 100, 0.01, 15
