Reporting the nDCG & Recall for 'ItemKNNCF' on 'ML-100K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.06747  || 0.0505 | 0.0647 | 0.0726 | 0.0803 || 0.0785 | 0.1220 | 0.1516 | 0.1845 || 2022-02-14-16-34-23 || 227, 5, cosine, True, none
0.06629  || 0.0504 | 0.0662 | 0.0737 | 0.0802 || 0.0785 | 0.1283 | 0.1570 | 0.1845 || 2022-02-14-16-34-45 || 241, 5, cosine, True, none
0.06458  || 0.0488 | 0.0627 | 0.0700 | 0.0760 || 0.0742 | 0.1177 | 0.1453 | 0.1707 || 2022-02-14-16-34-46 || 483, 12, cosine, True, none
0.06445  || 0.0522 | 0.0675 | 0.0758 | 0.0843 || 0.0774 | 0.1251 | 0.1570 | 0.1930 || 2022-02-14-16-34-08 || 152, 7, cosine, True, none
0.06367  || 0.0512 | 0.0640 | 0.0736 | 0.0793 || 0.0795 | 0.1188 | 0.1548 | 0.1792 || 2022-02-14-16-34-10 || 317, 5, cosine, True, none
0.06349  || 0.0512 | 0.0636 | 0.0717 | 0.0777 || 0.0795 | 0.1177 | 0.1485 | 0.1739 || 2022-02-14-16-34-42 || 228, 73, cosine, True, none
0.06302  || 0.0476 | 0.0586 | 0.0688 | 0.0745 || 0.0732 | 0.1071 | 0.1453 | 0.1697 || 2022-02-14-16-34-32 || 872, 12, cosine, True, none
0.06242  || 0.0469 | 0.0610 | 0.0699 | 0.0762 || 0.0679 | 0.1114 | 0.1453 | 0.1718 || 2022-02-14-16-34-25 || 688, 6, cosine, True, none
0.06128  || 0.0460 | 0.0585 | 0.0689 | 0.0741 || 0.0689 | 0.1071 | 0.1463 | 0.1686 || 2022-02-14-16-34-40 || 988, 15, cosine, True, none
0.05987  || 0.0456 | 0.0600 | 0.0679 | 0.0736 || 0.0668 | 0.1114 | 0.1410 | 0.1654 || 2022-02-14-16-34-48 || 416, 96, cosine, True, none
0.05911  || 0.0430 | 0.0585 | 0.0671 | 0.0749 || 0.0626 | 0.1103 | 0.1432 | 0.1760 || 2022-02-14-16-33-58 || 100, 366, cosine, False, none
0.05882  || 0.0474 | 0.0596 | 0.0683 | 0.0752 || 0.0732 | 0.1114 | 0.1442 | 0.1739 || 2022-02-14-16-34-44 || 19, 660, cosine, True, none
0.05844  || 0.0510 | 0.0674 | 0.0788 | 0.0859 || 0.0795 | 0.1315 | 0.1750 | 0.2047 || 2022-02-14-16-34-04 || 19, 10, cosine, True, none
