Filename:        2022-02-14-16-43-34-206679
Command:         200, 1, 1.0

Val nDCG@10:     0.08060

Test nDCG@5:     0.04877 (0.00584)
Test nDCG@10:    0.06486 (0.00613)
Test nDCG@15:    0.07784 (0.00627)
Test nDCG@20:    0.08630 (0.00632)
Test nDCG@25:    0.09421 (0.00634)
Test nDCG@50:    0.11664 (0.00631)
Test nDCG@75:    0.13264 (0.00619)
Test nDCG@100:   0.14300 (0.00609)

Test Recall@5:   0.07741 (0.00870)
Test Recall@10:  0.12831 (0.01089)
Test Recall@15:  0.17709 (0.01243)
Test Recall@20:  0.21315 (0.01334)
Test Recall@25:  0.24920 (0.01409)
Test Recall@50:  0.36691 (0.01569)
Test Recall@75:  0.46235 (0.01624)
Test Recall@100: 0.52916 (0.01625)

