Reporting the nDCG & Recall for 'RP3beta' on 'ML-100K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.07398  || 0.0502 | 0.0646 | 0.0724 | 0.0794 || 0.0785 | 0.1241 | 0.1538 | 0.1835 || 2022-02-14-16-35-45 || 441, 0, 0.48936, True
0.07349  || 0.0460 | 0.0584 | 0.0699 | 0.0786 || 0.0711 | 0.1103 | 0.1538 | 0.1909 || 2022-02-14-16-35-21 || 569, 0, 0.65401, True
0.07179  || 0.0495 | 0.0643 | 0.0730 | 0.0792 || 0.0753 | 0.1220 | 0.1548 | 0.1813 || 2022-02-14-16-35-52 || 452, 0, 0.57224, True
0.06993  || 0.0479 | 0.0608 | 0.0706 | 0.0804 || 0.0774 | 0.1177 | 0.1548 | 0.1962 || 2022-02-14-16-35-39 || 533, 0.36816, 0.68669, True
0.06991  || 0.0477 | 0.0617 | 0.0696 | 0.0764 || 0.0732 | 0.1167 | 0.1463 | 0.1750 || 2022-02-14-16-35-29 || 887, 0, 0.56669, True
0.06927  || 0.0399 | 0.0528 | 0.0628 | 0.0695 || 0.0636 | 0.1039 | 0.1421 | 0.1707 || 2022-02-14-16-35-14 || 1000, 0, 0.68408, True
0.06807  || 0.0505 | 0.0650 | 0.0736 | 0.0798 || 0.0785 | 0.1241 | 0.1570 | 0.1835 || 2022-02-14-16-35-50 || 310, 0, 0.34733, True
0.06737  || 0.0450 | 0.0618 | 0.0728 | 0.0793 || 0.0700 | 0.1220 | 0.1633 | 0.1909 || 2022-02-14-16-35-10 || 207, 0.32947, 0.57748, True
0.06667  || 0.0427 | 0.0575 | 0.0647 | 0.0710 || 0.0636 | 0.1092 | 0.1368 | 0.1633 || 2022-02-14-16-35-23 || 1000, 0, 0.61495, False
0.06399  || 0.0332 | 0.0475 | 0.0557 | 0.0600 || 0.0520 | 0.0965 | 0.1273 | 0.1453 || 2022-02-14-16-35-17 || 5, 0, 0.71747, True
0.06391  || 0.0465 | 0.0614 | 0.0721 | 0.0784 || 0.0668 | 0.1124 | 0.1527 | 0.1792 || 2022-02-14-16-35-18 || 988, 0.23193, 0.42614, True
0.06311  || 0.0428 | 0.0534 | 0.0637 | 0.0702 || 0.0658 | 0.0997 | 0.1389 | 0.1665 || 2022-02-14-16-34-59 || 10, 0.92715, 0.76214, True
0.06110  || 0.0494 | 0.0657 | 0.0761 | 0.0818 || 0.0711 | 0.1220 | 0.1612 | 0.1856 || 2022-02-14-16-35-57 || 588, 0.4305, 0.45306, True
0.06044  || 0.0463 | 0.0590 | 0.0660 | 0.0743 || 0.0711 | 0.1103 | 0.1368 | 0.1718 || 2022-02-14-16-35-44 || 26, 0.01288, 0.4367, False
0.05938  || 0.0445 | 0.0582 | 0.0669 | 0.0751 || 0.0700 | 0.1124 | 0.1453 | 0.1803 || 2022-02-14-16-35-12 || 518, 0.3729, 0, True
