Reporting the nDCG & Recall for 'UserKNNCF' on 'ML-100K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05898  || 0.0409 | 0.0559 | 0.0651 | 0.0717 || 0.0626 | 0.1092 | 0.1442 | 0.1718 || 2022-02-14-16-33-47 || 335, 645, cosine, True, none
0.05886  || 0.0397 | 0.0541 | 0.0636 | 0.0709 || 0.0615 | 0.1060 | 0.1421 | 0.1729 || 2022-02-14-16-33-28 || 331, 1000, cosine, True, none
0.05885  || 0.0403 | 0.0544 | 0.0644 | 0.0718 || 0.0615 | 0.1050 | 0.1432 | 0.1739 || 2022-02-14-16-33-50 || 330, 776, cosine, True, none
0.05842  || 0.0438 | 0.0603 | 0.0706 | 0.0771 || 0.0636 | 0.1145 | 0.1538 | 0.1813 || 2022-02-14-16-33-45 || 266, 16, cosine, True, none
0.05807  || 0.0412 | 0.0568 | 0.0659 | 0.0729 || 0.0626 | 0.1103 | 0.1453 | 0.1750 || 2022-02-14-16-33-18 || 348, 1000, cosine, True, none
0.05697  || 0.0391 | 0.0542 | 0.0616 | 0.0691 || 0.0615 | 0.1082 | 0.1368 | 0.1686 || 2022-02-14-16-33-44 || 311, 1000, cosine, True, none
0.05616  || 0.0459 | 0.0612 | 0.0710 | 0.0783 || 0.0679 | 0.1156 | 0.1527 | 0.1835 || 2022-02-14-16-33-15 || 316, 5, cosine, True, none
0.05564  || 0.0418 | 0.0566 | 0.0643 | 0.0707 || 0.0636 | 0.1092 | 0.1400 | 0.1676 || 2022-02-14-16-33-10 || 269, 901, cosine, True, none
0.05563  || 0.0419 | 0.0582 | 0.0663 | 0.0716 || 0.0636 | 0.1145 | 0.1453 | 0.1686 || 2022-02-14-16-33-07 || 373, 478, cosine, False, none
0.05559  || 0.0383 | 0.0554 | 0.0628 | 0.0684 || 0.0594 | 0.1103 | 0.1410 | 0.1644 || 2022-02-14-16-33-17 || 310, 1000, cosine, False, none
0.05457  || 0.0448 | 0.0587 | 0.0691 | 0.0741 || 0.0658 | 0.1092 | 0.1485 | 0.1697 || 2022-02-14-16-33-51 || 645, 24, cosine, True, none
0.05419  || 0.0452 | 0.0595 | 0.0677 | 0.0746 || 0.0679 | 0.1124 | 0.1421 | 0.1729 || 2022-02-14-16-33-14 || 458, 920, cosine, True, none
0.05406  || 0.0425 | 0.0562 | 0.0669 | 0.0724 || 0.0604 | 0.1039 | 0.1442 | 0.1676 || 2022-02-14-16-33-35 || 649, 989, cosine, False, none
0.05403  || 0.0464 | 0.0596 | 0.0700 | 0.0770 || 0.0700 | 0.1114 | 0.1506 | 0.1803 || 2022-02-14-16-33-42 || 400, 8, cosine, True, none
0.05401  || 0.0453 | 0.0596 | 0.0684 | 0.0762 || 0.0668 | 0.1114 | 0.1432 | 0.1760 || 2022-02-14-16-33-34 || 451, 5, cosine, False, none
0.05384  || 0.0438 | 0.0570 | 0.0668 | 0.0729 || 0.0647 | 0.1060 | 0.1432 | 0.1686 || 2022-02-14-16-33-24 || 580, 987, cosine, True, none
0.05374  || 0.0467 | 0.0584 | 0.0704 | 0.0774 || 0.0689 | 0.1050 | 0.1506 | 0.1803 || 2022-02-14-16-33-38 || 508, 6, cosine, True, none
0.05349  || 0.0457 | 0.0585 | 0.0681 | 0.0739 || 0.0679 | 0.1082 | 0.1442 | 0.1686 || 2022-02-14-16-33-19 || 695, 8, cosine, True, none
0.05316  || 0.0418 | 0.0570 | 0.0651 | 0.0706 || 0.0594 | 0.1071 | 0.1379 | 0.1612 || 2022-02-14-16-33-22 || 722, 964, cosine, False, none
0.05288  || 0.0444 | 0.0593 | 0.0684 | 0.0736 || 0.0658 | 0.1124 | 0.1474 | 0.1697 || 2022-02-14-16-33-29 || 504, 983, cosine, False, none
0.05285  || 0.0440 | 0.0577 | 0.0676 | 0.0726 || 0.0647 | 0.1071 | 0.1453 | 0.1665 || 2022-02-14-16-33-03 || 563, 217, cosine, False, none
0.05280  || 0.0470 | 0.0570 | 0.0663 | 0.0718 || 0.0721 | 0.1039 | 0.1389 | 0.1623 || 2022-02-14-16-33-40 || 841, 13, cosine, True, none
0.05266  || 0.0437 | 0.0577 | 0.0675 | 0.0722 || 0.0636 | 0.1082 | 0.1453 | 0.1654 || 2022-02-14-16-33-04 || 594, 338, cosine, False, none
0.05204  || 0.0437 | 0.0570 | 0.0644 | 0.0704 || 0.0636 | 0.1060 | 0.1336 | 0.1591 || 2022-02-14-16-33-27 || 769, 994, cosine, True, none
0.05127  || 0.0433 | 0.0563 | 0.0645 | 0.0697 || 0.0626 | 0.1039 | 0.1347 | 0.1570 || 2022-02-14-16-33-06 || 791, 10, cosine, False, none
0.04907  || 0.0435 | 0.0546 | 0.0608 | 0.0681 || 0.0636 | 0.0986 | 0.1220 | 0.1527 || 2022-02-14-16-33-31 || 844, 986, cosine, False, none
0.04792  || 0.0439 | 0.0527 | 0.0585 | 0.0655 || 0.0658 | 0.0933 | 0.1156 | 0.1453 || 2022-02-14-16-33-48 || 896, 16, cosine, False, none
0.04772  || 0.0445 | 0.0530 | 0.0591 | 0.0664 || 0.0668 | 0.0933 | 0.1167 | 0.1474 || 2022-02-14-16-33-12 || 897, 999, cosine, True, none
0.04684  || 0.0350 | 0.0495 | 0.0571 | 0.0620 || 0.0562 | 0.0997 | 0.1304 | 0.1506 || 2022-02-14-16-33-25 || 203, 8, cosine, False, none
0.04664  || 0.0448 | 0.0533 | 0.0572 | 0.0645 || 0.0679 | 0.0944 | 0.1092 | 0.1400 || 2022-02-14-16-33-09 || 1000, 968, cosine, True, none
0.04649  || 0.0430 | 0.0525 | 0.0570 | 0.0637 || 0.0636 | 0.0933 | 0.1103 | 0.1389 || 2022-02-14-16-33-21 || 969, 11, cosine, False, none
0.04207  || 0.0330 | 0.0457 | 0.0522 | 0.0571 || 0.0509 | 0.0901 | 0.1167 | 0.1368 || 2022-02-14-16-33-37 || 164, 993, cosine, True, none
0.03849  || 0.0307 | 0.0394 | 0.0469 | 0.0492 || 0.0488 | 0.0753 | 0.0986 | 0.1188 || 2022-02-14-16-33-06 || 100, 366, cosine, False, none
0.03041  || 0.0193 | 0.0263 | 0.0282 | 0.0301 || 0.0297 | 0.0488 | 0.0583 | 0.0700 || 2022-02-14-16-33-11 || 23, 962, cosine, True, none
0.01290  || 0.0144 | 0.0162 | 0.0184 | 0.0202 || 0.0212 | 0.0297 | 0.0371 | 0.0445 || 2022-02-14-16-33-43 || 6, 89, cosine, False, none
