Reporting the nDCG & Recall for 'WMF' on 'ML-100K'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.08442  || 0.0557 | 0.0699 | 0.0803 | 0.0855 || 0.0933 | 0.1368 | 0.1760 | 0.1983 || 2022-02-14-16-37-11 || 2, 117, 0.01, 15
0.08432  || 0.0407 | 0.0537 | 0.0660 | 0.0753 || 0.0658 | 0.1060 | 0.1527 | 0.1919 || 2022-02-14-16-37-06 || 28, 144, 0.01, 15
0.08386  || 0.0492 | 0.0633 | 0.0747 | 0.0837 || 0.0795 | 0.1230 | 0.1665 | 0.2047 || 2022-02-14-16-37-32 || 22, 140, 0.01, 15
0.08268  || 0.0520 | 0.0681 | 0.0750 | 0.0837 || 0.0848 | 0.1347 | 0.1612 | 0.1983 || 2022-02-14-16-37-14 || 2, 118, 0.01, 15
0.08267  || 0.0382 | 0.0544 | 0.0661 | 0.0731 || 0.0626 | 0.1135 | 0.1580 | 0.1877 || 2022-02-14-16-37-24 || 41, 144, 0.01, 15
0.08137  || 0.0499 | 0.0654 | 0.0728 | 0.0819 || 0.0774 | 0.1251 | 0.1527 | 0.1919 || 2022-02-14-16-37-26 || 2, 139, 0.01, 15
0.08119  || 0.0518 | 0.0666 | 0.0727 | 0.0822 || 0.0806 | 0.1262 | 0.1495 | 0.1898 || 2022-02-14-16-36-35 || 2, 144, 0.01, 15
0.08035  || 0.0482 | 0.0621 | 0.0752 | 0.0815 || 0.0785 | 0.1220 | 0.1718 | 0.1983 || 2022-02-14-16-36-53 || 18, 143, 0.01, 15
0.08026  || 0.0549 | 0.0730 | 0.0805 | 0.0883 || 0.0838 | 0.1400 | 0.1686 | 0.2015 || 2022-02-14-16-37-03 || 5, 119, 0.01, 15
0.07926  || 0.0520 | 0.0657 | 0.0739 | 0.0814 || 0.0827 | 0.1251 | 0.1559 | 0.1877 || 2022-02-14-16-36-26 || 3, 148, 0.01, 15
0.07918  || 0.0424 | 0.0562 | 0.0663 | 0.0743 || 0.0679 | 0.1114 | 0.1495 | 0.1835 || 2022-02-14-16-36-09 || 32, 180, 0.01, 15
0.07885  || 0.0412 | 0.0548 | 0.0654 | 0.0730 || 0.0679 | 0.1103 | 0.1506 | 0.1824 || 2022-02-14-16-36-43 || 41, 145, 0.01, 15
0.07857  || 0.0472 | 0.0610 | 0.0699 | 0.0762 || 0.0732 | 0.1167 | 0.1506 | 0.1771 || 2022-02-14-16-36-23 || 3, 181, 0.01, 15
0.07818  || 0.0553 | 0.0681 | 0.0739 | 0.0812 || 0.0848 | 0.1251 | 0.1474 | 0.1782 || 2022-02-14-16-36-13 || 3, 146, 0.01, 15
0.07813  || 0.0506 | 0.0687 | 0.0748 | 0.0809 || 0.0827 | 0.1379 | 0.1612 | 0.1866 || 2022-02-14-16-37-17 || 2, 116, 0.01, 15
0.07797  || 0.0432 | 0.0592 | 0.0678 | 0.0773 || 0.0700 | 0.1198 | 0.1527 | 0.1930 || 2022-02-14-16-36-56 || 37, 147, 0.01, 15
0.07718  || 0.0403 | 0.0563 | 0.0655 | 0.0730 || 0.0700 | 0.1198 | 0.1548 | 0.1866 || 2022-02-14-16-36-46 || 2, 142, 0.01, 15
0.07612  || 0.0473 | 0.0603 | 0.0704 | 0.0782 || 0.0795 | 0.1198 | 0.1580 | 0.1909 || 2022-02-14-16-36-04 || 57, 121, 0.01, 15
0.07575  || 0.0394 | 0.0528 | 0.0620 | 0.0717 || 0.0658 | 0.1082 | 0.1432 | 0.1845 || 2022-02-14-16-36-32 || 100, 147, 0.01, 15
0.07572  || 0.0432 | 0.0612 | 0.0704 | 0.0784 || 0.0700 | 0.1262 | 0.1612 | 0.1951 || 2022-02-14-16-36-06 || 25, 159, 0.01, 15
0.07542  || 0.0512 | 0.0648 | 0.0729 | 0.0796 || 0.0817 | 0.1230 | 0.1538 | 0.1824 || 2022-02-14-16-36-48 || 2, 150, 0.01, 15
