Reporting the nDCG & Recall for 'RP3beta' on 'ML-10M'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.04689  || 0.0267 | 0.0371 | 0.0442 | 0.0498 || 0.0439 | 0.0763 | 0.1032 | 0.1266 || 2021-02-13-04-55-11 || 5, 0, 0.70072, True
0.04669  || 0.0295 | 0.0389 | 0.0449 | 0.0501 || 0.0471 | 0.0765 | 0.0992 | 0.1208 || 2021-02-13-04-41-19 || 5, 0.51877, 0.56311, True
0.04334  || 0.0270 | 0.0372 | 0.0440 | 0.0498 || 0.0437 | 0.0756 | 0.1013 | 0.1258 || 2021-02-13-04-49-42 || 5, 0, 0.65378, False
0.04251  || 0.0240 | 0.0339 | 0.0411 | 0.0471 || 0.0396 | 0.0706 | 0.0978 | 0.1233 || 2021-02-13-03-28-17 || 10, 0.92715, 0.76214, True
0.04121  || 0.0262 | 0.0368 | 0.0435 | 0.0488 || 0.0431 | 0.0761 | 0.1014 | 0.1238 || 2021-02-13-04-52-20 || 5, 0.44721, 0.45636, False
0.04096  || 0.0256 | 0.0363 | 0.0439 | 0.0498 || 0.0416 | 0.0750 | 0.1038 | 0.1291 || 2021-02-13-03-52-45 || 504, 0.83072, 0.4282, True
0.04051  || 0.0254 | 0.0360 | 0.0435 | 0.0496 || 0.0410 | 0.0742 | 0.1027 | 0.1283 || 2021-02-13-04-23-29 || 462, 0.83515, 0.43035, False
0.03991  || 0.0252 | 0.0357 | 0.0435 | 0.0494 || 0.0404 | 0.0730 | 0.1027 | 0.1275 || 2021-02-13-04-37-47 || 569, 0.81199, 0.37525, False
0.03934  || 0.0259 | 0.0335 | 0.0384 | 0.0424 || 0.0402 | 0.0638 | 0.0823 | 0.0990 || 2021-02-13-04-47-04 || 5, 1.30568, 0.40883, True
0.03899  || 0.0237 | 0.0336 | 0.0408 | 0.0464 || 0.0384 | 0.0693 | 0.0966 | 0.1203 || 2021-02-13-04-14-50 || 257, 0.96534, 0.49815, False
0.03856  || 0.0251 | 0.0342 | 0.0398 | 0.0441 || 0.0409 | 0.0692 | 0.0904 | 0.1083 || 2021-02-13-04-04-56 || 37, 0.52979, 0, True
0.03817  || 0.0260 | 0.0351 | 0.0410 | 0.0463 || 0.0410 | 0.0693 | 0.0916 | 0.1138 || 2021-02-13-04-44-22 || 5, 0, 0.26712, False
0.03812  || 0.0258 | 0.0352 | 0.0421 | 0.0475 || 0.0409 | 0.0704 | 0.0966 | 0.1194 || 2021-02-13-04-33-56 || 842, 0.09612, 0.41099, False
0.03767  || 0.0248 | 0.0340 | 0.0404 | 0.0455 || 0.0391 | 0.0680 | 0.0924 | 0.1139 || 2021-02-13-03-59-11 || 332, 1.05418, 0, True
0.03733  || 0.0249 | 0.0341 | 0.0410 | 0.0460 || 0.0394 | 0.0685 | 0.0946 | 0.1158 || 2021-02-13-03-56-09 || 66, 0.69453, 0, False
0.03706  || 0.0232 | 0.0330 | 0.0400 | 0.0458 || 0.0370 | 0.0675 | 0.0943 | 0.1190 || 2021-02-13-04-58-06 || 1000, 2, 0.46634, True
0.03699  || 0.0247 | 0.0337 | 0.0407 | 0.0464 || 0.0397 | 0.0680 | 0.0946 | 0.1185 || 2021-02-13-04-07-56 || 1000, 0.7335, 0, True
0.03661  || 0.0239 | 0.0333 | 0.0402 | 0.0456 || 0.0382 | 0.0676 | 0.0935 | 0.1163 || 2021-02-13-03-34-20 || 760, 2, 0.1181, True
0.03646  || 0.0214 | 0.0309 | 0.0381 | 0.0445 || 0.0348 | 0.0644 | 0.0918 | 0.1188 || 2021-02-13-04-26-49 || 122, 0.95073, 0.79942, True
0.03541  || 0.0212 | 0.0307 | 0.0378 | 0.0437 || 0.0347 | 0.0644 | 0.0913 | 0.1163 || 2021-02-13-04-11-36 || 91, 2, 0.65843, True
0.03445  || 0.0199 | 0.0288 | 0.0358 | 0.0415 || 0.0329 | 0.0607 | 0.0871 | 0.1115 || 2021-02-13-04-29-58 || 678, 0.35845, 0.77713, True
0.03369  || 0.0232 | 0.0315 | 0.0375 | 0.0421 || 0.0367 | 0.0627 | 0.0854 | 0.1046 || 2021-02-13-03-45-43 || 1000, 0.21602, 0, False
0.03302  || 0.0189 | 0.0275 | 0.0349 | 0.0408 || 0.0310 | 0.0581 | 0.0860 | 0.1113 || 2021-02-13-04-20-40 || 24, 0.92348, 0.74885, False
0.02872  || 0.0161 | 0.0239 | 0.0301 | 0.0353 || 0.0267 | 0.0511 | 0.0747 | 0.0968 || 2021-02-13-03-18-53 || 239, 1.18423, 0.67005, False
0.02027  || 0.0146 | 0.0184 | 0.0206 | 0.0234 || 0.0193 | 0.0305 | 0.0395 | 0.0508 || 2021-02-13-04-02-02 || 5, 0, 0, True
0.01667  || 0.0097 | 0.0131 | 0.0158 | 0.0178 || 0.0153 | 0.0260 | 0.0361 | 0.0448 || 2021-02-13-03-22-10 || 311, 1.60474, 0.1903, False
0.01621  || 0.0090 | 0.0128 | 0.0156 | 0.0176 || 0.0144 | 0.0262 | 0.0369 | 0.0455 || 2021-02-13-05-04-57 || 6, 0.05334, 0.94397, True
0.01584  || 0.0085 | 0.0127 | 0.0154 | 0.0181 || 0.0135 | 0.0259 | 0.0371 | 0.0481 || 2021-02-13-04-17-57 || 76, 2, 0, False
0.01428  || 0.0070 | 0.0104 | 0.0126 | 0.0145 || 0.0117 | 0.0225 | 0.0306 | 0.0388 || 2021-02-13-03-49-53 || 5, 1.49148, 1.0272, True
0.00751  || 0.0026 | 0.0058 | 0.0079 | 0.0106 || 0.0046 | 0.0142 | 0.0229 | 0.0336 || 2021-02-13-05-02-06 || 5, 2, 2, False
0.00262  || 0.0012 | 0.0019 | 0.0024 | 0.0030 || 0.0022 | 0.0042 | 0.0063 | 0.0087 || 2021-02-13-03-14-58 || 563, 0.42518, 1.08616, False
0.00079  || 0.0000 | 0.0006 | 0.0014 | 0.0027 || 0.0001 | 0.0018 | 0.0048 | 0.0107 || 2021-02-13-03-31-20 || 5, 0, 2, False
0.00036  || 0.0001 | 0.0001 | 0.0002 | 0.0003 || 0.0001 | 0.0003 | 0.0006 | 0.0007 || 2021-02-13-03-37-50 || 942, 0.7792, 1.74267, False
0.00029  || 0.0001 | 0.0002 | 0.0002 | 0.0003 || 0.0002 | 0.0004 | 0.0006 | 0.0008 || 2021-02-13-03-41-17 || 1000, 1.73009, 1.63473, True
0.00021  || 0.0001 | 0.0001 | 0.0001 | 0.0001 || 0.0001 | 0.0002 | 0.0003 | 0.0004 || 2021-02-13-03-25-07 || 742, 0.3199, 1.7253, True
