Reporting the nDCG & Recall for 'UserKNNCF' on 'ML-10M'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.05328  || 0.0339 | 0.0473 | 0.0567 | 0.0636 || 0.0550 | 0.0971 | 0.1323 | 0.1617 || 2021-02-12-22-13-24 || 152, 5, cosine, True, none
0.05285  || 0.0335 | 0.0471 | 0.0568 | 0.0640 || 0.0543 | 0.0967 | 0.1332 | 0.1638 || 2021-02-12-21-20-13 || 375, 5, cosine, True, none
0.05280  || 0.0335 | 0.0471 | 0.0566 | 0.0639 || 0.0546 | 0.0970 | 0.1331 | 0.1635 || 2021-02-12-19-07-45 || 347, 5, cosine, True, none
0.05279  || 0.0335 | 0.0472 | 0.0567 | 0.0640 || 0.0540 | 0.0969 | 0.1328 | 0.1636 || 2021-02-12-17-28-32 || 406, 5, cosine, True, none
0.05277  || 0.0335 | 0.0471 | 0.0567 | 0.0640 || 0.0543 | 0.0968 | 0.1330 | 0.1638 || 2021-02-12-21-45-29 || 378, 5, cosine, True, none
0.05181  || 0.0331 | 0.0467 | 0.0562 | 0.0636 || 0.0531 | 0.0958 | 0.1317 | 0.1631 || 2021-02-12-16-57-37 || 636, 5, cosine, True, none
0.05134  || 0.0329 | 0.0461 | 0.0558 | 0.0633 || 0.0527 | 0.0939 | 0.1306 | 0.1623 || 2021-02-12-21-59-25 || 889, 5, cosine, True, none
0.05132  || 0.0331 | 0.0462 | 0.0559 | 0.0636 || 0.0531 | 0.0943 | 0.1311 | 0.1634 || 2021-02-12-17-13-15 || 752, 5, cosine, True, none
0.05102  || 0.0327 | 0.0457 | 0.0553 | 0.0629 || 0.0526 | 0.0933 | 0.1295 | 0.1615 || 2021-02-12-16-29-26 || 1000, 5, cosine, True, none
0.04826  || 0.0308 | 0.0427 | 0.0504 | 0.0564 || 0.0501 | 0.0869 | 0.1168 | 0.1421 || 2021-02-12-16-45-48 || 30, 7, cosine, True, none
