Reporting the nDCG & Recall for 'ItemKNNCF' on 'ML-20M'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-13-49-39 || 5, 5, cosine, True, none
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-13-25-47 || 5, 5, cosine, True, none
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-12-56-50 || 5, 5, cosine, True, none
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-09-46-30 || 5, 5, cosine, True, none
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-08-07-41 || 5, 5, cosine, True, none
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-07-58-43 || 5, 5, cosine, True, none
0.04621  || 0.0285 | 0.0389 | 0.0467 | 0.0528 || 0.0457 | 0.0782 | 0.1076 | 0.1335 || 2021-02-13-07-49-44 || 5, 5, cosine, True, none
0.04564  || 0.0278 | 0.0387 | 0.0460 | 0.0520 || 0.0446 | 0.0785 | 0.1063 | 0.1318 || 2021-02-13-07-02-31 || 6, 133, cosine, True, none
0.04520  || 0.0278 | 0.0381 | 0.0457 | 0.0514 || 0.0444 | 0.0766 | 0.1055 | 0.1297 || 2021-02-13-07-28-12 || 5, 1000, cosine, True, none
0.04230  || 0.0265 | 0.0367 | 0.0437 | 0.0493 || 0.0419 | 0.0739 | 0.1005 | 0.1244 || 2021-02-13-11-02-07 || 175, 999, cosine, True, none
0.04109  || 0.0258 | 0.0358 | 0.0428 | 0.0483 || 0.0413 | 0.0723 | 0.0990 | 0.1226 || 2021-02-13-09-05-45 || 272, 6, cosine, True, none
0.04095  || 0.0263 | 0.0364 | 0.0433 | 0.0487 || 0.0417 | 0.0732 | 0.0992 | 0.1221 || 2021-02-13-12-22-11 || 548, 634, cosine, True, none
0.04092  || 0.0262 | 0.0364 | 0.0433 | 0.0486 || 0.0416 | 0.0731 | 0.0996 | 0.1221 || 2021-02-13-12-39-25 || 594, 565, cosine, True, none
0.04074  || 0.0263 | 0.0363 | 0.0432 | 0.0487 || 0.0416 | 0.0727 | 0.0988 | 0.1220 || 2021-02-13-13-58-42 || 647, 511, cosine, True, none
0.04070  || 0.0262 | 0.0362 | 0.0431 | 0.0484 || 0.0415 | 0.0728 | 0.0990 | 0.1215 || 2021-02-13-07-11-21 || 443, 980, cosine, True, none
0.04049  || 0.0264 | 0.0362 | 0.0431 | 0.0485 || 0.0418 | 0.0724 | 0.0985 | 0.1214 || 2021-02-13-07-37-33 || 754, 8, cosine, True, none
0.04046  || 0.0266 | 0.0364 | 0.0431 | 0.0485 || 0.0423 | 0.0727 | 0.0983 | 0.1210 || 2021-02-13-13-34-51 || 937, 70, cosine, True, none
0.04034  || 0.0264 | 0.0361 | 0.0429 | 0.0481 || 0.0418 | 0.0721 | 0.0979 | 0.1200 || 2021-02-13-10-42-03 || 896, 486, cosine, True, none
0.04031  || 0.0265 | 0.0362 | 0.0430 | 0.0483 || 0.0421 | 0.0724 | 0.0982 | 0.1204 || 2021-02-13-08-52-29 || 999, 11, cosine, True, none
0.04020  || 0.0262 | 0.0361 | 0.0428 | 0.0481 || 0.0415 | 0.0724 | 0.0977 | 0.1202 || 2021-02-13-09-15-59 || 749, 986, cosine, True, none
0.04011  || 0.0260 | 0.0350 | 0.0413 | 0.0460 || 0.0414 | 0.0694 | 0.0931 | 0.1133 || 2021-02-13-08-41-54 || 13, 975, cosine, False, none
0.03990  || 0.0263 | 0.0361 | 0.0427 | 0.0479 || 0.0418 | 0.0723 | 0.0972 | 0.1193 || 2021-02-13-06-39-49 || 999, 968, cosine, True, none
0.03831  || 0.0243 | 0.0329 | 0.0389 | 0.0437 || 0.0385 | 0.0653 | 0.0882 | 0.1085 || 2021-02-13-09-36-30 || 7, 10, cosine, False, none
0.03703  || 0.0249 | 0.0335 | 0.0396 | 0.0442 || 0.0398 | 0.0665 | 0.0895 | 0.1092 || 2021-02-13-05-43-26 || 100, 366, cosine, False, none
0.03492  || 0.0238 | 0.0320 | 0.0374 | 0.0415 || 0.0383 | 0.0638 | 0.0842 | 0.1018 || 2021-02-13-06-20-49 || 373, 478, cosine, False, none
0.03446  || 0.0236 | 0.0317 | 0.0369 | 0.0410 || 0.0384 | 0.0635 | 0.0833 | 0.1007 || 2021-02-13-13-05-47 || 463, 825, cosine, False, none
0.03430  || 0.0234 | 0.0316 | 0.0368 | 0.0409 || 0.0379 | 0.0633 | 0.0830 | 0.1004 || 2021-02-13-09-55-31 || 534, 999, cosine, False, none
0.03428  || 0.0234 | 0.0316 | 0.0368 | 0.0409 || 0.0379 | 0.0633 | 0.0830 | 0.1003 || 2021-02-13-11-15-17 || 533, 283, cosine, False, none
0.03424  || 0.0233 | 0.0315 | 0.0367 | 0.0407 || 0.0378 | 0.0632 | 0.0829 | 0.1000 || 2021-02-13-05-00-24 || 563, 217, cosine, False, none
0.03419  || 0.0232 | 0.0314 | 0.0366 | 0.0407 || 0.0376 | 0.0631 | 0.0829 | 0.1001 || 2021-02-13-05-21-40 || 594, 338, cosine, False, none
0.03406  || 0.0232 | 0.0313 | 0.0365 | 0.0406 || 0.0376 | 0.0629 | 0.0828 | 0.0999 || 2021-02-13-11-59-30 || 685, 22, cosine, False, none
0.03396  || 0.0231 | 0.0312 | 0.0365 | 0.0405 || 0.0375 | 0.0628 | 0.0828 | 0.0996 || 2021-02-13-05-57-06 || 791, 10, cosine, False, none
0.03393  || 0.0232 | 0.0313 | 0.0365 | 0.0405 || 0.0376 | 0.0629 | 0.0827 | 0.0997 || 2021-02-13-11-36-02 || 782, 711, cosine, False, none
0.03381  || 0.0231 | 0.0313 | 0.0364 | 0.0404 || 0.0375 | 0.0629 | 0.0824 | 0.0993 || 2021-02-13-10-16-33 || 998, 44, cosine, False, none
0.03381  || 0.0231 | 0.0312 | 0.0364 | 0.0404 || 0.0374 | 0.0628 | 0.0824 | 0.0992 || 2021-02-13-08-16-47 || 977, 996, cosine, False, none
